Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
36,Train,False,340566,2780,2952,3096,2786,2804,3070,2488,2366,2430,10304,8200,6886,5364,4234,3718,3192,2840,16604,15050,8668,6692,31588,7000,4088,499766,68.145,0.556,0.591,0.619,0.557,0.561,0.614,0.498,0.473,0.486,2.062,1.641,1.378,1.073,0.847,0.744,0.639,0.568,3.322,3.011,1.734,1.339,6.321,1.401,0.818
37,Test,True,338496,3736,4174,3998,3320,3126,3524,2734,2850,2714,11102,8272,6392,4982,4234,3552,3290,2814,16448,14618,8526,5852,26908,5680,3016,494358,68.472,0.756,0.844,0.809,0.672,0.632,0.713,0.553,0.577,0.549,2.246,1.673,1.293,1.008,0.856,0.719,0.666,0.569,3.327,2.957,1.725,1.184,5.443,1.149,0.61
38,Test,False,329656,3486,3556,3674,3312,3174,3408,2678,2572,2814,10906,8408,6782,5082,4266,3686,3194,2974,16370,14542,8182,5582,24406,5472,3664,481846,68.415,0.723,0.738,0.762,0.687,0.659,0.707,0.556,0.534,0.584,2.263,1.745,1.408,1.055,0.885,0.765,0.663,0.617,3.397,3.018,1.698,1.158,5.065,1.136,0.76
39,Test,False,307626,3020,2998,3506,2998,2798,3278,2662,2774,2712,11324,9800,8052,6538,5504,4812,4340,3842,21684,18736,10608,7410,24510,5952,4024,481508,63.888,0.627,0.623,0.728,0.623,0.581,0.681,0.553,0.576,0.563,2.352,2.035,1.672,1.358,1.143,0.999,0.901,0.798,4.503,3.891,2.203,1.539,5.09,1.236,0.836
40,Test,True,333450,4380,4416,4544,4110,3746,4102,3178,3214,3208,13380,9688,7722,6172,4926,4312,3766,3266,17686,14232,8352,4882,13616,3440,2984,486772,68.502,0.9,0.907,0.933,0.844,0.77,0.843,0.653,0.66,0.659,2.749,1.99,1.586,1.268,1.012,0.886,0.774,0.671,3.633,2.924,1.716,1.003,2.797,0.707,0.613
41,Test,False,351008,2596,2734,2896,2340,2430,2610,2142,2114,2020,8376,6682,5348,4000,3596,3044,2740,2406,15404,13694,9130,6688,40854,9952,8288,513092,68.41,0.506,0.533,0.564,0.456,0.474,0.509,0.417,0.412,0.394,1.632,1.302,1.042,0.78,0.701,0.593,0.534,0.469,3.002,2.669,1.779,1.303,7.962,1.94,1.615
42,Test,False,352944,3666,3742,3780,3280,2966,3230,2592,2442,2412,9194,6900,5418,4158,3370,2906,2572,2194,13194,13490,8644,6084,24570,5680,6432,495860,71.178,0.739,0.755,0.762,0.661,0.598,0.651,0.523,0.492,0.486,1.854,1.392,1.093,0.839,0.68,0.586,0.519,0.442,2.661,2.721,1.743,1.227,4.955,1.145,1.297
43,Test,False,343462,3054,3228,3528,3016,2548,2910,2490,2482,2444,9486,7394,5904,4650,3744,3192,2756,2456,15202,15072,8766,5922,31770,9432,4040,498948,68.837,0.612,0.647,0.707,0.604,0.511,0.583,0.499,0.497,0.49,1.901,1.482,1.183,0.932,0.75,0.64,0.552,0.492,3.047,3.021,1.757,1.187,6.367,1.89,0.81
44,Test,False,336844,3542,3548,3872,3280,3072,3286,2622,2620,2610,10022,7738,5884,4512,3648,3364,3024,2746,16378,15890,9968,7266,24138,4880,1328,486082,69.298,0.729,0.73,0.797,0.675,0.632,0.676,0.539,0.539,0.537,2.062,1.592,1.21,0.928,0.75,0.692,0.622,0.565,3.369,3.269,2.051,1.495,4.966,1.004,0.273
45,Test,True,336246,3114,3416,3542,3116,2950,3488,2562,2616,2740,11232,8972,7112,5472,4392,3746,3412,2966,17372,14812,8832,5724,29232,6288,4224,497578,67.577,0.626,0.687,0.712,0.626,0.593,0.701,0.515,0.526,0.551,2.257,1.803,1.429,1.1,0.883,0.753,0.686,0.596,3.491,2.977,1.775,1.15,5.875,1.264,0.849
46,Test,False,327212,3412,3610,3710,3308,2992,3482,2922,2944,2840,11782,9294,7310,5480,4706,3994,3394,3230,18442,18194,11320,7562,23956,4336,1776,491208,66.614,0.695,0.735,0.755,0.673,0.609,0.709,0.595,0.599,0.578,2.399,1.892,1.488,1.116,0.958,0.813,0.691,0.658,3.754,3.704,2.305,1.539,4.877,0.883,0.362
47,Test,False,356512,3072,3510,3348,3068,2954,3174,2460,2544,2562,9486,7206,5444,4120,3106,2810,2292,2206,11544,11258,7880,6016,28802,4600,1728,491702,72.506,0.625,0.714,0.681,0.624,0.601,0.646,0.5,0.517,0.521,1.929,1.466,1.107,0.838,0.632,0.571,0.466,0.449,2.348,2.29,1.603,1.224,5.858,0.936,0.351
48,Test,True,337248,3998,3794,3726,3234,2816,3092,2434,2594,2368,9634,7184,5554,4162,3486,3126,2800,2604,16228,18444,12404,7980,25618,5408,3736,493672,68.314,0.81,0.769,0.755,0.655,0.57,0.626,0.493,0.525,0.48,1.951,1.455,1.125,0.843,0.706,0.633,0.567,0.527,3.287,3.736,2.513,1.616,5.189,1.095,0.757
