Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
11,Train,False,4250,8062,7508,5708,4282,3044,2292,1884,1392,1110,3764,2354,1686,1576,1092,848,548,322,2316,2408,862,524,3486,24,0,61342,6.928,13.143,12.24,9.305,6.981,4.962,3.736,3.071,2.269,1.81,6.136,3.838,2.749,2.569,1.78,1.382,0.893,0.525,3.776,3.926,1.405,0.854,5.683,0.039,0.0
12,Train,False,5654,9418,7936,5676,3768,2608,1902,1414,1160,864,2704,1802,1588,1232,994,630,464,388,2266,2280,1134,726,3614,136,320,60678,9.318,15.521,13.079,9.354,6.21,4.298,3.135,2.33,1.912,1.424,4.456,2.97,2.617,2.03,1.638,1.038,0.765,0.639,3.734,3.758,1.869,1.196,5.956,0.224,0.527
13,Train,False,2710,6026,6922,6732,5762,4648,3754,2746,2024,1568,3642,1442,752,474,386,350,348,334,2416,2330,1192,696,3346,104,0,60704,4.464,9.927,11.403,11.09,9.492,7.657,6.184,4.524,3.334,2.583,6.0,2.375,1.239,0.781,0.636,0.577,0.573,0.55,3.98,3.838,1.964,1.147,5.512,0.171,0.0
14,Train,False,1890,4378,5068,5182,4658,4108,3452,3068,2502,1982,6130,3008,1862,1042,700,588,488,392,2604,2578,1226,696,2858,0,0,60460,3.126,7.241,8.382,8.571,7.704,6.795,5.71,5.074,4.138,3.278,10.139,4.975,3.08,1.723,1.158,0.973,0.807,0.648,4.307,4.264,2.028,1.151,4.727,0.0,0.0
15,Train,False,3200,6570,7082,6174,5042,4074,3010,2392,1806,1420,4084,2130,1170,722,458,424,342,294,2358,2084,1136,714,4278,472,104,61540,5.2,10.676,11.508,10.032,8.193,6.62,4.891,3.887,2.935,2.307,6.636,3.461,1.901,1.173,0.744,0.689,0.556,0.478,3.832,3.386,1.846,1.16,6.952,0.767,0.169
16,Train,False,3406,7108,7228,5858,4578,3412,2554,1994,1586,1244,3618,2022,1440,1026,814,632,466,376,2256,2030,1096,636,1910,0,0,57290,5.945,12.407,12.617,10.225,7.991,5.956,4.458,3.481,2.768,2.171,6.315,3.529,2.514,1.791,1.421,1.103,0.813,0.656,3.938,3.543,1.913,1.11,3.334,0.0,0.0
17,Train,False,2502,5328,5714,5282,4302,3212,2506,1962,1556,1304,4520,2592,1714,1250,880,634,488,480,3254,2972,1092,692,2550,0,0,56786,4.406,9.383,10.062,9.302,7.576,5.656,4.413,3.455,2.74,2.296,7.96,4.565,3.018,2.201,1.55,1.116,0.859,0.845,5.73,5.234,1.923,1.219,4.491,0.0,0.0
18,Train,False,2840,6294,7100,6354,5022,3810,2828,2032,1618,1224,3880,1958,1334,1068,734,614,496,374,2302,2198,1260,774,646,0,0,56760,5.004,11.089,12.509,11.195,8.848,6.712,4.982,3.58,2.851,2.156,6.836,3.45,2.35,1.882,1.293,1.082,0.874,0.659,4.056,3.872,2.22,1.364,1.138,0.0,0.0
19,Train,False,5070,9538,8322,6294,4580,3088,2404,1666,1262,1130,3050,1738,1250,908,588,452,362,282,1958,2122,1348,950,2286,0,0,60648,8.36,15.727,13.722,10.378,7.552,5.092,3.964,2.747,2.081,1.863,5.029,2.866,2.061,1.497,0.97,0.745,0.597,0.465,3.228,3.499,2.223,1.566,3.769,0.0,0.0
20,Train,False,2398,5244,5820,5264,4572,3564,2738,2196,1826,1454,4474,2472,1502,948,676,582,450,390,2516,2954,1418,834,4406,640,112,59450,4.034,8.821,9.79,8.854,7.69,5.995,4.606,3.694,3.071,2.446,7.526,4.158,2.526,1.595,1.137,0.979,0.757,0.656,4.232,4.969,2.385,1.403,7.411,1.077,0.188
21,Train,False,2184,5040,5936,5972,5434,4460,3486,2762,2126,1768,4788,2298,1340,972,680,570,494,374,2436,2102,1188,782,606,0,0,57798,3.779,8.72,10.27,10.333,9.402,7.717,6.031,4.779,3.678,3.059,8.284,3.976,2.318,1.682,1.177,0.986,0.855,0.647,4.215,3.637,2.055,1.353,1.048,0.0,0.0
22,Train,False,6514,9996,7750,5306,3642,2504,1772,1422,1092,934,2736,1632,1500,1270,1062,948,770,578,2394,1866,938,598,3228,32,0,60484,10.77,16.527,12.813,8.773,6.021,4.14,2.93,2.351,1.805,1.544,4.524,2.698,2.48,2.1,1.756,1.567,1.273,0.956,3.958,3.085,1.551,0.989,5.337,0.053,0.0
23,Train,False,3818,7484,7662,6536,5062,3800,2720,2036,1418,1166,3024,1604,1114,906,700,564,414,326,1942,2118,1280,940,2276,48,16,58974,6.474,12.69,12.992,11.083,8.583,6.444,4.612,3.452,2.404,1.977,5.128,2.72,1.889,1.536,1.187,0.956,0.702,0.553,3.293,3.591,2.17,1.594,3.859,0.081,0.027
24,Train,False,1912,4542,5970,6278,5832,4952,4192,3558,2758,2172,5210,1514,642,436,386,326,290,296,1830,2244,1178,738,2790,8,0,60054,3.184,7.563,9.941,10.454,9.711,8.246,6.98,5.925,4.593,3.617,8.676,2.521,1.069,0.726,0.643,0.543,0.483,0.493,3.047,3.737,1.962,1.229,4.646,0.013,0.0
25,Train,False,2860,6244,6972,6134,5032,3756,2912,2162,1636,1426,3828,2168,1482,1118,966,868,780,624,2198,1960,938,546,3636,280,0,60526,4.725,10.316,11.519,10.134,8.314,6.206,4.811,3.572,2.703,2.356,6.325,3.582,2.449,1.847,1.596,1.434,1.289,1.031,3.631,3.238,1.55,0.902,6.007,0.463,0.0
26,Train,False,2130,4732,5670,5304,4644,3878,3062,2600,2078,1644,4680,2166,1414,1142,924,716,660,460,2736,2542,1278,768,4188,160,0,59576,3.575,7.943,9.517,8.903,7.795,6.509,5.14,4.364,3.488,2.76,7.856,3.636,2.373,1.917,1.551,1.202,1.108,0.772,4.592,4.267,2.145,1.289,7.03,0.269,0.0
27,Train,False,3406,7320,7634,6558,5132,3910,2760,2032,1640,1252,3418,1786,1018,818,598,496,328,220,1726,1986,1190,924,4314,96,0,60562,5.624,12.087,12.605,10.829,8.474,6.456,4.557,3.355,2.708,2.067,5.644,2.949,1.681,1.351,0.987,0.819,0.542,0.363,2.85,3.279,1.965,1.526,7.123,0.159,0.0
28,Train,False,4736,9252,8438,6384,4532,2978,2328,1690,1346,998,3190,1392,756,468,388,348,344,320,1952,2284,1330,840,3396,32,0,59722,7.93,15.492,14.129,10.69,7.588,4.986,3.898,2.83,2.254,1.671,5.341,2.331,1.266,0.784,0.65,0.583,0.576,0.536,3.268,3.824,2.227,1.407,5.686,0.054,0.0
29,Train,False,1796,4552,5690,5634,5134,4538,3544,2784,2190,1630,4682,2032,1246,920,676,500,438,398,2028,2320,1234,560,3034,752,416,58728,3.058,7.751,9.689,9.593,8.742,7.727,6.035,4.74,3.729,2.776,7.972,3.46,2.122,1.567,1.151,0.851,0.746,0.678,3.453,3.95,2.101,0.954,5.166,1.28,0.708
30,Train,False,4368,8386,8348,6212,4416,3014,2344,1686,1290,1060,3314,1822,1358,876,612,474,364,324,2128,1938,1048,704,3868,544,0,60498,7.22,13.862,13.799,10.268,7.299,4.982,3.875,2.787,2.132,1.752,5.478,3.012,2.245,1.448,1.012,0.783,0.602,0.536,3.517,3.203,1.732,1.164,6.394,0.899,0.0
31,Train,False,3512,7308,7746,6300,5246,3826,2958,2264,1712,1382,3822,1482,772,520,388,352,306,286,2256,2506,1354,788,2610,0,0,59696,5.883,12.242,12.976,10.553,8.788,6.409,4.955,3.793,2.868,2.315,6.402,2.483,1.293,0.871,0.65,0.59,0.513,0.479,3.779,4.198,2.268,1.32,4.372,0.0,0.0
32,Train,False,2318,4988,5076,4626,3634,2970,2312,1986,1680,1576,5374,3580,2590,1936,1442,1164,908,824,3950,2784,1174,980,1386,8,24,59290,3.91,8.413,8.561,7.802,6.129,5.009,3.899,3.35,2.834,2.658,9.064,6.038,4.368,3.265,2.432,1.963,1.531,1.39,6.662,4.696,1.98,1.653,2.338,0.013,0.04
33,Train,False,4090,8016,7746,6172,4934,3474,2750,2058,1562,1250,3526,1886,1222,748,512,384,322,246,1530,1820,1180,820,4970,200,0,61418,6.659,13.052,12.612,10.049,8.033,5.656,4.478,3.351,2.543,2.035,5.741,3.071,1.99,1.218,0.834,0.625,0.524,0.401,2.491,2.963,1.921,1.335,8.092,0.326,0.0
34,Train,False,2524,5448,6116,5606,4554,3832,2978,2362,1790,1432,4374,2238,1474,1232,920,772,574,478,2530,2678,1506,794,4980,848,280,62320,4.05,8.742,9.814,8.996,7.307,6.149,4.779,3.79,2.872,2.298,7.019,3.591,2.365,1.977,1.476,1.239,0.921,0.767,4.06,4.297,2.417,1.274,7.991,1.361,0.449
35,Train,False,4528,7666,7034,5378,3934,2938,2120,1656,1326,1188,3984,2670,2162,1518,990,818,554,412,2344,2106,1128,650,4882,168,40,62194,7.28,12.326,11.31,8.647,6.325,4.724,3.409,2.663,2.132,1.91,6.406,4.293,3.476,2.441,1.592,1.315,0.891,0.662,3.769,3.386,1.814,1.045,7.85,0.27,0.064
36,Train,False,3450,6984,7214,6118,5000,3764,2870,2260,1700,1430,4260,1842,1004,674,540,406,384,378,2446,2440,1288,894,3656,0,0,61002,5.656,11.449,11.826,10.029,8.196,6.17,4.705,3.705,2.787,2.344,6.983,3.02,1.646,1.105,0.885,0.666,0.629,0.62,4.01,4.0,2.111,1.466,5.993,0.0,0.0
37,Test,True,4034,7628,7310,5890,4634,3228,2618,1948,1676,1268,3978,2510,1702,1114,604,504,364,342,2258,2280,990,702,2618,0,0,60200,6.701,12.671,12.143,9.784,7.698,5.362,4.349,3.236,2.784,2.106,6.608,4.169,2.827,1.85,1.003,0.837,0.605,0.568,3.751,3.787,1.645,1.166,4.349,0.0,0.0
38,Test,False,4140,7742,7130,5512,4096,2802,2114,1676,1344,1088,3504,2270,1928,1546,1090,824,510,360,2082,1972,1102,702,2546,0,8,58088,7.127,13.328,12.274,9.489,7.051,4.824,3.639,2.885,2.314,1.873,6.032,3.908,3.319,2.661,1.876,1.419,0.878,0.62,3.584,3.395,1.897,1.209,4.383,0.0,0.014
39,Test,False,2182,5096,5712,5580,4712,3546,2788,2358,1786,1346,4370,2486,1684,1330,1180,974,738,530,3270,2926,1286,774,1170,0,0,57824,3.774,8.813,9.878,9.65,8.149,6.132,4.822,4.078,3.089,2.328,7.557,4.299,2.912,2.3,2.041,1.684,1.276,0.917,5.655,5.06,2.224,1.339,2.023,0.0,0.0
40,Test,True,4372,7638,7304,5822,4300,3230,2222,1844,1382,1096,3268,1760,1302,1472,1468,1638,1326,838,2590,1648,758,648,1434,0,0,59360,7.365,12.867,12.305,9.808,7.244,5.441,3.743,3.106,2.328,1.846,5.505,2.965,2.193,2.48,2.473,2.759,2.234,1.412,4.363,2.776,1.277,1.092,2.416,0.0,0.0
41,Test,False,3404,6888,7082,5930,4626,3572,2714,2186,1672,1516,3952,2056,1396,892,660,474,366,330,2358,2452,1322,834,5408,448,0,62538,5.443,11.014,11.324,9.482,7.397,5.712,4.34,3.495,2.674,2.424,6.319,3.288,2.232,1.426,1.055,0.758,0.585,0.528,3.771,3.921,2.114,1.334,8.648,0.716,0.0
42,Test,False,6072,10142,8180,5362,3366,2428,1758,1370,1154,890,3076,1984,1218,706,470,396,284,286,2052,2460,1440,778,2228,16,0,58116,10.448,17.451,14.075,9.226,5.792,4.178,3.025,2.357,1.986,1.531,5.293,3.414,2.096,1.215,0.809,0.681,0.489,0.492,3.531,4.233,2.478,1.339,3.834,0.028,0.0
43,Test,False,3384,7132,7340,6210,4798,4010,2912,2366,1820,1488,3834,1752,930,660,458,444,380,386,2396,2534,1212,586,3502,368,0,60902,5.556,11.711,12.052,10.197,7.878,6.584,4.781,3.885,2.988,2.443,6.295,2.877,1.527,1.084,0.752,0.729,0.624,0.634,3.934,4.161,1.99,0.962,5.75,0.604,0.0
44,Test,False,4816,8820,7752,5968,4036,3076,2256,1682,1380,1104,3564,1944,1016,664,542,428,430,340,2644,2520,1368,884,1838,0,0,59072,8.153,14.931,13.123,10.103,6.832,5.207,3.819,2.847,2.336,1.869,6.033,3.291,1.72,1.124,0.918,0.725,0.728,0.576,4.476,4.266,2.316,1.496,3.111,0.0,0.0
45,Test,True,2434,5462,6326,6172,5316,4192,3280,2710,1952,1582,4522,2168,1310,898,716,586,512,402,2446,2090,1108,698,3402,16,48,60348,4.033,9.051,10.483,10.227,8.809,6.946,5.435,4.491,3.235,2.621,7.493,3.592,2.171,1.488,1.186,0.971,0.848,0.666,4.053,3.463,1.836,1.157,5.637,0.027,0.08
46,Test,False,2150,5160,6178,6170,5336,4504,3440,2562,2044,1400,3798,2088,1588,1272,732,554,470,430,2960,2816,1424,838,1248,0,0,59162,3.634,8.722,10.443,10.429,9.019,7.613,5.815,4.33,3.455,2.366,6.42,3.529,2.684,2.15,1.237,0.936,0.794,0.727,5.003,4.76,2.407,1.416,2.109,0.0,0.0
47,Test,False,3870,7554,8456,6984,5624,4142,2984,2204,1646,1246,3106,1196,590,416,366,266,256,246,1922,2456,1244,632,2822,0,8,60236,6.425,12.541,14.038,11.594,9.337,6.876,4.954,3.659,2.733,2.069,5.156,1.986,0.979,0.691,0.608,0.442,0.425,0.408,3.191,4.077,2.065,1.049,4.685,0.0,0.013
48,Test,True,5610,9694,7896,5592,4150,2820,2162,1680,1314,1038,2740,1494,1068,666,500,436,390,286,2366,2984,1718,886,1230,0,0,58720,9.554,16.509,13.447,9.523,7.067,4.802,3.682,2.861,2.238,1.768,4.666,2.544,1.819,1.134,0.851,0.743,0.664,0.487,4.029,5.082,2.926,1.509,2.095,0.0,0.0
