user,eye,code,motion,nbins,Fixation,Saccade,Smooth,Blink
20,right,101,saccade,9836,6726,843,0,2267
20,right,202,smooth,5534,0,446,4163,925
20,right,201,saccade,9863,6558,736,0,2569
21,left,102,smooth,5697,0,305,5390,2
21,left,101,saccade,9822,9038,755,0,29
21,left,202,smooth,5668,0,237,5428,3
21,left,201,saccade,10044,9343,688,0,13
21,right,101,saccade,9771,8029,975,0,767
21,right,102,smooth,5645,0,705,4772,168
21,right,202,smooth,5618,0,634,4892,92
21,right,201,saccade,9994,8228,965,0,801
22,left,102,smooth,5592,0,425,5081,86
22,left,201,saccade,10043,8984,516,0,543
22,left,101,saccade,9960,8901,505,0,554
22,right,101,saccade,9888,7651,709,0,1528
22,left,202,smooth,5576,0,455,5060,61
22,right,102,smooth,5543,0,639,4410,494
22,right,201,saccade,9988,7658,693,0,1637
22,right,202,smooth,5526,0,591,4437,498
23,left,102,smooth,5367,0,454,4834,79
23,left,101,saccade,9987,9030,547,0,410
23,left,202,smooth,5368,0,508,4801,59
23,left,201,saccade,10032,8961,665,0,406
23,right,102,smooth,5315,0,526,4235,554
23,right,101,saccade,9932,7698,936,0,1298
23,right,202,smooth,5326,0,591,4137,598
23,right,201,saccade,9983,7636,901,0,1446
24,left,102,smooth,5368,0,474,4767,127
24,left,101,saccade,10260,9411,397,0,452
24,left,202,smooth,5397,0,495,4799,103
24,right,101,saccade,10210,8400,801,0,1009
24,left,201,saccade,10386,8827,772,0,787
24,right,102,smooth,5330,0,344,4335,651
24,right,202,smooth,5348,0,386,4321,641
24,right,201,saccade,10325,7821,787,0,1717
25,left,102,smooth,5326,0,386,4898,42
25,left,101,saccade,10146,9288,358,0,500
25,left,202,smooth,5349,0,392,4899,58
25,left,201,saccade,10088,9185,396,0,507
25,right,101,saccade,10096,8055,805,0,1236
25,right,102,smooth,5287,0,487,4408,392
25,right,202,smooth,5295,0,503,4407,385
25,right,201,saccade,10045,7951,774,0,1320
26,left,102,smooth,5407,0,531,4712,164
26,left,101,saccade,10074,8492,979,0,603
26,left,202,smooth,5355,0,496,4768,91
26,left,201,saccade,10093,8426,956,0,711
26,right,102,smooth,5361,0,580,4273,508
26,right,101,saccade,10013,7330,985,0,1698
26,right,202,smooth,5311,0,574,4382,355
26,right,201,saccade,10023,7320,994,0,1709
27,left,102,smooth,5338,0,531,4672,135
27,left,101,saccade,10079,8713,708,0,658
27,left,201,saccade,10116,8710,710,0,696
27,right,101,saccade,112015,102003,0,0,10012
27,left,202,smooth,5289,0,538,4645,106
27,right,102,smooth,5272,0,461,4230,581
27,right,202,smooth,5232,0,442,4241,549
27,right,201,saccade,10054,7691,752,0,1611
28,left,102,smooth,5386,0,586,4629,171
28,left,101,saccade,10061,9019,541,0,501
28,left,202,smooth,5280,0,542,4628,110
28,left,201,saccade,10016,8810,659,0,547
28,right,102,smooth,5340,0,452,4050,838
28,right,101,saccade,10015,7651,775,0,1589
28,right,202,smooth,5238,0,407,4047,784
28,right,201,saccade,9976,7366,860,0,1750
29,left,102,smooth,5338,0,609,4640,89
29,left,101,saccade,10000,8258,848,0,894
29,left,202,smooth,5429,0,624,4727,78
29,left,201,saccade,9913,8216,1148,0,549
29,right,102,smooth,5293,0,547,4217,529
29,right,101,saccade,9938,7168,747,0,2023
29,right,201,saccade,9872,7361,715,0,1796
29,right,202,smooth,5365,0,596,4232,537
30,left,102,smooth,5408,0,485,4771,152
30,left,101,saccade,10141,8877,631,0,633
30,left,201,saccade,9984,8833,565,0,586
30,left,202,smooth,5407,0,441,4833,133
30,right,101,saccade,10095,7435,790,0,1870
30,right,102,smooth,5362,0,399,4271,692
30,right,202,smooth,5362,0,469,4272,621
30,right,201,saccade,9942,7362,860,0,1720
31,left,102,smooth,5648,0,774,4784,90
31,left,101,saccade,9951,8608,660,0,683
31,left,202,smooth,5576,0,707,4762,107
31,left,201,saccade,9911,8457,884,0,570
31,right,101,saccade,9908,7513,850,0,1545
31,right,102,smooth,5595,0,505,4305,785
31,right,202,smooth,5533,0,540,4295,698
31,right,201,saccade,9867,7454,885,0,1528
32,left,102,smooth,5649,0,497,5108,44
32,left,101,saccade,10065,8688,798,0,579
32,left,202,smooth,5654,0,363,5274,17
32,left,201,saccade,9971,8711,909,0,351
32,right,101,saccade,10005,7301,994,0,1710
32,right,102,smooth,5587,0,850,4474,263
32,right,202,smooth,5581,0,811,4622,148
32,right,201,saccade,9911,7479,1120,0,1312
33,left,102,smooth,5448,0,429,4793,226
33,left,101,saccade,10075,9146,348,0,581
33,left,202,smooth,5384,0,474,4699,211
33,left,201,saccade,10040,9075,383,0,582
33,right,102,smooth,5402,0,438,4266,698
33,right,101,saccade,10024,7889,670,0,1465
33,right,202,smooth,5328,0,406,4222,700
33,right,201,saccade,9986,7894,607,0,1485
34,left,102,smooth,5371,0,551,4650,170
34,left,101,saccade,10205,9022,542,0,641
34,left,202,smooth,5404,0,544,4733,127
34,left,201,saccade,10022,8799,533,0,690
34,right,102,smooth,5325,0,470,4163,692
34,right,101,saccade,10150,7561,864,0,1725
34,right,201,saccade,9981,7527,748,0,1706
34,right,202,smooth,5361,0,470,4242,649
35,left,102,smooth,5766,0,486,5197,83
35,left,101,saccade,10142,8710,821,0,611
35,left,202,smooth,5704,0,485,5142,77
35,left,201,saccade,10078,8689,811,0,578
35,right,102,smooth,5713,0,624,4507,582
35,right,101,saccade,10044,7045,950,0,2049
35,right,202,smooth,5648,0,646,4449,553
35,right,201,saccade,10031,7094,829,0,2108
36,left,102,smooth,5680,0,647,4956,77
36,left,101,saccade,10008,8665,857,0,486
36,left,202,smooth,5680,0,612,4999,69
36,left,201,saccade,10003,8707,866,0,430
36,right,102,smooth,5632,0,573,4296,763
36,right,101,saccade,9945,7146,1034,0,1765
36,right,202,smooth,5630,0,463,4358,809
36,right,201,saccade,9952,7250,839,0,1863
37,left,102,smooth,5599,0,512,5021,66
37,left,101,saccade,10112,9100,561,0,451
37,left,202,smooth,5616,0,424,5148,44
37,left,201,saccade,10013,9033,527,0,453
37,right,101,saccade,10060,7513,1016,0,1531
37,right,102,smooth,5559,0,501,4550,508
37,right,202,smooth,5550,0,467,4615,468
37,right,201,saccade,9968,7457,927,0,1584
38,left,102,smooth,5312,0,454,4771,87
38,left,101,saccade,10035,8790,674,0,571
38,left,202,smooth,5332,0,478,4758,96
38,left,201,saccade,9990,8723,679,0,588
38,right,102,smooth,5262,0,528,4262,472
38,right,101,saccade,9974,7223,844,0,1907
38,right,202,smooth,5280,0,532,4196,552
38,right,201,saccade,9924,7192,807,0,1925
39,left,102,smooth,5296,0,430,4835,31
39,left,101,saccade,9990,8778,940,0,272
39,left,202,smooth,5328,0,404,4904,20
39,left,201,saccade,9986,8815,919,0,252
39,right,102,smooth,5242,0,596,4360,286
39,right,201,saccade,9950,7698,728,0,1524
39,right,101,saccade,9931,7624,815,0,1492
39,right,202,smooth,5272,0,508,4383,381
40,left,102,smooth,5552,0,239,5292,21
40,left,101,saccade,10399,9069,769,0,561
40,left,202,smooth,5613,0,247,5334,32
40,left,201,saccade,9951,8789,721,0,441
40,right,102,smooth,5509,0,464,4928,117
40,right,101,saccade,10354,7665,826,0,1863
40,right,201,saccade,9897,7491,828,0,1578
40,right,202,smooth,5568,0,469,4975,124
41,left,102,smooth,5719,0,570,4986,163
41,left,101,saccade,10031,8880,611,0,540
41,left,202,smooth,5674,0,539,4986,149
41,left,201,saccade,10014,8704,720,0,590
41,right,102,smooth,5663,0,463,4378,822
41,right,101,saccade,9982,7261,901,0,1820
41,right,202,smooth,5628,0,506,4313,809
41,right,201,saccade,9954,7143,839,0,1972
42,left,102,smooth,5676,0,677,4766,233
42,left,101,saccade,9984,7882,929,0,1173
42,left,202,smooth,5673,0,638,4811,224
42,left,201,saccade,10048,7963,908,0,1177
42,right,102,smooth,5620,0,418,4269,933
42,right,101,saccade,9912,6640,763,0,2509
42,right,202,smooth,5628,0,400,4350,878
42,right,201,saccade,9996,6714,679,0,2603
43,left,102,smooth,5686,0,624,4998,64
43,left,101,saccade,10020,8909,591,0,520
43,left,202,smooth,5669,0,560,5057,52
43,left,201,saccade,10004,9003,536,0,465
43,right,102,smooth,5637,0,622,4305,710
43,right,101,saccade,9949,7293,887,0,1769
43,right,202,smooth,5625,0,531,4362,732
43,right,201,saccade,9954,7581,850,0,1523
44,left,102,smooth,5604,0,592,4897,115
44,left,201,saccade,9937,8616,730,0,591
44,left,101,saccade,9982,8564,810,0,608
44,left,202,smooth,5574,0,566,4857,151
44,right,101,saccade,9927,7177,762,0,1988
44,right,102,smooth,5543,0,519,4282,742
44,right,202,smooth,5533,0,479,4245,809
44,right,201,saccade,9875,7298,739,0,1838
45,left,102,smooth,5751,0,480,5231,40
45,left,101,saccade,9994,8770,748,0,476
45,left,202,smooth,5631,0,463,5135,33
45,left,201,saccade,9970,8835,891,0,244
45,right,102,smooth,5701,0,774,4652,275
45,right,101,saccade,9946,7393,1048,0,1505
45,right,202,smooth,5579,0,680,4534,365
45,right,201,saccade,9913,7730,1030,0,1153
46,left,102,smooth,5647,0,451,5169,27
46,left,101,saccade,10085,8858,850,0,377
46,left,202,smooth,5612,0,558,5020,34
46,left,201,saccade,10070,8572,1119,0,379
46,right,102,smooth,5603,0,533,4703,367
46,right,101,saccade,10038,7702,894,0,1442
46,right,202,smooth,5560,0,672,4477,411
46,right,201,saccade,10023,7256,972,0,1795
47,left,102,smooth,5570,0,572,4917,81
47,left,101,saccade,9935,8855,599,0,481
47,left,202,smooth,5646,0,558,4992,96
47,left,201,saccade,10039,8869,687,0,483
47,right,101,saccade,9883,7588,880,0,1415
47,right,102,smooth,5519,0,456,4334,729
47,right,202,smooth,5590,0,460,4329,801
47,right,201,saccade,9996,7550,889,0,1557
48,left,102,smooth,5643,0,697,4823,123
48,left,101,saccade,10120,8648,886,0,586
48,left,202,smooth,5649,0,782,4684,183
48,left,201,saccade,9978,8166,1305,0,507
48,right,102,smooth,5591,0,463,4219,909
48,right,101,saccade,10012,7202,743,0,2067
48,right,202,smooth,5590,0,489,4024,1077
48,right,201,saccade,9918,6825,784,0,2309
