dur,T_sacc,T_blink,n_sacc_ep,n_blink_ep,miss,sacc_sess,user,skip
97.0273817,1.03,0.72,153,2,4,False,6,18
96.360077,1.04,0.72,172,0,0,False,6,18
198.5199149,4.325,1.44,431,1,2,True,6,36
96.07417545,1.15,0.6,170,1,2,False,6,15
193.160154,3.635,4.48,385,2,5,True,6,112
97.880079,0.91,0.76,164,0,0,False,7,19
191.600153,2.825,2.12,372,1,1,True,7,53
97.89740725,0.865,0.68,158,0,0,False,7,17
192.240155,2.915,1.0,374,1,1,True,7,25
96.93879820000001,0.98,0.76,167,0,0,False,7,19
190.720153,2.91,1.28,377,1,1,True,7,32
96.920078,0.88,0.64,163,1,2,False,7,16
191.2646255,3.02,0.84,406,2,2,True,7,21
98.240079,1.07,5.0,195,13,26,False,8,125
197.480159,2.21,8.24,386,15,23,True,8,206
96.720077,1.03,4.72,198,14,27,False,8,118
197.400159,2.425,11.040000000000001,395,39,72,True,8,276
97.240078,1.055,4.72,191,18,46,False,8,118
196.400157,2.515,6.72,413,18,41,True,8,168
196.320157,2.8,13.52,401,44,97,True,8,338
95.800077,1.01,5.16,192,17,43,False,8,129
105.200085,1.285,2.48,187,2,3,False,9,62
189.7748011,5.505,1.84,473,9,16,True,9,46
102.760083,1.37,0.56,207,2,4,False,9,14
191.160154,6.225,0.88,504,7,11,True,9,22
104.080083,0.76,1.32,130,1,2,False,9,33
188.680151,3.975,0.32,403,1,1,True,9,8
101.760081,0.815,0.48,142,1,2,False,9,12
190.160153,4.365,0.48,424,4,8,True,9,12
105.143873,1.545,3.92,214,9,12,False,10,98
193.760155,5.81,5.04,550,10,14,True,10,126
105.7548663,1.4,4.08,203,9,15,False,10,102
190.7543954,4.655,3.0,500,8,14,True,10,75
103.9541488,1.375,2.96,195,7,8,False,10,74
192.75649090000002,4.975,4.84,521,9,13,True,10,121
189.760152,3.875,5.0,447,9,14,True,10,125
104.53611275,1.09,4.5600000000000005,181,8,11,False,10,114
106.02142375,0.975,3.7600000000000002,153,7,13,False,11,94
192.800155,6.01,6.88,530,29,52,True,11,172
191.360153,4.78,5.48,413,13,28,True,11,137
106.0277082,0.765,2.2800000000000002,120,3,6,False,11,57
104.960084,0.87,2.7600000000000002,142,9,16,False,11,69
191.680154,5.125,5.48,459,28,42,True,11,137
105.02892605,0.63,1.32,109,4,8,False,11,33
190.240153,4.37,4.24,436,17,32,True,11,106
102.640082,1.2,1.36,180,7,9,False,12,34
190.160152,5.715,2.92,547,9,12,True,12,73
189.800152,4.505,3.3200000000000003,483,10,16,True,12,83
102.680082,1.215,0.84,205,4,5,False,12,21
101.680081,0.885,1.28,165,8,18,False,12,32
189.160152,3.785,2.24,496,15,30,True,12,56
101.8373882,0.98,0.96,180,6,19,False,12,24
188.760152,2.61,2.72,408,13,27,True,12,68
103.01603779999999,1.38,1.2,228,0,0,False,13,30
190.520153,5.035,3.2,429,0,0,True,13,80
102.130971,1.59,0.12,240,0,0,False,13,3
191.320154,5.12,2.2,421,0,0,True,13,55
102.2394578,0.77,0.32,128,0,0,False,13,8
189.440152,3.495,1.96,372,0,0,True,13,49
190.080152,3.47,0.88,367,1,2,True,13,22
101.11908659999999,0.925,0.04,160,0,0,False,13,1
105.71907359999999,1.295,3.24,222,12,16,False,14,81
192.760155,3.22,6.6000000000000005,442,31,48,True,14,165
193.0707011,3.67,7.72,506,76,112,True,14,193
106.160085,1.35,2.56,236,19,32,False,14,64
104.560084,1.575,2.12,229,10,16,False,14,53
191.720153,4.455,5.4,486,27,47,True,14,135
104.4673403,1.415,2.64,224,17,38,False,14,66
191.880154,4.535,5.96,544,59,93,True,14,149
103.080083,1.55,2.56,261,11,20,False,15,64
191.600153,3.51,2.64,496,13,20,True,15,66
102.400082,1.195,2.32,216,10,22,False,15,58
192.560154,3.065,9.08,504,43,83,True,15,227
102.160082,1.135,1.68,216,9,12,False,15,42
190.360152,3.12,1.32,451,9,14,True,15,33
101.360081,1.025,1.32,197,7,14,False,15,33
191.520153,2.505,6.5200000000000005,456,33,68,True,15,163
97.440078,0.72,3.24,131,13,45,False,16,81
191.1975529,3.335,5.5200000000000005,430,23,76,True,16,138
96.680078,0.795,4.44,139,22,72,False,16,111
189.080151,2.935,5.92,412,32,99,True,16,148
96.43099554999999,0.77,2.32,135,11,35,False,16,58
190.240152,3.725,3.48,426,18,53,True,16,87
188.040151,3.725,3.68,429,30,74,True,16,92
95.720077,0.84,2.92,142,21,51,False,16,73
97.560078,1.165,5.92,218,38,74,False,17,148
198.49784284999998,3.19,14.120000000000001,543,114,265,True,17,353
98.440079,1.375,9.8,252,76,186,False,17,245
194.240155,3.255,18.52,553,134,330,True,17,463
96.600078,1.14,4.2,214,37,82,False,17,105
197.4395111,3.455,13.040000000000001,533,111,266,True,17,326
97.4791309,1.23,8.92,228,75,199,False,17,223
193.11026205000002,3.16,17.72,537,131,343,True,17,443
96.9892751,0.76,2.96,144,6,20,False,18,74
193.800155,1.85,2.48,320,5,13,True,18,62
193.75547255,1.82,3.52,339,16,88,True,18,88
96.760077,0.835,1.44,157,2,6,False,18,36
95.920077,0.795,1.96,158,23,137,False,18,49
192.920154,2.105,1.84,356,14,39,True,18,46
95.640076,0.94,0.72,177,16,42,False,18,18
192.593495,1.91,4.16,364,43,346,True,18,104
103.760084,0.87,1.92,157,0,0,False,19,48
192.400154,3.345,0.48,411,1,1,True,19,12
103.840083,0.835,0.8,154,0,0,False,19,20
195.8192641,3.07,2.88,428,0,0,True,19,72
102.93874685,0.92,1.12,168,1,1,False,19,28
191.080153,4.12,0.6,451,2,2,True,19,15
102.920082,0.935,0.88,178,0,0,False,19,22
194.920157,3.575,2.24,478,2,2,True,19,56
103.880083,2.38,4.96,352,14,18,False,20,124
188.560151,6.69,9.8,656,71,153,True,20,245
102.43120005,2.215,2.6,320,21,37,False,20,65
189.520152,6.655,12.44,679,85,221,True,20,311
102.760082,2.52,6.84,349,33,78,False,20,171
187.6609097,7.655,13.24,670,82,261,True,20,331
101.600082,2.505,3.92,332,27,62,False,20,98
188.27265094999998,7.405,15.24,641,88,306,True,20,381
104.080083,0.865,1.52,161,26,183,False,21,38
187.33484085,2.215,1.16,349,13,27,True,21,29
104.280083,0.885,1.0,172,12,63,False,21,25
191.800154,1.73,2.2,316,28,178,True,21,55
103.840084,1.025,1.76,200,7,22,False,21,44
186.39893880000002,2.235,0.92,359,2,2,True,21,23
190.840153,1.92,2.2,345,2,2,True,21,55
103.320082,0.9,1.36,164,2,7,False,21,34
102.79863155,0.69,1.12,122,4,9,False,22,28
190.120152,3.93,1.32,397,2,2,True,22,33
102.440082,0.72,0.2,114,2,2,False,22,5
191.800154,3.835,2.16,429,5,6,True,22,54
188.787507,3.37,0.28,404,2,2,True,22,7
101.800082,0.675,0.6,113,6,12,False,22,15
101.480081,0.695,0.16,127,2,3,False,22,4
190.680153,3.315,1.08,417,5,6,True,22,27
98.2850993,1.055,2.8000000000000003,197,0,0,False,23,70
190.640153,2.505,2.4,408,0,0,True,23,60
98.280079,1.3,0.88,244,0,0,False,23,22
191.560154,2.54,3.52,419,5,7,True,23,88
97.240078,1.11,1.68,216,0,0,False,23,42
189.600152,2.12,1.24,370,0,0,True,23,31
190.640153,2.12,2.36,402,4,6,True,23,59
97.50299595,1.365,0.84,273,0,0,False,23,21
98.280079,1.46,3.0,191,9,22,False,24,75
196.120157,4.525,3.36,475,4,7,True,24,84
98.880079,1.58,1.84,210,7,19,False,24,46
198.68733105,7.13,11.120000000000001,721,53,149,True,24,278
97.54973505,1.47,1.92,224,7,14,False,24,48
195.160156,4.875,2.08,463,2,3,True,24,52
97.960079,1.24,1.6,175,6,16,False,24,40
197.440158,6.205,8.28,647,49,114,True,24,207
97.4944542,1.145,2.44,189,2,6,False,25,61
193.840155,5.045,2.84,444,1,3,True,25,71
97.880078,1.225,3.2800000000000002,195,2,7,False,25,82
192.6993736,4.58,3.04,456,3,10,True,25,76
192.840155,4.66,1.84,429,1,4,True,25,46
96.73416415000001,0.86,1.56,140,2,5,False,25,39
96.880077,0.81,2.44,135,2,7,False,25,61
191.8764413,4.335,2.2,395,3,10,True,25,55
99.080079,2.14,6.2,296,21,56,False,26,155
192.55628905,6.675,7.88,662,46,113,True,26,197
98.040078,1.845,4.24,255,13,33,False,26,106
192.83931165,7.385,8.88,645,53,126,True,26,222
98.16853625,1.6,4.84,237,19,53,False,26,121
191.31990155000003,5.525,6.6000000000000005,596,43,111,True,26,165
97.1706049,1.55,3.2,216,13,37,False,26,80
191.46407325,6.64,7.36,657,51,126,True,26,184
192.5575028,4.845,3.6,490,2,3,True,27,90
97.69331059999999,1.35,1.0,200,0,0,False,27,25
96.760077,1.205,0.48,186,0,0,False,27,12
193.240155,4.965,4.72,529,1,3,True,27,118
96.400077,1.39,0.64,210,0,0,False,27,16
191.3387025,4.56,2.4,499,1,2,True,27,60
192.11994915,4.575,3.6,534,1,2,True,27,90
95.6318622,1.415,0.48,215,0,0,False,27,12
98.680079,1.31,3.16,222,1,1,False,28,79
192.160154,4.25,3.2,435,1,1,True,28,80
191.280153,4.105,2.0,484,1,1,True,28,50
96.600078,1.265,0.72,195,0,0,False,28,18
97.760079,1.455,3.52,270,15,25,False,28,88
191.2797546,4.28,3.16,501,11,22,True,28,79
190.480153,3.875,2.68,529,15,26,True,28,67
95.7987053,1.525,1.04,258,3,4,False,28,26
97.71156484999999,1.645,5.68,253,28,57,False,29,142
190.95986715,5.415,12.16,621,102,171,True,29,304
99.52008,1.58,7.8,263,36,75,False,29,195
189.360151,4.295,10.6,545,87,163,True,29,265
96.8725824,1.705,5.0,245,23,29,False,29,125
189.7282931,5.515,11.28,581,99,167,True,29,282
188.360151,4.63,11.32,581,94,173,True,29,283
98.240079,1.815,6.6000000000000005,268,26,40,False,29,165
99.09446325,2.13,4.4,253,7,19,False,30,110
193.760155,6.53,6.16,512,26,60,True,30,154
99.0553425,1.885,1.08,229,5,10,False,30,27
190.600153,5.66,4.6000000000000005,415,18,43,True,30,115
98.160079,2.235,3.6,217,8,21,False,30,90
192.840155,6.565,5.32,443,24,59,True,30,133
189.800152,5.955,3.7600000000000002,389,17,41,True,30,94
98.18755829999999,1.82,1.12,203,5,10,False,30,28
103.880083,0.87,1.84,152,4,11,False,31,46
189.920152,3.545,2.16,412,4,8,True,31,54
102.360082,1.02,1.56,167,8,16,False,31,39
189.120152,3.605,2.24,442,14,26,True,31,56
102.86699809999999,1.135,0.68,194,4,13,False,31,17
189.13325890000002,4.76,1.44,462,5,8,True,31,36
101.520081,1.355,1.36,208,8,16,False,31,34
188.28015,4.84,2.2,515,14,31,True,31,55
192.2799334,3.32,3.56,474,7,18,True,32,89
103.880083,0.815,4.2,149,1,3,False,32,105
104.0293585,0.81,6.48,145,7,19,False,32,162
190.39967145,2.805,4.76,449,4,8,True,32,119
102.71786395000001,0.99,4.04,193,2,2,False,32,101
191.040153,2.76,3.2,464,4,10,True,32,80
102.5697515,0.94,7.68,186,6,12,False,32,192
189.188487,2.58,10.64,461,2,5,True,32,266
99.84008,2.575,0.68,332,2,3,False,33,17
192.4540667,6.345,3.36,503,3,3,True,33,84
98.600079,2.575,0.4,377,4,6,False,33,10
191.680153,7.06,0.2,537,1,1,True,33,5
191.400154,5.945,2.7600000000000002,504,11,17,True,33,69
98.960079,2.43,0.2,351,3,5,False,33,5
97.5461126,2.195,0.52,327,6,12,False,33,13
190.640152,6.435,0.64,578,7,11,True,33,16
98.320079,2.72,2.24,360,0,0,False,34,56
195.040156,7.715,6.12,573,4,5,True,34,153
99.02253275,2.01,0.24,282,0,0,False,34,6
191.360153,8.02,3.64,585,0,0,True,34,91
97.440078,2.275,1.44,335,4,6,False,34,36
193.99823694999998,6.795,5.04,563,4,16,True,34,126
190.560153,7.04,2.88,581,11,20,True,34,72
98.18484115000001,1.785,0.32,292,2,4,False,34,8
193.720155,4.605,4.32,530,17,42,True,35,108
106.2727348,1.5,2.08,222,9,26,False,35,52
104.99840845,1.46,5.2,258,11,25,False,35,130
192.480154,3.445,6.6000000000000005,495,22,66,True,35,165
105.23950225,1.4,1.8,209,11,32,False,35,45
191.800154,4.91,3.7600000000000002,510,22,62,True,35,94
191.520154,2.99,6.2,472,24,79,True,35,155
103.880083,1.355,2.92,238,11,29,False,35,73
104.520084,1.49,0.88,245,2,4,False,36,22
191.080154,4.785,0.96,491,10,16,True,36,24
104.54490765,1.635,0.84,260,4,7,False,36,21
190.960153,4.325,1.8800000000000001,488,10,18,True,36,47
103.63901825,1.425,0.64,253,3,7,False,36,16
189.84838355000002,4.52,1.08,501,12,24,True,36,27
190.000152,4.165,1.24,507,15,29,True,36,31
103.54223379999999,1.42,0.52,236,4,9,False,36,13
102.880082,1.295,2.0,211,12,31,False,37,50
193.160155,3.74,1.76,450,6,8,True,37,44
103.22864154999999,1.02,0.44,178,5,9,False,37,11
191.160153,3.83,2.16,438,6,9,True,37,54
102.1975517,0.955,1.6,169,13,27,False,37,40
192.1997843,3.91,1.32,431,6,10,True,37,33
101.880081,0.825,0.6,143,5,11,False,37,15
190.280152,4.065,1.36,425,6,9,True,37,34
97.19639595,1.005,1.92,162,11,28,False,38,48
191.5588952,4.0,5.5600000000000005,452,23,70,True,38,139
97.520078,0.97,2.04,165,10,42,False,38,51
190.640153,3.89,6.28,444,24,72,True,38,157
190.400153,3.21,5.44,462,24,68,True,38,136
96.1950921,1.01,2.2,179,11,32,False,38,55
96.55882365000001,1.1,2.24,186,10,35,False,38,56
189.35695025,3.215,5.96,451,24,75,True,38,149
96.840078,1.155,0.36,204,4,7,False,39,9
190.74628605,3.525,0.56,506,7,9,True,39,14
190.640153,3.34,1.52,505,7,9,True,39,38
97.480078,0.93,0.2,173,5,8,False,39,5
95.760077,1.375,0.4,235,2,4,False,39,10
189.5284381,3.7,0.6,533,4,5,True,39,15
96.4314898,1.185,0.48,217,0,0,False,39,12
189.99955685,3.575,0.76,517,5,5,True,39,19
102.120082,0.335,1.28,65,5,12,False,40,32
198.9051923,2.375,7.84,363,34,82,True,40,196
103.2116282,0.375,1.32,69,6,18,False,40,33
189.960152,2.29,4.5200000000000005,358,22,55,True,40,113
101.13720965,0.225,0.56,42,4,11,False,40,14
198.000159,2.595,6.44,371,37,74,True,40,161
102.30621945,0.36,1.44,64,5,14,False,40,36
188.880152,2.25,3.16,363,22,43,True,40,79
105.111438,2.34,3.04,326,8,17,False,41,76
191.560153,6.76,3.96,586,6,22,True,41,99
104.400084,2.13,1.76,330,13,28,False,41,44
191.22759125,6.315,5.36,601,16,56,True,41,134
104.200083,2.285,2.0,335,10,21,False,41,50
190.600153,6.3,3.12,619,7,24,True,41,78
103.53219775,2.055,1.96,317,9,17,False,41,49
190.000152,5.85,4.68,648,16,61,True,41,117
104.46242165000001,1.09,5.04,206,27,62,False,42,126
190.6206161,4.1,10.84,552,90,209,True,42,271
191.9197702,3.29,11.52,481,86,215,True,42,288
104.360084,1.18,2.72,215,25,56,False,42,68
103.320083,1.2,4.32,205,30,64,False,42,108
189.160152,4.485,11.16,536,89,203,True,42,279
103.480082,1.215,3.08,221,22,43,False,42,77
190.91414765000002,3.915,12.4,515,88,218,True,42,310
104.65825405,1.51,1.44,234,4,8,False,43,36
191.320154,5.77,1.6,482,6,13,True,43,40
104.280084,1.175,1.16,198,4,12,False,43,29
186.92015,4.61,6.24,422,8,19,True,43,156
103.70343079999999,1.26,1.4000000000000001,196,6,12,False,43,35
189.960152,5.83,2.0,485,9,19,True,43,50
185.880149,4.59,6.28,403,8,19,True,43,157
103.480082,0.98,1.2,162,3,6,False,43,30
103.000082,0.79,1.0,147,6,7,False,44,25
190.560152,3.46,1.32,460,10,13,True,44,33
189.70930884999999,3.26,1.48,435,7,11,True,44,37
102.400082,1.015,1.2,165,11,20,False,44,30
101.800082,0.715,0.72,133,8,14,False,44,18
189.520151,2.875,1.04,391,9,17,True,44,26
188.440151,2.885,0.76,392,7,14,True,44,19
101.600082,1.06,1.16,185,11,20,False,44,29
105.920085,1.19,2.2800000000000002,206,10,23,False,45,57
190.800153,3.88,5.96,458,29,60,True,45,149
103.520083,1.115,1.24,204,11,25,False,45,31
190.3950844,3.2,4.96,436,23,53,True,45,124
105.00833635,1.465,1.28,236,9,26,False,45,32
189.880152,5.205,5.12,498,28,79,True,45,128
102.55135875,1.115,1.0,194,9,22,False,45,25
189.18570525,5.06,3.48,472,25,68,True,45,87
103.840083,0.675,2.04,115,1,1,False,46,51
192.640155,2.725,3.2800000000000002,406,9,14,True,46,82
103.200083,0.73,1.84,137,14,27,False,46,46
192.35992275,2.85,4.8,464,25,36,True,46,120
102.960082,0.96,1.28,171,4,7,False,46,32
191.680153,3.33,3.24,469,17,33,True,46,81
102.18979645,1.09,2.72,200,16,33,False,46,68
191.400153,3.56,5.08,545,37,70,True,46,127
102.3571527,0.9,0.68,147,0,0,False,47,17
189.6602992,3.795,0.68,395,2,5,True,47,17
103.840083,1.11,3.56,192,2,2,False,47,89
191.73872584999998,3.385,3.92,401,4,8,True,47,98
101.360082,0.94,0.08,148,0,0,False,47,2
188.600151,4.245,0.56,389,4,8,True,47,14
190.880153,3.895,3.04,387,5,12,True,47,76
102.760083,1.085,2.36,175,1,1,False,47,59
103.800083,1.07,3.48,195,19,34,False,48,87
193.320155,3.405,6.5600000000000005,481,26,53,True,48,164
190.480153,3.095,8.76,501,47,105,True,48,219
103.920083,1.295,4.08,230,24,45,False,48,102
102.760082,1.13,1.8800000000000001,208,13,21,False,48,47
191.200153,3.94,2.88,512,17,33,True,48,72
102.800083,1.415,2.48,244,13,28,False,48,62
189.320151,3.51,5.04,539,36,73,True,48,126
