user,eye,code,Fixation,Saccade,Smooth,Blink,total
46,right,202,0,23750,3657194,25454,3706398
47,left,101,11137411,175212,0,6249,11318872
47,left,102,0,36632,6460585,0,6497217
47,left,201,12320126,134059,0,12905,12467090
47,left,202,0,66912,7088268,5144,7160324
47,right,101,5571647,63544,0,475,5635666
47,right,102,0,15169,2869582,0,2884751
47,right,201,5929338,67801,0,817,5997956
47,right,202,0,19886,3213535,297,3233718
48,left,101,10682528,104227,0,153165,10939920
48,left,102,0,50107,5963896,106955,6120958
48,left,201,11733071,123158,0,293648,12149877
48,left,202,0,63235,6528305,165656,6757196
48,right,101,5866289,48369,0,40519,5955177
48,right,102,0,25576,3146789,31390,3203755
48,right,201,6698665,88036,0,121607,6908308
48,right,202,0,28889,3531282,79048,3639219
1,left,101,11784079,231854,0,70810,12086743
1,left,102,0,78251,6330983,27601,6436835
1,left,201,13309805,260339,0,179520,13749664
1,left,202,0,67504,6263016,30174,6360694
1,right,101,6920375,83843,0,1606,7005824
1,right,102,0,29186,3714818,215,3744219
1,right,201,8519523,125993,0,30299,8675815
1,right,202,0,57735,3672122,6935,3736792
2,left,101,9236670,109735,0,79581,9425986
2,left,102,0,40662,5143251,32702,5216615
2,left,201,9174288,119130,0,57827,9351245
2,left,202,0,32542,4541792,20188,4594522
2,right,101,6869360,67275,0,98145,7034780
2,right,102,0,24937,3588258,70866,3684061
2,right,201,6642288,115306,0,30314,6787908
2,right,202,0,14279,2772340,11169,2797788
3,left,101,13542313,244569,0,130804,13917686
3,left,102,0,76534,7687145,217091,7980770
3,left,201,13806840,324264,0,227996,14359100
3,left,202,0,66091,7077130,94369,7237590
3,right,101,8148314,199887,0,88843,8437044
3,right,102,0,30647,4469779,109586,4610012
3,right,201,8625759,208668,0,142278,8976705
3,right,202,0,28707,3958650,46444,4033801
4,left,101,13679210,350040,0,266209,14295459
4,left,102,0,161621,7562736,29176,7753533
4,left,201,14121787,389764,0,112500,14624051
4,left,202,0,128134,7034002,32909,7195045
4,right,101,8924181,162777,0,267361,9354319
4,right,102,0,146942,5076387,37094,5260423
4,right,201,9344494,224056,0,112473,9681023
4,right,202,0,91505,4640970,38666,4771141
5,left,101,10616100,214403,0,4868,10835371
5,left,102,0,35602,5521314,14990,5571906
5,left,201,11829373,264435,0,7821,12101629
5,left,202,0,86082,6254503,18370,6358955
5,right,101,5914642,112591,0,32391,6059624
5,right,102,0,17256,2703505,20623,2741384
5,right,201,7176205,134560,0,120412,7431177
5,right,202,0,50021,3378234,87166,3515421
6,left,101,10544113,163456,0,2936,10710505
6,left,102,0,56952,5365120,1591,5423663
6,left,201,9777309,117647,0,5614,9900570
6,left,202,0,47079,5329456,6780,5383315
6,right,101,5078157,98588,0,221,5176966
6,right,102,0,19318,2538716,0,2558034
6,right,201,4477509,20304,0,427,4498240
6,right,202,0,29419,2427600,166,2457185
7,left,101,8586519,78990,0,4119,8669628
7,left,102,0,34992,4645435,0,4680427
7,left,201,8597152,92262,0,1549,8690963
7,left,202,0,36633,4840194,0,4876827
7,right,101,4343553,15693,0,19,4359265
7,right,102,0,19223,2359615,0,2378838
7,right,201,4387435,36693,0,542,4424670
7,right,202,0,19078,2515856,60,2534994
8,left,101,10792826,98975,0,33697,10925498
8,left,102,0,51672,6797055,86721,6935448
8,left,201,12949119,231384,0,165372,13345875
8,left,202,0,49661,6529296,83435,6662392
8,right,101,6521444,50710,0,4247,6576401
8,right,102,0,26768,4245214,95281,4367263
8,right,201,8375462,130310,0,90033,8595805
8,right,202,0,23894,3931408,94176,4049478
9,left,101,11118030,197597,0,21174,11336801
9,left,102,0,53198,6262118,4212,6319528
9,left,201,11762705,295694,0,24849,12083248
9,left,202,0,62517,6034859,13092,6110468
9,right,101,5411970,57124,0,33,5469127
9,right,102,0,10066,3121442,304,3131812
9,right,201,8445168,120503,0,30134,8595805
9,right,202,0,33985,4015301,192,4049478
10,left,101,12730135,274077,0,57766,13061978
10,left,102,0,98895,7283624,47372,7429891
10,left,201,11667166,204357,0,23837,11895360
10,left,202,0,72746,7164724,46756,7284226
10,right,101,6763666,123759,0,10441,6897866
10,right,102,0,40595,3742656,17384,3800635
10,right,201,5961760,96729,0,4790,6063279
10,right,202,0,38505,3558992,8071,3605568
11,left,101,13013751,398583,0,69637,13481971
11,left,102,0,61325,6060240,43246,6164811
11,left,201,11262105,259087,0,36043,11557235
11,left,202,0,45048,5810707,14078,5869833
11,right,101,7902052,212902,0,12350,8127304
11,right,102,0,19899,3369926,5140,3394965
11,right,201,6438676,172408,0,2719,6613803
11,right,202,0,31347,2983327,11217,3025891
12,left,101,12540093,393069,0,17506,12950668
12,left,102,0,59320,6367742,28382,6455444
12,left,201,11425077,154744,0,21146,11600967
12,left,202,0,57064,6412647,9956,6479667
12,right,101,7435666,148777,0,21403,7605846
12,right,102,0,18461,3476819,31635,3526915
12,right,201,6600521,46726,0,3715,6650962
12,right,202,0,23474,3536598,28605,3588677
13,left,101,9285617,145210,0,0,9430827
13,left,102,0,53755,5266188,0,5319943
13,left,201,9520257,147690,0,0,9667947
13,left,202,0,71612,5365442,0,5437054
13,right,101,5099766,31109,0,0,5130875
13,right,102,0,16392,3077701,0,3094093
13,right,201,5184155,48375,0,5069,5237599
13,right,202,0,27474,3162971,0,3190445
14,left,101,11931469,168695,0,190166,12290330
14,left,102,0,60895,6620387,56012,6737294
14,left,201,15718496,333667,0,419693,16471856
14,left,202,0,74754,7825343,171674,8071771
14,right,101,8071901,171616,0,136745,8380262
14,right,102,0,53482,4438498,85365,4577345
14,right,201,11593412,375357,0,252799,12221568
14,right,202,0,38583,5356487,130230,5525300
15,left,101,12080110,225149,0,46962,12352221
15,left,102,0,91689,6902524,41276,7035489
15,left,201,13919999,215696,0,201707,14337402
15,left,202,0,57557,6064409,66115,6188081
15,right,101,7004636,121592,0,18360,7144588
15,right,102,0,46046,3798096,13693,3857835
15,right,201,8320065,95502,0,86270,8501837
15,right,202,0,19049,3090993,12853,3122895
16,left,101,11093258,199892,0,218818,11511968
16,left,102,0,31571,6468329,138491,6638391
16,left,201,10595448,172384,0,265694,11033526
16,left,202,0,36758,6125497,227509,6389764
16,right,101,6890667,137225,0,127367,7155259
16,right,102,0,35073,4128553,70180,4233806
16,right,201,6968983,134057,0,136925,7239965
16,right,202,0,29179,3968708,98690,4096577
17,left,101,14208332,217479,0,850734,15276545
17,left,102,0,50043,6559952,278635,6888630
17,left,201,14427302,285487,0,1147160,15859949
17,left,202,0,56085,6889145,719099,7664329
17,right,101,11548706,231677,0,549915,12330298
17,right,102,0,32269,4777463,184416,4994148
17,right,201,11794163,242978,0,866853,12903994
17,right,202,0,51077,5514481,566415,6131973
18,left,101,9209581,76098,0,22744,9308423
18,left,102,0,31484,5139103,41034,5211621
18,left,201,8539932,67152,0,163678,8770762
18,left,202,0,27328,4814798,7886,4850012
18,right,101,6179100,52778,0,36793,6268671
18,right,102,0,23709,3552511,242145,3818365
18,right,201,5590316,49740,0,404169,6044225
18,right,202,0,19043,3328345,49498,3396886
19,left,101,10149759,136234,0,1960,10287953
19,left,102,0,44242,5245837,0,5290079
19,left,201,10183061,131654,0,0,10314715
19,left,202,0,33377,5287047,0,5320424
19,right,101,6552095,95264,0,455,6647814
19,right,102,0,34376,3086619,77,3121072
19,right,201,6558404,102272,0,140,6660816
19,right,202,0,12576,3099091,0,3111667
20,left,101,14402147,562954,0,270918,15236019
20,left,102,0,131891,7135191,78333,7345415
20,left,201,14821934,492227,0,577236,15891397
20,left,202,0,113548,6460734,116526,6690808
20,right,101,12962101,613644,0,211888,13787633
20,right,102,0,96581,5973784,140457,6210822
20,right,201,13063624,442633,0,525275,14031532
20,right,202,0,101824,5204703,161877,5468404
21,left,101,10794866,95085,0,69652,10959603
21,left,102,0,45829,5618209,431043,6095081
21,left,201,9383284,62084,0,448898,9894266
21,left,202,0,32830,5069104,155708,5257642
21,right,101,5502386,34011,0,4336,5540733
21,right,102,0,32225,3144694,23457,3200376
21,right,201,4876240,26077,0,1587,4903904
21,right,202,0,18175,3019505,7110,3044790
22,left,101,9988525,121021,0,3233,10112779
22,left,102,0,38264,5776240,16287,5830791
22,left,201,9549167,108740,0,14803,9672710
22,left,202,0,32732,5389598,7501,5429831
22,right,101,4753141,52220,0,156,4805517
22,right,102,0,18876,2859168,15939,2893983
22,right,201,4777917,35858,0,6387,4820162
22,right,202,0,13679,2401061,9414,2424154
23,left,101,9059770,97955,0,0,9157725
23,left,102,0,45213,5193036,0,5238249
23,left,201,9422371,105130,0,28021,9555522
23,left,202,0,52778,4973278,0,5026056
23,right,101,5504497,34513,0,0,5539010
23,right,102,0,25221,3121246,0,3146467
23,right,201,5296767,50966,0,20743,5368476
23,right,202,0,32350,2797939,0,2830289
24,left,101,9196216,216230,0,10606,9423052
24,left,102,0,52357,5589568,42341,5684266
24,left,201,13846495,394877,0,306394,14547766
24,left,202,0,73745,5397988,40196,5511929
24,right,101,5312127,112893,0,240,5425260
24,right,102,0,36752,3414456,11176,3462384
24,right,201,9133322,206251,0,107797,9447370
24,right,202,0,16137,3110073,8736,3134946
25,left,101,9357376,119317,0,3062,9479755
25,left,102,0,55194,4859561,7660,4922415
25,left,201,9390118,140861,0,10183,9541162
25,left,202,0,49240,5075789,7579,5132608
25,right,101,4895680,28048,0,192,4923920
25,right,102,0,20357,2507085,1371,2528813
25,right,201,4936471,45686,0,329,4982486
25,right,202,0,14828,2627338,744,2642910
26,left,101,12142611,366836,0,234959,12744406
26,left,102,0,114038,6277333,204485,6595856
26,left,201,13451089,457303,0,338255,14246647
26,left,202,0,117023,5893135,121380,6131538
26,right,101,7494871,176969,0,90435,7762275
26,right,102,0,36651,3920794,119409,4076854
26,right,201,8571341,264848,0,187265,9023454
26,right,202,0,57105,3548381,68529,3674015
27,left,101,12448150,207848,0,4641,12660639
27,left,102,0,76876,6567486,0,6644362
27,left,201,12709472,271353,0,3173,12983998
27,left,202,0,97587,6736741,0,6834328
27,right,101,6050136,99025,0,250,6149411
27,right,102,0,41995,3082723,0,3124718
27,right,201,6264846,147075,0,232,6412153
27,right,202,0,64383,3184088,0,3248471
28,left,101,9574554,182189,0,1562,9758305
28,left,102,0,86347,6000265,1556,6088168
28,left,201,10282886,187647,0,43383,10513916
28,left,202,0,83891,5095731,0,5179622
28,right,101,5782463,101141,0,3551,5887155
28,right,102,0,51922,3823499,74423,3949844
28,right,201,6432344,96329,0,82846,6611519
28,right,202,0,56139,2936283,28039,3020461
29,left,101,15583144,780858,0,439590,16803592
29,left,102,0,99436,7119593,199112,7418141
29,left,201,14292422,196159,0,413060,14901641
29,left,202,0,91977,6871240,310413,7273630
29,right,101,12147465,153513,0,178269,12479247
29,right,102,0,64693,5538029,71227,5673949
29,right,201,10800427,111728,0,404871,11317026
29,right,202,0,95559,6077829,206006,6379394
30,left,101,11492946,337059,0,218207,12048212
30,left,102,0,131175,5727411,81395,5939981
30,left,201,10904656,240759,0,119724,11265139
30,left,202,0,90409,5412507,17733,5520649
30,right,101,7966752,165550,0,173929,8306231
30,right,102,0,113608,3798221,53202,3965031
30,right,201,7242267,153357,0,64669,7460293
30,right,202,0,56419,3553804,3850,3614073
31,left,101,12625815,157952,0,14750,12798517
31,left,102,0,49254,7405151,51762,7506167
31,left,201,13990293,193041,0,58741,14242075
31,left,202,0,69810,8067117,42349,8179276
31,right,101,7173977,80006,0,10527,7264510
31,right,102,0,23711,3963973,33736,4021420
31,right,201,7945061,142934,0,13629,8101624
31,right,202,0,44316,4225363,20134,4289813
32,left,101,12040224,134924,0,30982,12206130
32,left,102,0,43434,7508240,3713,7555387
32,left,201,12321599,129628,0,13885,12465112
32,left,202,0,63174,7076177,46306,7185657
32,right,101,6667463,63145,0,698,6731306
32,right,102,0,33427,4111429,4264,4149120
32,right,201,6723593,48345,0,2442,6774380
32,right,202,0,35317,3704293,20430,3760040
33,left,101,10076729,236996,0,4740,10318465
33,left,102,0,123962,5843495,5244,5972701
33,left,201,10247785,245068,0,2195,10495048
33,left,202,0,166462,6075114,10951,6252527
33,right,101,6251085,99562,0,19077,6369724
33,right,102,0,82223,3698385,1843,3782451
33,right,201,6499858,83978,0,1172,6585008
33,right,202,0,86377,4050299,63181,4199857
34,left,101,11672033,321295,0,15665,12008993
34,left,102,0,164408,6470230,0,6634638
34,left,201,12088066,268305,0,0,12356371
34,left,202,0,97602,6219821,0,6317423
34,right,101,8154970,130507,0,46920,8332397
34,right,102,0,130174,4448246,5234,4583654
34,right,201,8341185,93700,0,26065,8460950
34,right,202,0,57521,4134133,3674,4195328
35,left,101,11195892,249116,0,67024,11512032
35,left,102,0,53403,5723839,42168,5819410
35,left,201,10500919,169676,0,69970,10740565
35,left,202,0,70316,5475608,58516,5604440
35,right,101,6725038,142660,0,38075,6905773
35,right,102,0,24576,3190434,17963,3232973
35,right,201,6299035,71031,0,4498,6374564
35,right,202,0,33398,3182945,31136,3247479
36,left,101,9924123,192626,0,22129,10138878
36,left,102,0,78708,5547316,5384,5631408
36,left,201,9800227,160391,0,64916,10025534
36,left,202,0,63461,5342642,12275,5418378
36,right,101,6627867,102053,0,6617,6736537
36,right,102,0,45468,3484043,2338,3531849
36,right,201,6306541,59153,0,48322,6414016
36,right,202,0,19966,3138619,5142,3163727
