user,eye,code,n_ev
29,left,201,39644
29,right,102,24312
29,right,101,45489
29,right,201,39587
29,right,202,24824
30,left,102,32684
30,left,101,66022
30,left,202,31670
30,left,201,60235
30,right,102,37523
30,right,101,77227
30,right,201,68480
30,right,202,36869
31,left,102,31467
31,left,101,56028
31,left,202,31180
31,left,201,62527
31,right,102,37279
31,right,101,70507
31,right,202,35806
31,right,201,80556
32,left,101,43537
32,left,102,23272
32,left,202,21310
32,left,201,40369
32,right,102,19401
32,right,101,36094
32,right,202,17652
32,right,201,34086
33,left,102,36547
33,left,101,59418
33,left,202,34540
33,left,201,64327
33,right,101,54269
33,right,102,32531
33,right,202,30949
33,right,201,56439
34,left,102,43669
34,left,101,81275
34,left,202,41565
34,left,201,74090
34,right,102,39422
34,right,101,72580
34,right,201,65128
34,right,202,37796
35,left,101,36622
35,left,102,19619
35,left,202,17127
35,left,201,29854
35,right,102,23130
35,right,101,40975
35,right,201,29510
35,right,202,19154
36,left,102,27460
36,left,101,55847
36,left,202,26640
36,left,201,48480
36,right,102,27407
36,right,101,54700
36,right,201,47220
36,right,202,24586
37,left,102,26565
37,left,101,45288
37,left,202,25012
37,left,201,46111
37,right,102,27002
37,right,101,50689
37,right,202,23924
37,right,201,49820
38,left,102,23116
38,left,101,42804
38,left,202,24259
38,left,201,42217
38,right,101,34671
38,right,102,19010
38,right,202,20085
38,right,201,34420
39,left,102,28470
39,left,101,53810
39,left,201,48825
39,left,202,23828
39,right,102,29740
39,right,101,55059
39,right,202,24885
39,right,201,50580
40,left,102,20444
40,left,101,32523
40,left,202,19597
40,left,201,31911
40,right,102,22697
40,right,101,35939
40,right,202,22502
40,right,201,35570
41,left,102,25378
41,left,101,49676
41,left,202,22507
41,left,201,43721
41,right,102,24486
41,right,101,48352
41,right,202,22324
41,right,201,43907
42,left,102,18699
42,left,101,37278
42,left,201,32622
42,left,202,21502
42,right,102,20471
42,right,101,42712
42,right,202,23942
42,right,201,38013
43,left,102,31365
43,left,101,62287
43,left,202,27053
43,left,201,50383
43,right,102,28416
43,right,101,62427
43,right,201,48031
43,right,202,24402
44,left,102,25551
44,left,101,57049
44,left,201,51236
44,left,202,26679
44,right,102,21773
44,right,101,52251
44,right,201,46845
44,right,202,22916
45,left,102,25937
45,left,101,44124
45,left,202,21081
45,left,201,38612
45,right,102,32188
45,right,101,56751
45,right,202,27252
45,right,201,52995
46,left,102,31015
46,left,101,58291
46,left,202,27247
46,left,201,57848
46,right,102,28486
46,right,101,56217
46,right,202,26192
46,right,201,53937
47,left,102,25028
47,left,101,44738
47,left,202,25205
47,left,201,43407
47,right,102,27412
47,right,101,52211
47,right,201,50078
47,right,202,27732
48,left,102,25609
48,left,101,48942
48,left,201,49956
48,left,202,25620
48,right,102,29623
48,right,101,58883
48,right,202,29077
48,right,201,60011
