user,eye,code,motion,total,blink,valid,fsacc40,fsacc5
17,right,201,saccade,5054,443,4611,0.017609281126993993,0.016363730516286056
18,left,102,smooth,2651,74,2577,0.0,0.007836263339691705
18,left,101,saccade,5072,62,5010,0.0022703818369453044,0.009545923632610939
18,left,201,saccade,5069,88,4981,0.001651868676440223,0.009393305979200536
18,left,202,smooth,2646,36,2610,0.00041339396444811904,0.008629599007854486
18,right,102,smooth,2624,49,2575,0.0012510425354462051,0.008288156797331109
18,right,101,saccade,5049,46,5003,0.0033174372797014308,0.010911258552767986
18,right,202,smooth,2617,18,2599,0.001672940192388122,0.009828523630280217
18,right,201,saccade,5040,104,4936,0.0031159119235562942,0.009917441196323797
19,left,102,smooth,2821,48,2773,0.001156515034695451,0.00838473400154202
19,left,101,saccade,5037,12,5025,0.01101871101871102,0.017385654885654887
19,left,202,smooth,2823,20,2803,0.0015408320493066256,0.008041217257318952
19,left,201,saccade,5122,72,5050,0.006945863125638407,0.015678063478283072
19,right,102,smooth,2800,28,2772,0.001554605518849592,0.008937679117889931
19,right,101,saccade,5003,15,4988,0.014862884655641615,0.02156164957086037
19,right,202,smooth,2800,22,2778,0.001165954139137194,0.009084726000777303
19,right,201,saccade,5100,56,5044,0.008824132977631849,0.018340857787810385
20,left,102,smooth,2823,124,2699,0.008086253369272238,0.022911051212938006
20,left,101,saccade,4941,245,4696,0.021425540941875265,0.03547942299533305
20,left,202,smooth,2787,65,2722,0.00625,0.02162452406521527
20,left,201,saccade,4965,311,4654,0.024271844660194174,0.035115027437737444
20,right,102,smooth,2796,171,2625,0.00973141300116777,0.02452316076294278
20,right,101,saccade,4918,331,4587,0.023875506288637816,0.04079185761483534
20,right,202,smooth,2767,98,2669,0.007086614173228346,0.02465551181102362
20,right,201,saccade,4932,381,4551,0.029536761580960476,0.039331810697402665
21,left,102,smooth,2849,38,2811,0.0034588777863182167,0.008310914681014605
21,left,101,saccade,4910,29,4881,0.0025624599615631004,0.011824053808786632
21,left,202,smooth,2834,25,2809,0.0015343306482546988,0.008486766398158803
21,left,201,saccade,5022,55,4967,0.002711157455683003,0.009019812304483838
21,right,102,smooth,2823,44,2779,0.0007704160246533128,0.00987095531587057
21,right,101,saccade,4885,23,4862,0.0030049366816913502,0.011990664985648757
21,right,201,saccade,4997,55,4942,0.0012575979878432194,0.010060783902745755
21,right,202,smooth,2809,34,2775,0.00038714672861014324,0.008710801393728223
22,left,102,smooth,2796,28,2768,0.001946282600233554,0.006712388734860645
22,left,101,saccade,4980,33,4947,0.01788344203660846,0.02067115505996213
22,left,202,smooth,2788,5,2783,0.0023428348301444747,0.007028504490433424
22,left,201,saccade,5022,54,4968,0.016684045881126174,0.019994786235662147
22,right,101,saccade,4944,7,4937,0.016952744225471498,0.0178509945175729
22,right,102,smooth,2771,15,2756,0.002357563850687623,0.006630648330058939
22,right,202,smooth,2763,4,2759,0.0015766653527788726,0.0068486401261332285
22,right,201,saccade,4993,27,4966,0.015733165512901194,0.017385147891755822
23,left,102,smooth,2684,70,2614,0.001628001628001628,0.010734089637279341
23,left,101,saccade,4993,60,4933,0.00839278220730172,0.013139949643306757
23,left,202,smooth,2684,22,2662,0.001221001221001221,0.013227513227513227
23,left,201,saccade,5015,88,4927,0.007517226978492378,0.0132595531426185
23,right,102,smooth,2657,42,2615,0.0016454134101192926,0.01141505553270259
23,right,101,saccade,4966,31,4935,0.01181434599156118,0.011181434599156118
23,right,201,saccade,4992,59,4933,0.009441879983214435,0.011120436424674779
23,right,202,smooth,2663,21,2642,0.0008206811653672548,0.014
24,left,102,smooth,2684,75,2609,0.000814000814000814,0.014855514855514855
24,left,101,saccade,5130,84,5046,0.012849275953497859,0.023072608606975322
24,left,202,smooth,2699,46,2653,0.0012135922330097086,0.0159789644012945
24,left,201,saccade,5193,278,4915,0.01268371250251661,0.03588595012205249
24,right,102,smooth,2665,48,2617,0.002461033634126333,0.015069967707212056
24,right,101,saccade,5105,52,5053,0.016601762656282024,0.02497950399672064
24,right,202,smooth,2674,40,2634,0.0016333197223356473,0.012658227848101266
24,right,201,saccade,5162,207,4955,0.014181523500810372,0.03142726904376013
25,left,102,smooth,2663,61,2602,0.004103405826836274,0.011744794337880808
25,left,101,saccade,5072,71,5001,0.024349979364424266,0.026026619892695006
25,left,202,smooth,2674,82,2592,0.0028606456885982836,0.012515324887617491
25,left,201,saccade,5044,76,4968,0.021175005189952252,0.023768130984197826
25,right,101,saccade,5047,46,5001,0.017008919311346193,0.024165110972827215
25,right,102,smooth,2643,39,2604,0.0024813895781637717,0.008890726765222784
25,right,202,smooth,2648,61,2587,0.002477291494632535,0.008360858794384807
25,right,201,saccade,5022,55,4967,0.019182652210175146,0.022592833876221498
26,left,102,smooth,2703,155,2548,0.008074283407347598,0.021598708114654825
26,left,101,saccade,5036,197,4839,0.021815915229586536,0.03466542026953338
26,left,202,smooth,2678,106,2572,0.004895960832313341,0.018818849449204405
26,left,201,saccade,5047,222,4825,0.025518672199170124,0.03829698965436772
26,right,102,smooth,2680,121,2559,0.006112469437652812,0.01629908826974991
26,right,101,saccade,5006,165,4841,0.01986616478460895,0.028879073778846406
26,right,202,smooth,2655,80,2575,0.005763688760806916,0.01595142533703818
26,right,201,saccade,5012,184,4828,0.02381947346427079,0.034680873289459936
27,left,101,saccade,5039,90,4949,0.019738209017244962,0.025161642128223104
27,left,102,smooth,2669,25,2644,0.003276003276003276,0.01381922407615928
27,left,202,smooth,2644,12,2632,0.0037205456800330715,0.012453493178999587
27,left,201,saccade,5057,118,4939,0.021527634030221485,0.025693438211550405
27,right,102,smooth,2636,16,2620,0.004564315352697096,0.014419087136929461
27,right,101,saccade,5009,60,4949,0.02299811833577253,0.023832545012674105
27,right,201,saccade,5027,90,4937,0.02353186172428155,0.02381386148921219
27,right,202,smooth,2616,12,2604,0.00502092050209205,0.01479661194185925
28,left,102,smooth,2693,79,2614,0.0032428050263477908,0.013275233076611269
28,left,101,saccade,5030,80,4950,0.01665278934221482,0.02211698584512906
28,left,201,saccade,5008,50,4958,0.016520284399832705,0.02146068590547888
28,left,202,smooth,2640,18,2622,0.0037267080745341614,0.013095238095238096
28,right,102,smooth,2670,88,2582,0.004091653027823241,0.014883387888707038
28,right,101,saccade,5007,79,4928,0.017569546120058566,0.0223761599790877
28,right,201,saccade,4987,67,4920,0.017219655606887863,0.020343343133137338
28,right,202,smooth,2620,26,2594,0.0029239766081871343,0.01591941124275797
29,left,102,smooth,2668,142,2526,0.005733005733005733,0.01683553372223928
29,left,101,saccade,4999,304,4695,0.023255813953488372,0.028357466418789768
29,left,202,smooth,2715,195,2520,0.00482315112540193,0.01587620578778135
29,left,201,saccade,4956,265,4691,0.02133502323616392,0.02268166455428813
29,right,102,smooth,2647,125,2522,0.009913258983890954,0.01760090843398369
29,right,101,saccade,4969,282,4687,0.021505376344086023,0.029068388456977203
29,right,201,saccade,4935,283,4652,0.022510087067317903,0.02458059035888724
29,right,202,smooth,2682,165,2517,0.011400651465798045,0.018475162866449513
30,left,102,smooth,2704,110,2594,0.008477997577714978,0.021495610051468363
30,left,101,saccade,5071,154,4917,0.022295623451692816,0.033701486374896776
30,left,202,smooth,2703,27,2676,0.007269789983844911,0.019029831911564283
30,left,201,saccade,4992,115,4877,0.02161594963273872,0.02969569779643232
30,right,102,smooth,2681,90,2591,0.007742461287693562,0.022768948655256725
30,right,101,saccade,5047,133,4914,0.021779713752333542,0.03404376685334993
30,right,201,saccade,4971,94,4877,0.021707060063224447,0.03137513171759747
30,right,202,smooth,2681,28,2653,0.006519967400162999,0.01853643631919336
31,left,102,smooth,2824,46,2778,0.0003850596842510589,0.008375048132460532
31,left,101,saccade,4975,54,4921,0.009267059814658803,0.01866575400168492
31,left,202,smooth,2788,39,2749,0.0011723329425556857,0.00996483001172333
31,left,201,saccade,4955,56,4899,0.00951776649746193,0.019061971235194586
31,right,102,smooth,2797,17,2780,0.0011668611435239206,0.011033879356438049
31,right,101,saccade,4954,36,4918,0.017766497461928935,0.025167873949135514
31,right,202,smooth,2767,34,2733,0.0027580772261623326,0.013347123719464145
31,right,201,saccade,4933,55,4878,0.015083917569577226,0.025706394731251327
32,left,101,saccade,5032,89,4943,0.0070744902205576365,0.01726693537901443
32,left,102,smooth,2824,105,2719,0.0015402387370042356,0.007845591066615325
32,left,202,smooth,2827,162,2665,0.0015384615384615385,0.007786589762076424
32,left,201,saccade,4985,119,4866,0.0035721790292078167,0.014732529740802016
32,right,102,smooth,2793,101,2692,0.0007791195948578107,0.009638319622255757
32,right,101,saccade,5003,80,4923,0.0033500837520938024,0.014447236180904523
32,right,202,smooth,2791,192,2599,0.000390015600624025,0.00916491980695169
32,right,201,saccade,4956,266,4690,0.00296045675618524,0.013637444829135502
33,left,102,smooth,2723,17,2706,0.00641025641025641,0.025791266025641024
33,left,101,saccade,5038,84,4954,0.02722926626480981,0.03296960249415433
33,left,202,smooth,2692,10,2682,0.006490872210953347,0.026115618661257608
33,left,201,saccade,5019,5,5014,0.030884808013355594,0.036832220367278797
33,right,101,saccade,5012,69,4943,0.024242424242424242,0.03106060606060606
33,right,102,smooth,2701,5,2696,0.005254648342764754,0.024555375909458367
33,right,202,smooth,2664,13,2651,0.004511894995898278,0.022502434773694194
33,right,201,saccade,4993,16,4977,0.028745279060008393,0.03375472093999161
34,left,102,smooth,2685,56,2629,0.006509357200976403,0.027664768104149716
34,left,101,saccade,5102,153,4949,0.0330188679245283,0.039555988515176374
34,left,202,smooth,2702,6,2696,0.0052525252525252525,0.020298929509190062
34,left,201,saccade,5011,91,4920,0.032399665551839464,0.041910535117056856
34,right,102,smooth,2663,36,2627,0.006157635467980296,0.023347701149425287
34,right,101,saccade,5075,126,4949,0.02907816044545267,0.03502667594525632
34,right,201,saccade,4990,72,4918,0.03190596137699412,0.036943744752308987
34,right,202,smooth,2680,8,2672,0.0032599837000814994,0.018180892238745163
35,left,101,saccade,5070,108,4962,0.02808176749948379,0.023771422671897583
35,left,102,smooth,2883,52,2831,0.0037650602409638554,0.014114990119506916
35,left,202,smooth,2851,130,2721,0.004954268292682927,0.013905424067812753
35,left,201,saccade,5039,165,4874,0.024522028262676642,0.017897963424771405
35,right,102,smooth,2857,45,2812,0.0034220532319391636,0.013303558701952772
35,right,101,saccade,5022,94,4928,0.03003128258602711,0.02559958289885297
35,right,201,saccade,5015,155,4860,0.02506265664160401,0.015611946532999164
35,right,202,smooth,2824,73,2751,0.0061609549480169425,0.01304389680400462
36,left,102,smooth,2840,22,2818,0.003827018752391887,0.014255644852659777
36,left,101,saccade,5004,24,4980,0.018002930709650408,0.025041867280720116
36,left,202,smooth,2840,21,2819,0.003444316877152698,0.015639946431987756
36,left,201,saccade,5002,47,4955,0.01696690406367826,0.02264872224549644
36,right,102,smooth,2816,16,2800,0.003861003861003861,0.013750180923433204
36,right,101,saccade,4972,27,4945,0.018331226295828066,0.023808896731544155
36,right,201,saccade,4976,31,4945,0.015578947368421053,0.02192105263157895
36,right,202,smooth,2814,13,2801,0.005023183925811438,0.01371450647092911
37,left,102,smooth,2799,50,2749,0.0011664074650077762,0.012587480559875583
37,left,101,saccade,5056,44,5012,0.010975357216815076,0.0193621867881549
37,left,202,smooth,2808,11,2797,0.0007751937984496124,0.009881327197868734
37,left,201,saccade,5006,54,4952,0.01464741577735928,0.0200355722954593
37,right,102,smooth,2780,40,2740,0.0007830853563038371,0.00934487988649151
37,right,101,saccade,5030,33,4997,0.013530391340549543,0.02034392153802128
37,right,202,smooth,2774,15,2759,0.00039261876717707107,0.008097762073027091
37,right,201,saccade,4984,34,4950,0.01429472356527223,0.02136325415177633
38,left,102,smooth,2656,48,2608,0.0020584602717167557,0.010340038067801842
38,left,101,saccade,5017,139,4878,0.01211361737677527,0.020881731095507818
38,left,202,smooth,2666,51,2615,0.0016406890894175555,0.00994667760459393
38,left,201,saccade,4995,157,4838,0.011959714645404951,0.02040495174150231
38,right,101,saccade,4987,136,4851,0.010924369747899159,0.01685924369747899
38,right,102,smooth,2631,55,2576,0.0024958402662229617,0.010499506211341545
38,right,202,smooth,2640,56,2584,0.0004144218814753419,0.011392470612604216
38,right,201,saccade,4962,149,4813,0.010564124234100993,0.01697869081883235
39,left,102,smooth,2648,9,2639,0.0008261049153242462,0.011926889714993805
39,left,101,saccade,4995,14,4981,0.0041946308724832215,0.018480169860284675
39,left,201,saccade,4993,38,4955,0.003357112882920688,0.01751993285774234
39,left,202,smooth,2664,5,2659,0.0,0.009540418547394337
39,right,102,smooth,2621,10,2611,0.000835421888053467,0.014358813700918963
39,right,101,saccade,4965,15,4950,0.0048543689320388345,0.01952249043661786
39,right,202,smooth,2636,12,2624,0.0004149377593360996,0.01228870683397283
39,right,201,saccade,4975,19,4956,0.005685407454200884,0.01881628463906945
40,left,102,smooth,2776,32,2744,0.0007833920877399138,0.003280454367410889
40,left,101,saccade,5199,196,5003,0.007843925985518906,0.01194037354515975
40,left,202,smooth,2806,33,2773,0.0003875968992248062,0.0036333688596066273
40,left,201,saccade,4976,113,4863,0.007369972625815961,0.012055169509370394
40,right,102,smooth,2754,14,2740,0.00039556962025316455,0.0022247490977406435
40,right,101,saccade,5177,161,5016,0.007676767676767677,0.013106060606060605
40,right,202,smooth,2784,36,2748,0.00039108330074305825,0.003518889594838962
40,right,201,saccade,4949,79,4870,0.007200338839474798,0.011912325285895807
41,left,102,smooth,2859,76,2783,0.00723258469737343,0.02226239178003996
41,left,101,saccade,5016,99,4917,0.02756316558780539,0.035289204426811445
41,left,202,smooth,2837,44,2793,0.008812260536398468,0.020402298850574714
41,left,201,saccade,5007,134,4873,0.028451882845188285,0.033023924696038695
41,right,102,smooth,2831,50,2781,0.01036468330134357,0.021928982725527832
41,right,101,saccade,4991,78,4913,0.029800629590766,0.03305351521511018
41,right,202,smooth,2814,49,2765,0.007341576506955177,0.01984931903796001
41,right,201,saccade,4977,117,4860,0.030947368421052633,0.030789473684210526
42,left,102,smooth,2838,126,2712,0.002297970126388357,0.010434616121003255
42,left,101,saccade,4992,271,4721,0.01762854144805876,0.021508760885531424
42,left,201,saccade,5023,288,4735,0.015843235355430477,0.017143006018289348
42,left,202,smooth,2836,68,2768,0.0026830203142966655,0.011307014181678805
42,right,102,smooth,2810,108,2702,0.003484320557491289,0.011614401858304297
42,right,101,saccade,4956,279,4677,0.018397124127722563,0.023710086699090718
42,right,202,smooth,2814,77,2737,0.0015461925009663702,0.011741399304213375
42,right,201,saccade,4998,310,4688,0.017393126571668065,0.020507045204546645
43,left,102,smooth,2843,36,2807,0.00191131498470948,0.014428359849027758
43,left,101,saccade,5010,40,4970,0.024252561154087394,0.030158896090319885
43,left,202,smooth,2834,29,2805,0.0007671653241273494,0.011267740698120445
43,left,201,saccade,5002,156,4846,0.020115557457735928,0.024662957414936872
43,right,102,smooth,2819,35,2784,0.0019290123456790122,0.01215043394406943
43,right,101,saccade,4975,50,4925,0.021899347230996,0.030690671720362182
43,right,201,saccade,4977,157,4820,0.020012911555842477,0.024693350548741125
43,right,202,smooth,2813,30,2783,0.0011596443757247777,0.009470429068419018
44,left,102,smooth,2802,25,2777,0.0003883495145631068,0.007669902912621359
44,left,101,saccade,4990,33,4957,0.007136859781696054,0.01815701091519731
44,left,201,saccade,4969,37,4932,0.008013496415014762,0.017184576052291716
44,left,202,smooth,2787,30,2757,0.001953125,0.009912109375
44,right,102,smooth,2771,18,2753,0.0007858546168958742,0.0070235756385068765
44,right,101,saccade,4963,26,4937,0.006753904601097509,0.01516990291262136
44,right,201,saccade,4937,19,4918,0.00764168966249204,0.01530991296964551
44,right,202,smooth,2766,29,2737,0.001968503937007874,0.010433070866141732
45,left,102,smooth,2875,57,2818,0.0026435045317220545,0.011234894259818731
45,left,101,saccade,4997,149,4848,0.016771488469601678,0.020335429769392035
45,left,202,smooth,2815,31,2784,0.0019319938176197836,0.010770865533230294
45,left,201,saccade,4985,124,4861,0.014078587938642572,0.01680716405367788
45,right,102,smooth,2850,32,2818,0.0034285714285714284,0.013951716584924527
45,right,101,saccade,4973,128,4845,0.018748683378976196,0.02741204971560986
45,right,202,smooth,2789,25,2764,0.0023410066328521262,0.010872745002437836
45,right,201,saccade,4956,87,4869,0.017551279340241067,0.026746306525358775
46,left,102,smooth,2823,51,2772,0.001926040061633282,0.006500385208012327
46,left,101,saccade,5043,82,4961,0.003737541528239203,0.014145556478405315
46,left,202,smooth,2806,46,2760,0.0007751937984496124,0.007073643410852713
46,left,201,saccade,5035,120,4915,0.003535773710482529,0.01481635517662655
46,right,102,smooth,2801,32,2769,0.0011655011655011655,0.009324009324009324
46,right,101,saccade,5019,81,4938,0.004799666110183639,0.01737270450751252
46,right,202,smooth,2780,68,2712,0.0007830853563038371,0.010666927631257034
46,right,201,saccade,5011,127,4884,0.006269592476489028,0.018599791013584117
47,left,102,smooth,2785,17,2768,0.0023455824863174357,0.008792926579063064
47,left,101,saccade,4968,17,4951,0.013077409829149969,0.02000949066751028
47,left,202,smooth,2822,89,2733,0.001926040061633282,0.010689522342064715
47,left,201,saccade,5020,98,4922,0.011057792614229085,0.0176545753253188
47,right,102,smooth,2760,2,2758,0.0027624309392265192,0.009273875295974744
47,right,101,saccade,4941,14,4927,0.01505832449628844,0.02250795334040297
47,right,201,saccade,4998,76,4922,0.013202011735121543,0.020405490360435877
47,right,202,smooth,2794,59,2735,0.0027247956403269754,0.01055858310626703
48,left,102,smooth,2821,87,2734,0.0023121387283236996,0.010308285163776493
48,left,101,saccade,5060,164,4896,0.007862611214566521,0.017613283674736187
48,left,201,saccade,4989,219,4770,0.004409911801763965,0.01624842503149937
48,left,202,smooth,2825,102,2723,0.0011547344110854503,0.012461508852963819
48,right,102,smooth,2795,47,2748,0.0007785130400934215,0.01099649669131958
48,right,101,saccade,5006,72,4934,0.009414225941422594,0.020606694560669457
48,right,202,smooth,2796,62,2734,0.0015564202334630351,0.013764591439688716
48,right,201,saccade,4959,126,4833,0.005493344601732516,0.018540038030847243
