user,eye,code,fsacc_raw,fsacc_med3,n_anchor
8,left,101,0.010378510378510378,0.010378510378510378,4915
8,left,202,0.000836470096194061,0.0004182350480970305,2392
8,left,201,0.012132428542052232,0.011721159777914868,4864
8,right,102,0.0012578616352201257,0.0012578616352201257,2386
8,right,101,0.012117477921544465,0.011501334976381188,4870
8,right,201,0.013510704635210974,0.012887133652047392,4812
8,right,202,0.00042517006802721087,0.00042517006802721087,2353
9,left,102,0.0026646364674533687,0.0026646364674533687,2628
9,left,101,0.021573604060913704,0.021362098138747884,4729
9,left,202,0.0023391812865497076,0.0023391812865497076,2566
9,left,201,0.024748322147651006,0.024748322147651006,4769
9,right,102,0.001153846153846154,0.001153846153846154,2601
9,right,101,0.016963528413910092,0.016963528413910092,4717
9,right,202,0.0015735641227380016,0.0015735641227380016,2543
9,right,201,0.01938474504846186,0.01938474504846186,4747
10,left,102,0.004204892966360856,0.004204892966360856,2617
10,left,101,0.019668737060041408,0.019461697722567287,4831
10,left,202,0.00076103500761035,0.00076103500761035,2629
10,left,201,0.014724442574673959,0.01451409339503576,4755
10,right,102,0.0042471042471042475,0.0042471042471042475,2591
10,right,101,0.016857440166493237,0.016441207075962538,4806
10,right,201,0.014164904862579281,0.013742071881606765,4731
10,right,202,0.0011529592621060721,0.0011529592621060721,2603
11,left,102,0.0022753128555176336,0.0022753128555176336,2638
11,left,101,0.02160234899328859,0.020343959731543623,4769
11,left,201,0.018292682926829267,0.018292682926829267,4757
11,left,202,0.0022692889561270802,0.0022692889561270802,2645
11,right,102,0.0015337423312883436,0.0015337423312883436,2609
11,right,101,0.020842105263157894,0.020210526315789474,4751
11,right,202,0.0019105846388995033,0.0019105846388995033,2618
11,right,201,0.01672311600338696,0.01672311600338696,4725
12,left,102,0.005084082909659757,0.005084082909659757,2558
12,left,101,0.02846900042176297,0.026360185575706453,4743
12,left,201,0.0222034256713893,0.020511736096426307,4730
12,left,202,0.0078064012490242,0.00585480093676815,2563
12,right,102,0.0011885895404120444,0.0011885895404120444,2525
12,right,101,0.017663332623962545,0.017663332623962545,4700
12,right,202,0.001979414093428345,0.001979414093428345,2527
12,right,201,0.015345268542199489,0.014705882352941176,4693
13,left,102,0.001941747572815534,0.001941747572815534,2576
13,left,101,0.022044929666176778,0.021834977955070334,4764
13,left,202,0.004308656482569526,0.004308656482569526,2554
13,left,201,0.02529793016934978,0.025088856366297305,4784
13,right,102,0.0011741682974559687,0.0011741682974559687,2556
13,right,101,0.011824324324324325,0.011824324324324325,4737
13,right,201,0.013473684210526317,0.013473684210526317,4751
13,right,202,0.0019786307874950534,0.0015829046299960427,2528
14,left,102,0.002284843869002285,0.002284843869002285,2627
14,left,101,0.012995179207713268,0.012575979878432194,4772
14,left,201,0.010818837505303353,0.010818837505303353,4715
14,left,202,0.0011441647597254005,0.0011441647597254005,2623
14,right,102,0.005388760585065435,0.0050038491147036184,2599
14,right,101,0.017909818794774546,0.017699115044247787,4747
14,right,202,0.0027205596579867857,0.0027205596579867857,2574
14,right,201,0.013605442176870748,0.013605442176870748,4705
15,left,102,0.00899491591709034,0.007430582714118107,2558
15,left,101,0.02851153039832285,0.026834381551362682,4771
15,left,202,0.004334121355397951,0.0035460992907801418,2539
15,left,201,0.031071655041217502,0.027266962587190868,4732
15,right,102,0.0055074744295830055,0.004720692368214005,2543
15,right,101,0.02149631190727081,0.02107481559536354,4746
15,right,202,0.002777777777777778,0.002777777777777778,2521
15,right,201,0.02309322033898305,0.021822033898305084,4721
16,left,102,0.0004182350480970305,0.0004182350480970305,2392
16,left,101,0.008292579204762918,0.008292579204762918,4704
16,left,202,0.00042643923240938164,0.00042643923240938164,2346
16,left,201,0.007346585998271392,0.007346585998271392,4629
16,right,102,0.0008421052631578948,0.0008421052631578948,2376
16,right,101,0.009780990856899851,0.009780990856899851,4704
16,right,201,0.011238383401772207,0.011238383401772207,4628
16,right,202,0.0008539709649871904,0.0008539709649871904,2343
17,left,102,0.00042283298097251583,0.00042283298097251583,2366
17,left,101,0.0117096018735363,0.011283798169044072,4698
17,left,202,0.002197802197802198,0.002197802197802198,2276
17,left,201,0.013035793194874062,0.012814847547503314,4527
17,right,102,0.0012858979854264896,0.0012858979854264896,2334
17,right,101,0.01370743199828657,0.013493253373313344,4670
17,right,202,0.003576218149307108,0.0031291908806437194,2238
17,right,201,0.01650312221231044,0.016057091882247992,4485
18,left,102,0.0,0.0,2405
18,left,101,0.0022764900662251655,0.0022764900662251655,4833
18,left,201,0.0012618296529968455,0.0012618296529968455,4756
18,left,202,0.0004144218814753419,0.0004144218814753419,2414
18,right,102,0.0,0.0,2262
18,right,101,0.002926421404682274,0.002926421404682274,4785
18,right,202,0.0,0.0,2350
18,right,201,0.0013428827215756492,0.0013428827215756492,4469
19,left,102,0.001156515034695451,0.001156515034695451,2595
19,left,101,0.010813058847993346,0.010813058847993346,4810
19,left,202,0.0011556240369799693,0.0011556240369799693,2597
19,left,201,0.007150153217568948,0.006945863125638407,4896
19,right,102,0.0015552099533437014,0.0015552099533437014,2573
19,right,101,0.014450261780104712,0.014240837696335079,4776
19,right,202,0.001554605518849592,0.001554605518849592,2574
19,right,201,0.008827756107575446,0.008622459453910901,4872
20,left,102,0.009693679720822024,0.008918185343156262,2580
20,left,101,0.029598772199079148,0.02565226923920193,4562
20,left,202,0.006341656757827983,0.006341656757827983,2524
20,left,201,0.026787690945317688,0.02656630506973655,4518
20,right,102,0.0076274588518667205,0.0076274588518667205,2492
20,right,101,0.025507900677200903,0.024604966139954852,4431
20,right,202,0.007667473769168685,0.007667473769168685,2479
20,right,201,0.030454545454545453,0.030227272727272728,4401
21,left,102,0.00041339396444811904,0.00041339396444811904,2420
21,left,101,0.001718213058419244,0.0015034364261168386,4657
21,left,202,0.0007861635220125787,0.0007861635220125787,2545
21,left,201,0.00021659085986571366,0.00021659085986571366,4618
21,right,102,0.0003885003885003885,0.0003885003885003885,2575
21,right,101,0.0027914966716770452,0.002147305132059266,4658
21,right,201,0.0006290626965820927,0.0006290626965820927,4770
21,right,202,0.0,0.0,2577
22,left,102,0.001953125,0.001953125,2561
22,left,101,0.01768048831824879,0.017470006314460114,4752
22,left,202,0.0023446658851113715,0.0023446658851113715,2560
22,left,201,0.01691376070160785,0.016704948841094174,4790
22,right,101,0.01801992792028832,0.017807928768284926,4718
22,right,102,0.0015791551519936833,0.0015791551519936833,2534
22,right,202,0.0015785319652722968,0.0015785319652722968,2535
22,right,201,0.016173072883847932,0.01596303297626549,4762
23,left,102,0.002442002442002442,0.002442002442002442,2458
23,left,101,0.009861519093579522,0.009651699538396978,4767
23,left,202,0.002035002035002035,0.002035002035002035,2458
23,left,201,0.008992053534086157,0.007737348389795065,4783
23,right,102,0.0016454134101192926,0.0016454134101192926,2432
23,right,101,0.012869198312236287,0.012658227848101266,4741
23,right,201,0.010714285714285714,0.010714285714285714,4761
23,right,202,0.0008206811653672548,0.0008206811653672548,2438
24,left,102,0.0012320328542094457,0.0012320328542094457,2436
24,left,101,0.013888888888888888,0.013684640522875817,4897
24,left,202,0.0012229922543823889,0.0012229922543823889,2454
24,left,201,0.01141552511415525,0.0112079701120797,4819
24,right,102,0.0028877887788778876,0.0028877887788778876,2425
24,right,101,0.016817063166529943,0.016817063166529943,4877
24,right,202,0.002055076037813399,0.002055076037813399,2434
24,right,201,0.013894649523019494,0.013894649523019494,4823
25,left,102,0.003290826820238585,0.003290826820238585,2432
25,left,101,0.0251909973157134,0.024778030146603344,4844
25,left,202,0.0028688524590163933,0.0028688524590163933,2441
25,left,201,0.02184314541293946,0.021635115456625754,4808
25,right,101,0.01847623001868383,0.01847623001868383,4818
25,right,102,0.0020721094073767096,0.0020721094073767096,2414
25,right,202,0.002484472049689441,0.002484472049689441,2416
25,right,201,0.01984956122022566,0.01984956122022566,4787
26,left,102,0.004543577034283354,0.004543577034283354,2422
26,left,101,0.020638297872340425,0.020425531914893616,4701
26,left,202,0.0037220843672456576,0.0037220843672456576,2419
26,left,201,0.025990626331487004,0.02513847464848743,4695
26,right,102,0.004164931278633903,0.004164931278633903,2402
26,right,101,0.020552344251766216,0.020552344251766216,4672
26,right,202,0.006270903010033445,0.006270903010033445,2393
26,right,201,0.025107296137339054,0.024892703862660945,4661
27,left,101,0.020997920997921,0.02079002079002079,4811
27,left,102,0.003276003276003276,0.0028665028665028664,2443
27,left,202,0.0037205456800330715,0.0037205456800330715,2420
27,left,201,0.021748135874067938,0.021748135874067938,4829
27,right,102,0.004564315352697096,0.004564315352697096,2411
27,right,101,0.022798577703409328,0.022589416440075297,4782
27,right,201,0.022708333333333334,0.0225,4801
27,right,202,0.006276150627615063,0.006276150627615063,2391
28,left,102,0.0032441200324412004,0.0032441200324412004,2467
28,left,101,0.016864459712679577,0.0166562565063502,4804
28,left,201,0.016523739803388414,0.016314578540054383,4782
28,left,202,0.0037267080745341614,0.0037267080745341614,2416
28,right,102,0.0033071517155849523,0.0033071517155849523,2420
28,right,101,0.01849127968060517,0.01849127968060517,4760
28,right,201,0.017736486486486486,0.01710304054054054,4737
28,right,202,0.0029288702928870294,0.0029288702928870294,2391
29,left,102,0.010062893081761006,0.008385744234800839,2386
29,left,101,0.017818339852238158,0.016514558887440245,4603
29,left,202,0.004973062577704103,0.003315375051802735,2414
29,left,201,0.015970247210676,0.015751476700940712,4572
29,right,102,0.02508361204013378,0.02048494983277592,2393
29,right,101,0.020323426573426572,0.01638986013986014,4577
29,right,201,0.019400352733686066,0.017195767195767195,4537
29,right,202,0.024420529801324503,0.01903973509933775,2417
30,left,102,0.008950366151342554,0.008950366151342554,2459
30,left,101,0.022157190635451504,0.022157190635451504,4785
30,left,202,0.0072992700729927005,0.0072992700729927005,2467
30,left,201,0.021601016518424398,0.021177467174925878,4723
30,right,102,0.009042334566378957,0.009042334566378957,2434
30,right,101,0.02141957160856783,0.020789584208315833,4763
30,right,201,0.022108843537414966,0.02189625850340136,4705
30,right,202,0.006546644844517185,0.0061374795417348605,2445
31,left,102,0.0003866976024748647,0.0003866976024748647,2587
31,left,101,0.010548523206751054,0.010548523206751054,4741
31,left,202,0.0011797090051120724,0.0011797090051120724,2544
31,left,201,0.009570395576350489,0.009357720119098255,4703
31,right,102,0.0007818608287724785,0.0007818608287724785,2559
31,right,101,0.018008474576271187,0.018008474576271187,4721
31,right,202,0.0023790642347343376,0.0023790642347343376,2523
31,right,201,0.0160393498716852,0.015825491873396064,4677
32,left,101,0.00835421888053467,0.008145363408521303,4789
32,left,102,0.0015420200462606013,0.0015420200462606013,2595
32,left,202,0.001162340178225494,0.001162340178225494,2582
32,left,201,0.003788676068196169,0.003578194064407493,4752
32,right,102,0.0011695906432748538,0.0007797270955165692,2566
32,right,101,0.005035669324381032,0.004616030214015947,4767
32,right,202,0.00039184952978056425,0.00039184952978056425,2553
32,right,201,0.0031752751905165114,0.0031752751905165114,4725
33,left,102,0.008022462896109106,0.008022462896109106,2494
33,left,101,0.027038269550748752,0.027038269550748752,4809
33,left,202,0.0065067100447336315,0.0061000406669377795,2460
33,left,201,0.029430181590482152,0.029430181590482152,4792
33,right,101,0.02307046979865772,0.02286073825503356,4769
33,right,102,0.0064803564196030785,0.0064803564196030785,2470
33,right,202,0.004534212695795548,0.004534212695795548,2427
33,right,201,0.028601472134595164,0.028601472134595164,4756
34,left,102,0.007729861676159479,0.007729861676159479,2459
34,left,101,0.033668651200985424,0.032847464586327244,4872
34,left,202,0.006868686868686869,0.006060606060606061,2476
34,left,201,0.03699832775919733,0.035535117056856184,4785
34,right,102,0.005761316872427984,0.005761316872427984,2431
34,right,101,0.031036623215394164,0.030829712393958205,4834
34,right,201,0.03267284991568297,0.03246205733558179,4745
34,right,202,0.003673469387755102,0.003673469387755102,2451
35,left,101,0.02916059154342845,0.028119141845448864,4802
35,left,102,0.00532319391634981,0.004182509505703422,2631
35,left,202,0.007310504040015391,0.005771450557906887,2600
35,left,201,0.025705857564264644,0.02423093131057733,4747
35,right,102,0.003464203233256351,0.003464203233256351,2599
35,right,101,0.029156982886118742,0.028945700401436722,4734
35,right,201,0.024421320874920365,0.024421320874920365,4710
35,right,202,0.005451713395638629,0.005451713395638629,2569
36,left,102,0.0038328861632809506,0.0038328861632809506,2610
36,left,101,0.018693551774837218,0.018273471959672338,4762
36,left,202,0.004604758250191865,0.004604758250191865,2607
36,left,201,0.017661900756938603,0.017451640033641715,4757
36,right,102,0.004258614014711576,0.004258614014711576,2584
36,right,101,0.018847945785684033,0.018847945785684033,4723
36,right,201,0.016945562380851514,0.016945562380851514,4722
36,right,202,0.005040713454827452,0.005040713454827452,2580
37,left,102,0.0011806375442739079,0.0011806375442739079,2542
37,left,101,0.011823273179838207,0.011615847334577888,4822
37,left,202,0.0015558148580318942,0.0015558148580318942,2572
37,left,201,0.013836477987421384,0.013836477987421384,4771
37,right,102,0.0007914523149980214,0.0007914523149980214,2528
37,right,101,0.013141426783479349,0.012724238631622862,4795
37,right,202,0.0003943217665615142,0.0003943217665615142,2537
37,right,201,0.014321819713563605,0.014321819713563605,4749
38,left,102,0.0024989587671803417,0.0020824656393169513,2402
38,left,101,0.012929207291225096,0.01271725307333616,4719
38,left,202,0.0012520868113522537,0.0012520868113522537,2397
38,left,201,0.012356199403493822,0.012143161482743928,4695
38,right,101,0.0123614663256607,0.012148337595907928,4693
38,right,102,0.002529510961214165,0.002529510961214165,2373
38,right,202,0.00042052144659377626,0.00042052144659377626,2379
38,right,201,0.0111635895234006,0.010948905109489052,4659
39,left,102,0.0008285004142502071,0.0008285004142502071,2415
39,left,101,0.004202563563773902,0.004202563563773902,4760
39,left,201,0.0035736808913180576,0.0033634643682993485,4758
39,left,202,0.0,0.0,2430
39,right,102,0.0008368200836820083,0.0008368200836820083,2391
39,right,101,0.005493344601732516,0.005493344601732516,4734
39,right,202,0.0,0.0,2411
39,right,201,0.005269814502529511,0.005269814502529511,4745
40,left,102,0.0007870916961826052,0.0003935458480913026,2542
40,left,101,0.006134969325153374,0.005316973415132925,4891
40,left,202,0.0,0.0,2563
40,left,201,0.007243289305496378,0.006391137622496805,4695
40,right,102,0.0,0.0,2518
40,right,101,0.006767842493847416,0.006357670221493027,4877
40,right,202,0.00039323633503735744,0.00039323633503735744,2544
40,right,201,0.005556742893780722,0.005129301132720667,4680
41,left,102,0.007662835249042145,0.0072796934865900385,2611
41,left,101,0.0289490245437382,0.02852947346339417,4768
41,left,202,0.0077459333849728895,0.007358636715724245,2583
41,left,201,0.029635901778154106,0.029212531752751906,4725
41,right,102,0.010061919504643963,0.010061919504643963,2585
41,right,101,0.031849820712929765,0.03142796878295718,4742
41,right,202,0.007779074290159471,0.007779074290159471,2572
41,right,201,0.032416293452761785,0.03198976327575176,4690
42,left,102,0.0007846214201647705,0.0007846214201647705,2550
42,left,101,0.012949956101843723,0.012730465320456541,4557
42,left,201,0.009821038847664776,0.009821038847664776,4583
42,left,202,0.0007833920877399138,0.0003916960438699569,2554
42,right,102,0.0015879317189360857,0.0015879317189360857,2520
42,right,101,0.013477684489615555,0.013035793194874062,4527
42,right,202,0.00039308176100628933,0.00039308176100628933,2545
42,right,201,0.011198945981554678,0.010979358805445762,4555
43,left,102,0.0015337423312883436,0.0015337423312883436,2609
43,left,101,0.024947589098532494,0.02389937106918239,4771
43,left,202,0.0011560693641618498,0.0011560693641618498,2596
43,left,201,0.02041254834550924,0.019767941555651054,4655
43,right,102,0.001937984496124031,0.001937984496124031,2581
43,right,101,0.023890063424947146,0.02346723044397463,4731
43,right,201,0.019878997407087293,0.019878997407087293,4629
43,right,202,0.0015497869043006587,0.0015497869043006587,2582
44,left,102,0.0003894080996884735,0.0,2569
44,left,101,0.00799831614396969,0.00799831614396969,4752
44,left,201,0.008454872120059184,0.008243500317057704,4732
44,left,202,0.0011811023622047244,0.0011811023622047244,2541
44,right,102,0.0,0.0,2532
44,right,101,0.007201864011861894,0.007201864011861894,4722
44,right,201,0.007877368533106239,0.007877368533106239,4698
44,right,202,0.002380952380952381,0.002380952380952381,2521
45,left,102,0.0026666666666666666,0.0026666666666666666,2626
45,left,101,0.017197452229299363,0.016985138004246284,4711
45,left,202,0.0019508388607101053,0.0019508388607101053,2564
45,left,201,0.013812154696132596,0.013812154696132596,4707
45,right,102,0.0034628703347441324,0.0034628703347441324,2600
45,right,101,0.02249357326478149,0.021636675235646958,4669
45,right,202,0.0027548209366391185,0.0027548209366391185,2542
45,right,201,0.018880068654795107,0.01866552242008153,4662
46,left,102,0.0015414258188824663,0.0015414258188824663,2596
46,left,101,0.003956684714702207,0.003748438150770512,4803
46,left,202,0.0003916960438699569,0.0003916960438699569,2554
46,left,201,0.003981559094719195,0.003981559094719195,4773
46,right,102,0.001168679392286716,0.001168679392286716,2568
46,right,101,0.005043076276528682,0.004832948098339987,4760
46,right,202,0.0003966679888932963,0.0003966679888932963,2522
46,right,201,0.005938494167550371,0.005938494167550371,4716
47,left,102,0.0023455824863174357,0.0023455824863174357,2559
47,left,101,0.01393581081081081,0.013724662162162162,4737
47,left,202,0.0019275250578257518,0.0015420200462606013,2595
47,left,201,0.011494252873563218,0.011076280041797283,4786
47,right,102,0.0027624309392265192,0.0027624309392265192,2535
47,right,101,0.01635861482897812,0.016146165285744637,4708
47,right,201,0.014495798319327732,0.01407563025210084,4761
47,right,202,0.0027258566978193145,0.0027258566978193145,2569
48,left,102,0.0003904724716907458,0.0003904724716907458,2562
48,left,101,0.006066945606694561,0.006066945606694561,4781
48,left,201,0.0027914966716770452,0.0027914966716770452,4658
48,left,202,0.0,0.0,2554
48,right,102,0.0003924646781789639,0.0003924646781789639,2549
48,right,101,0.008637033916157574,0.008637033916157574,4748
48,right,202,0.0,0.0,2543
48,right,201,0.00407725321888412,0.0038626609442060085,4661
