user,eye,code,n_win,0-50,50-100,100-200,200-300,300-500,500-800,800-1200,1200-2000,>2000,sum_sp,sumsq,p50_sess,p90_sess
10,right,102,1039,840,157,30,5,6,1,0,0,0,33148.42178431689,3285249.556688277,17.958126440166183,78.02577936600733
10,right,201,1897,1654,77,60,57,45,4,0,0,0,56261.18617254439,13232548.649738323,2.424063573882582,79.38687557805592
10,right,202,1045,839,176,23,2,5,0,0,0,0,31569.45049095998,2496480.6793698436,19.242101600123796,71.65144012292204
11,left,102,1060,842,154,57,5,2,0,0,0,0,33017.0256429509,2771149.78443854,14.81774584325629,84.49750762800979
11,left,101,1928,1641,98,74,49,51,15,0,0,0,67330.37618522534,17565175.967548773,2.906833453560364,94.55841749893727
11,left,201,1913,1660,68,84,39,51,11,0,0,0,61595.82662550616,15592965.000847166,2.9483729374795997,95.90934475289646
11,left,202,1060,860,170,24,2,3,1,0,0,0,31106.097525362395,2532053.0425041374,16.33804676106042,79.35909137764138
11,right,102,1049,831,160,51,3,2,2,0,0,0,32068.966523766074,3000519.8245508466,14.778894966112288,82.99939066111185
11,right,101,1916,1653,90,58,58,44,13,0,0,0,63138.23534114839,16233169.968235422,2.7716719691136507,83.68664867156372
11,right,202,1050,842,174,27,5,2,0,0,0,0,30682.767636469413,2481881.019597968,15.578711296877422,76.24470381912171
11,right,201,1902,1650,75,78,42,45,12,0,0,0,60356.82616520842,15466745.199596008,2.7099137012074235,86.46430942585853
12,left,102,1026,774,141,98,4,4,3,2,0,0,38636.090131071236,6245765.070198809,14.837764864166939,103.03427890514851
12,left,101,1901,1609,60,83,53,71,19,3,3,0,83354.7830024155,31364332.361940444,2.3413200414831654,140.59048376111878
12,left,201,1898,1640,65,61,43,61,20,6,2,0,75726.64860734342,29269400.81888248,2.330362009328849,102.82710315889655
12,left,202,1026,747,172,89,0,8,3,5,2,0,46707.66083487515,13273013.991105974,18.386085525100192,101.03555171428613
12,right,102,1016,777,166,66,4,3,0,0,0,0,32487.189014496413,3072230.8697266,13.870833100929843,91.01435903627768
12,right,101,1891,1608,75,78,54,68,8,0,0,0,67749.05502438138,17975395.29364788,2.106658862100695,118.07518926984369
12,right,201,1887,1641,70,60,41,63,12,0,0,0,61841.76969274701,17173322.907734673,2.0742150581584236,84.60503547643191
12,right,202,1018,761,195,52,4,5,1,0,0,0,34786.372111837394,3559580.6345635997,16.449268816120675,88.56570136716068
13,left,101,1905,1633,70,79,52,56,15,0,0,0,68082.44750252363,18920041.375218257,3.235670531052505,119.00072499175644
13,left,102,1030,738,190,90,10,1,1,0,0,0,36847.96863464351,3909202.5971852243,11.460062079928047,99.19646065851727
13,left,201,1913,1655,66,70,48,53,21,0,0,0,68960.14729214976,20060402.987123337,3.113786601795049,100.2793956091113
13,left,202,1021,741,166,96,13,4,1,0,0,0,38306.64067713925,4581421.873535335,9.69945146052329,105.5357314239075
13,right,102,1022,763,193,58,6,2,0,0,0,0,31183.09602856396,2814031.8061254155,8.665677547741645,84.64261600535248
13,right,101,1894,1642,83,68,49,44,8,0,0,0,57661.998841387525,14107458.016524121,2.8539315311844042,84.60713669163607
13,right,201,1900,1658,68,75,45,49,5,0,0,0,56876.223513194476,13878827.45826729,2.757182751399751,78.19553578015983
13,right,202,1011,785,153,62,7,4,0,0,0,0,31703.853151996882,3246761.0558265275,8.910986292998087,88.15065256514865
14,left,102,1057,831,139,68,13,6,0,0,0,0,33975.19482429481,3825888.272683611,11.350108466307802,88.69229304219846
14,left,101,1927,1652,93,78,51,48,5,0,0,0,64164.59506173119,14184179.655002324,4.6153304187401085,90.1106217975259
14,left,201,1930,1637,120,74,60,35,4,0,0,0,63558.799058081015,12322960.25654855,6.263572446804629,82.8192075660926
14,left,202,1061,840,124,79,15,3,0,0,0,0,34699.08531062667,3703109.7479409133,11.788313337249802,93.47647042185368
14,right,102,1045,815,133,75,13,9,0,0,0,0,36210.19209707407,4420992.109360473,11.890012843267575,93.37717358355621
14,right,101,1917,1631,90,82,53,53,8,0,0,0,67763.61790686162,15722891.74928153,4.772649021063226,101.76322454912783
14,right,202,1044,815,116,96,10,7,0,0,0,0,35776.3205745172,3995383.645189891,12.310079118633787,105.0138039433617
14,right,201,1918,1606,122,88,48,52,2,0,0,0,66275.25223277711,13580347.297379347,5.375851166787017,98.44320199568554
15,left,102,1030,809,93,87,24,14,1,2,0,0,41281.953904914786,8630366.91716486,9.04588808875172,116.39234460778553
15,left,101,1916,1637,74,66,58,64,15,2,0,0,74683.14188464805,22255199.172741428,3.5638484858430415,116.82022462853215
15,left,201,1925,1618,92,63,58,66,24,4,0,0,85285.36392713441,29123648.58113052,3.6552077576399635,126.31601517185447
15,left,202,1024,813,113,80,13,5,0,0,0,0,32898.424401850796,3791522.5656711925,10.258890232317437,97.60904156110286
15,right,102,1021,805,103,85,18,10,0,0,0,0,34607.59047727001,4709468.4886104455,8.261958140474835,107.94450195736633
15,right,101,1903,1637,72,74,50,59,11,0,0,0,65209.349400723724,17010667.749820832,2.971287155746919,106.81177738900905
15,right,201,1915,1629,105,52,60,58,11,0,0,0,68790.0974594387,17917556.96381908,3.237433056148605,91.79751406220284
15,right,202,1013,832,99,65,15,2,0,0,0,0,29253.25450690056,3142131.339819228,8.562166621004677,88.11249198635522
16,left,102,974,791,112,66,3,2,0,0,0,0,27810.4955250555,2527118.9940548316,10.40716647940685,84.43887867324707
16,left,101,1911,1638,94,91,54,32,2,0,0,0,56382.87472145472,10965315.344706425,3.3955233703678487,87.14470848983882
16,left,202,966,809,97,50,7,3,0,0,0,0,25914.136847019094,2501194.1594454087,8.51442979719524,76.1147265600039
16,left,201,1890,1616,87,105,49,32,1,0,0,0,55896.11249657901,10429562.342508756,3.350188833966528,98.21431372000883
16,right,101,1902,1611,108,88,58,35,2,0,0,0,58415.07173372863,11571371.19919249,3.340401666893614,95.10299804948704
16,right,102,964,797,88,71,7,1,0,0,0,0,27547.77688228155,2587888.635263041,10.47796455657247,85.68677034978826
16,right,201,1880,1574,127,89,54,34,2,0,0,0,59690.15715392749,11613374.51113648,3.7786951471305654,94.94725203716068
16,right,202,957,787,95,67,6,2,0,0,0,0,27824.58453105453,2693160.3124508276,10.442843217949301,83.83345546211736
17,left,102,975,760,141,64,6,4,0,0,0,0,32866.11736199321,3041030.0541242408,17.2155803452977,87.7744845450574
17,left,101,1984,1611,162,100,57,49,5,0,0,0,74607.85102000897,15170824.766312651,5.061802334738113,110.33235744133735
17,left,202,984,761,130,67,18,7,1,0,0,0,34967.1194750947,4683454.730192777,10.808938651454927,97.19679473395054
17,left,201,1942,1593,146,95,51,51,6,0,0,0,73877.21392571961,15048400.5166584,5.625555439059391,108.564809833196
17,right,102,966,755,138,63,5,5,0,0,0,0,33062.15841029961,3248933.324709539,17.408176897900955,90.05524780280227
17,right,101,1974,1621,149,84,58,58,4,0,0,0,75651.85827959361,16252563.238413274,4.715519315207285,107.18624575864467
17,right,201,1931,1586,141,91,55,48,10,0,0,0,74595.6730332769,16476889.718512293,5.185145931136171,104.45069971617212
17,right,202,974,751,130,63,22,6,2,0,0,0,35763.08224098924,4888469.2469071075,10.710945305329023,96.87948141032463
18,left,101,1938,1677,92,103,44,22,0,0,0,0,49207.85002407355,8143371.817886383,3.2344028570349925,88.63906907232884
18,left,102,969,815,81,63,9,1,0,0,0,0,24832.29221751228,2408519.289398051,6.246198128161374,79.78748729657427
18,left,202,967,798,87,66,13,3,0,0,0,0,26166.542681377978,2928785.9433513014,5.001693506814207,86.22046849433444
18,left,201,1937,1683,77,103,56,18,0,0,0,0,50151.003707198295,8142683.157666393,3.489676582477125,87.61332617600378
18,right,102,959,798,72,74,12,3,0,0,0,0,27363.497408681098,3004551.10936933,6.874238183799748,92.79957518467195
18,right,101,1929,1664,77,114,47,26,1,0,0,0,53309.489253875174,9510135.767574705,3.4393561971575397,97.59066581786557
18,right,201,1925,1670,73,104,60,17,1,0,0,0,53242.65790105617,9061465.34880666,4.1487013087423446,90.18870755966509
18,right,202,956,792,87,57,16,3,1,0,0,0,27880.143209255573,3566840.7156305434,6.963493695443569,88.63640783586419
19,left,102,1037,845,99,74,14,5,0,0,0,0,30819.973775120525,3676414.279845997,6.919609144772206,90.12923599654246
19,left,101,1924,1661,65,91,57,46,4,0,0,0,61527.64476389431,14183969.259457732,2.7129416487228113,107.33866286997194
19,left,201,1958,1659,80,127,43,48,1,0,0,0,61133.97953354103,12619349.513489095,2.590067029020434,115.01243570579445
19,left,202,1038,842,107,75,9,5,0,0,0,0,29737.688159947105,3341662.3747844836,6.792566832024348,88.85342361547971
19,right,101,1910,1636,75,80,63,52,4,0,0,0,63567.48330362319,15170027.906724699,2.824539530125654,108.70920891996893
19,right,102,1029,833,102,76,12,6,0,0,0,0,31748.287093151084,3843714.352254559,7.080167201851381,96.84412373808455
19,right,202,1029,833,109,64,16,7,0,0,0,0,31300.62890540982,3888375.045342825,7.011470100336985,89.59520543999282
19,right,201,1949,1650,74,113,67,43,2,0,0,0,64133.69290910609,14163609.90800959,2.7074865614511783,125.21945325151799
20,left,101,1885,1494,167,76,60,63,23,2,0,0,90721.54296430675,26666266.619134925,5.870502282197921,147.53049888711934
20,left,102,1038,754,150,91,24,15,4,0,0,0,45471.31669958074,7742632.183227728,12.660806262887165,118.39856713251032
20,left,202,1024,758,122,111,25,7,1,0,0,0,42058.45322719887,5942393.921637962,12.541767434917201,119.46080950044625
20,left,201,1895,1483,172,97,70,60,13,0,0,0,85226.89103724925,20717286.214911163,5.154999847688929,141.74643168589864
20,right,102,1027,732,157,101,22,10,5,0,0,0,46341.138208023585,7563905.486974706,14.757990411477204,122.88164717358183
20,right,101,1876,1469,165,115,60,50,17,0,0,0,85154.21295055823,21617000.128195822,5.252115156280343,136.28266655004563
20,right,202,1016,735,132,109,28,10,2,0,0,0,44010.86966552295,6662155.11413787,12.817783113628225,123.8492963414016
20,right,201,1882,1467,168,103,61,65,18,0,0,0,88283.28299322486,23110085.250972636,4.53340984538503,147.63260711598733
21,left,102,1040,875,90,47,21,5,2,0,0,0,29824.828971390198,4401463.186362112,7.1832977371473365,80.3879327973273
21,left,101,1873,1618,84,95,52,24,0,0,0,0,53340.86776332729,9136605.153009355,4.886971931234805,92.67422956368934
21,left,201,1918,1681,83,87,46,18,3,0,0,0,48465.86583397286,8718723.321909348,3.950391862037529,75.39143512698323
21,left,202,1042,891,85,43,19,4,0,0,0,0,27068.158344056825,2996413.2889423324,7.487378389712132,66.98201318202244
21,right,102,1038,863,95,58,11,11,0,0,0,0,31574.219380649265,4115917.1569021936,8.783826769416759,81.46155884649953
21,right,101,1863,1606,85,92,49,31,0,0,0,0,54440.05075989531,9934137.578764658,4.956426822160294,90.21274241178821
21,right,202,1033,861,108,43,10,11,0,0,0,0,29137.13487783625,3480514.3345549093,8.86708112536863,76.27342921203943
21,right,201,1908,1666,81,92,43,26,0,0,0,0,49676.906715369936,8659488.74479846,3.997959666525631,78.35720422132081
22,left,101,1901,1661,48,76,51,53,12,0,0,0,61213.52299866494,16755529.840245388,2.2391683423929716,101.47587553038422
22,left,102,1027,825,152,40,6,4,0,0,0,0,31314.278581179256,2727507.396974689,17.429868831560178,72.07395005588398
22,left,201,1918,1671,62,71,55,48,11,0,0,0,59730.22814277878,16129116.963622749,1.91623067983092,90.77069803577228
22,left,202,1024,831,148,37,4,4,0,0,0,0,30100.99171877862,2695238.39657576,15.645166628385002,75.74128672395528
22,right,101,1887,1660,38,69,60,51,9,0,0,0,59528.10576136726,16214681.217271805,2.1908852020212026,100.16773343301824
22,right,102,1018,808,165,35,6,3,1,0,0,0,31037.816839912975,2769945.391717273,18.094760712560507,69.76470957319177
22,right,201,1906,1669,54,63,55,59,6,0,0,0,59027.09436392345,15491070.284471616,1.8573408854143052,93.04233888209542
22,right,202,1014,818,156,35,1,3,1,0,0,0,29632.57390438987,2644473.2427130807,15.979716732504093,75.0439265410042
23,left,101,1906,1659,51,89,65,41,1,0,0,0,56770.732838695,12385251.6953498,2.955039914561592,103.194278268573
23,left,102,982,802,78,77,18,6,1,0,0,0,32295.792626176313,4597964.80278627,6.896408594918459,103.82958069006156
23,left,202,982,771,112,77,17,5,0,0,0,0,32445.746954750633,4034832.5301870825,8.7968260868005,100.04562267550506
23,left,201,1915,1632,85,88,63,47,0,0,0,0,60875.475545766974,12917439.263559187,3.2624836983209917,106.20719473340417
23,right,101,1896,1641,64,83,56,48,4,0,0,0,58989.72065291504,13711033.979288451,2.719810391225635,103.07114375317907
23,right,102,972,775,87,76,29,5,0,0,0,0,33305.16038504112,4591489.4959512595,6.375710619667299,112.01007933888616
23,right,202,975,769,99,85,17,5,0,0,0,0,32356.05724870442,4095736.379097117,7.269355242654509,109.10985437452712
23,right,201,1906,1638,73,79,63,49,4,0,0,0,60430.048609165795,13722733.966723617,2.591789288678294,102.55956036042335
24,left,101,1961,1714,63,85,47,46,6,0,0,0,59777.01365968595,13732872.651935054,3.9995502705758113,85.25759278127703
24,left,102,982,757,125,86,12,2,0,0,0,0,31922.295939559743,3379048.6901663123,8.448478187163214,101.1571054290843
24,left,201,1986,1628,126,126,57,44,5,0,0,0,71167.114024437,15201562.99442438,4.646550784266856,119.71131654712143
24,left,202,988,785,116,76,8,2,1,0,0,0,30137.85590087512,3315012.4134812485,7.488956715541123,93.39364306917345
24,right,101,1951,1715,54,76,43,54,9,0,0,0,60492.60592849297,14917122.846949898,3.5964794039794272,83.99163528811367
24,right,102,975,749,119,93,9,5,0,0,0,0,31732.025691608247,3501526.5159751736,7.700541544565436,104.80459950200552
24,right,202,979,772,113,87,4,2,1,0,0,0,29193.79977746777,3120548.6059311843,6.950217522818532,96.30278534075406
24,right,201,1974,1633,134,102,52,48,5,0,0,0,68439.49150821238,14847296.120014109,3.9143419398624006,104.91477265819314
25,left,101,1938,1695,53,62,62,53,12,1,0,0,66693.38676972948,18753613.250628572,3.3323699167392684,97.11354244494213
25,left,102,974,748,143,66,10,6,1,0,0,0,35301.46244629085,3989689.3321150513,16.686933036235338,92.09186178572945
25,left,201,1926,1687,53,64,47,56,19,0,0,0,66264.73287572303,19033773.217865724,3.363177807073254,89.15114256549862
25,left,202,978,748,143,73,7,5,2,0,0,0,35040.196993171194,4091116.634300041,16.045002630723985,94.68384624693991
25,right,101,1928,1691,45,83,50,46,13,0,0,0,60896.55587769601,16527450.75426749,2.8554319957240293,94.07638349885197
25,right,102,967,757,144,53,5,8,0,0,0,0,31659.094322451987,3177999.3758332077,15.032005167253116,83.90355992734207
25,right,202,968,750,149,59,5,4,1,0,0,0,31455.429967222786,3286623.020543872,14.694564570848739,83.19707436622768
25,right,201,1918,1687,56,59,51,55,10,0,0,0,59940.73070283722,16211655.070957921,2.7975360034914796,83.91487550300788
26,left,102,990,770,107,77,26,9,1,0,0,0,38375.43331665688,5627455.389135005,10.905678449093553,114.01131454742438
26,left,101,1925,1524,155,109,67,59,11,0,0,0,82114.43166016082,19079827.40003641,5.0355122322352095,138.6063220224834
26,left,202,980,744,137,76,15,7,1,0,0,0,37577.20212469058,4852652.588918917,15.474620069856936,100.25540196431501
26,left,201,1928,1499,174,109,67,64,15,0,0,0,89164.70989463633,22108297.88676013,5.558782918026957,143.05120078657004
26,right,102,981,775,96,76,20,12,2,0,0,0,36711.23383814692,5557262.699772941,9.86518395274089,106.65552328931037
26,right,101,1913,1544,137,114,52,53,13,0,0,0,76905.99264764835,17934107.212461784,4.4753780252026125,121.85244461832998
26,right,202,971,756,114,78,12,10,1,0,0,0,36787.596276939,4695321.236206992,16.488980006342555,102.312648895551
26,right,201,1914,1509,145,119,63,68,10,0,0,0,85227.39982332106,20112842.689166084,5.150494901477895,140.06889937758297
27,left,101,1925,1616,80,92,77,51,9,0,0,0,71060.993252499,18026368.046216905,2.9021742952215326,137.14156771404598
27,left,102,976,760,105,93,9,8,1,0,0,0,34461.16451093503,4384190.933387699,10.214766717968185,110.81481056831211
27,left,201,1932,1632,72,77,71,71,9,0,0,0,75173.98391124197,20680134.80278516,2.7856613671575334,129.4573261623528
27,left,202,967,763,96,82,17,5,4,0,0,0,34797.26505903063,5264940.454966435,11.056363305118746,106.61411275245759
27,right,102,964,755,98,87,17,5,2,0,0,0,33895.22585621955,4552114.925081835,8.959987914338864,110.13458967612604
27,right,101,1913,1612,74,81,78,57,11,0,0,0,72295.80014807374,19453760.216942143,2.6419921817433476,136.7491651306925
27,right,201,1921,1619,62,94,63,70,13,0,0,0,75081.66716549643,21000522.88376107,2.5149685726069864,147.50148338046154
27,right,202,956,744,110,77,17,6,2,0,0,0,34602.14140379529,4974763.440262808,9.815186307501255,105.43193429477559
28,left,102,986,738,142,89,12,3,2,0,0,0,34079.3836188111,4131759.559325726,8.069246276324282,103.62263873430416
28,left,101,1921,1646,84,79,60,48,4,0,0,0,61057.77318946387,14263300.975271314,2.649839870974743,97.78061536096241
28,left,202,966,748,131,66,12,9,0,0,0,0,31626.271517223497,4026305.7863802537,6.386272835959904,93.22231390633931
28,left,201,1912,1619,87,97,48,55,6,0,0,0,65706.41701249462,15413965.329992184,2.9476446259785973,110.05126575958529
28,right,101,1912,1625,90,90,51,46,10,0,0,0,64442.36957691668,15672148.899524398,2.643528860667393,104.62493200671561
28,right,102,977,728,131,98,15,4,1,0,0,0,35807.544751758236,4790716.271668526,8.486470319954007,107.66815117954276
28,right,201,1904,1600,82,112,55,45,10,0,0,0,68519.33862049971,16266662.995607393,3.05995217910907,123.38162675159047
28,right,202,957,733,119,87,10,7,1,0,0,0,32966.04184382259,4494607.142614681,7.272486802647841,105.18321137627069
29,left,102,977,751,110,76,19,15,6,0,0,0,41340.366453157534,8125227.180177968,12.43911426236406,108.30663544518166
29,left,101,1909,1602,107,87,38,54,21,0,0,0,73562.53963434108,20584162.78138578,3.8058043974110256,105.84857933747513
29,left,202,995,779,102,93,14,6,1,0,0,0,35687.63268550209,4528895.775317816,11.334174910439145,105.70560266362837
29,left,201,1893,1607,92,85,41,55,13,0,0,0,68289.15347113876,17749754.19994837,4.068735113400179,103.42699660221831
29,right,102,968,738,111,66,10,15,22,4,2,0,53933.94319027,21265692.531364594,11.196384829441161,118.77006134374912
29,right,101,1897,1584,115,77,34,56,27,4,0,0,78272.1573015393,26272664.88560239,3.4238357995270285,105.02545241168451
29,right,202,982,753,82,90,13,14,13,15,2,0,61240.51388328135,29807798.114193104,10.208240892572423,134.81561040328927
29,right,201,1883,1573,111,82,36,48,29,4,0,0,77397.18449738252,25546565.651665065,4.000564302640065,109.40609005039768
