user,eye,code,n_saccade,win_dur_s,orig_frames_40ms,interp_frames_5ms,added_frames,events_in_win
17,right,201,7,2.8,70,560,490,0
18,left,102,0,0.0,0,0,0,0
18,left,201,0,0.0,0,0,0,0
18,left,101,1,0.4,10,80,70,0
18,left,202,2,0.8,20,160,140,0
18,right,102,0,0.0,0,0,0,0
18,right,101,5,2.0,50,400,350,0
18,right,201,8,3.2,80,640,560,0
18,right,202,3,0.84,21,168,147,0
19,left,102,0,0.0,0,0,0,0
19,left,201,0,0.0,0,0,0,0
19,left,202,0,0.0,0,0,0,0
19,right,101,1,0.4,10,80,70,0
19,right,102,0,0.0,0,0,0,0
19,right,201,0,0.0,0,0,0,0
19,left,101,1,0.4,10,80,70,0
19,right,202,1,0.4,10,80,70,0
20,left,102,13,4.98,125,997,872,0
20,left,101,7,2.8,70,560,490,0
20,left,202,6,2.24,56,449,393,0
20,left,201,11,4.05,101,811,710,0
20,right,102,13,5.2,130,1040,910,0
20,right,101,8,3.2,80,640,560,0
20,right,202,5,2.0,50,400,350,0
20,right,201,7,2.8,70,560,490,0
21,left,102,0,0.0,0,0,0,0
21,left,101,7,2.8,70,560,490,0
21,left,201,2,0.8,20,160,140,0
21,right,101,0,0.0,0,0,0,0
21,right,102,0,0.0,0,0,0,0
21,left,202,3,1.2,30,240,210,0
21,right,202,2,0.8,20,160,140,0
21,right,201,6,2.4,60,480,420,0
22,left,102,1,0.4,10,80,70,0
22,left,101,3,1.2,30,240,210,0
22,left,202,0,0.0,0,0,0,0
22,right,101,1,0.4,10,80,70,0
22,right,102,0,0.0,0,0,0,0
22,left,201,4,1.6,40,320,280,0
22,right,202,0,0.0,0,0,0,0
22,right,201,7,2.8,70,560,490,0
23,left,102,4,1.3,32,259,227,0
23,left,101,2,0.8,20,160,140,0
23,left,202,3,1.2,30,240,210,0
23,left,201,8,2.5,63,501,438,0
23,right,102,0,0.0,0,0,0,0
23,right,101,2,0.8,20,160,140,0
23,right,201,5,1.62,41,324,283,0
23,right,202,2,0.8,20,160,140,0
24,left,102,5,1.62,41,325,284,0
24,left,101,2,0.8,20,160,140,0
24,left,202,7,2.38,60,477,417,0
24,right,101,3,1.2,30,240,210,0
24,left,201,18,7.2,180,1440,1260,0
24,right,102,1,0.4,10,80,70,0
24,right,202,1,0.4,10,80,70,0
24,right,201,6,2.4,60,480,420,0
25,left,101,2,0.8,20,160,140,0
25,left,102,1,0.4,10,80,70,0
25,left,202,2,0.8,20,160,140,0
25,left,201,3,1.2,30,240,210,0
25,right,102,0,0.0,0,0,0,0
25,right,101,1,0.4,10,80,70,0
25,right,201,1,0.4,10,80,70,0
25,right,202,3,0.84,21,167,146,0
26,left,102,6,2.11,53,422,369,0
26,left,101,12,4.69,117,938,821,0
26,left,202,8,2.84,71,568,497,0
26,left,201,8,3.2,80,640,560,0
26,right,102,2,0.8,20,160,140,0
26,right,101,9,2.63,66,527,461,0
26,right,202,2,0.8,20,160,140,0
26,right,201,6,2.4,60,480,420,0
27,left,102,0,0.0,0,0,0,0
27,left,101,1,0.4,10,80,70,0
27,left,202,0,0.0,0,0,0,0
27,left,201,3,1.2,30,240,210,0
27,right,101,1,0.4,10,80,70,0
27,right,102,1,0.4,10,80,70,0
27,right,202,0,0.0,0,0,0,0
27,right,201,1,0.4,10,80,70,0
28,left,101,1,0.4,10,80,70,0
28,left,102,1,0.4,10,80,70,0
28,left,202,0,0.0,0,0,0,0
28,right,101,3,1.2,30,240,210,0
28,right,102,4,1.56,39,312,273,0
28,left,201,1,0.4,10,80,70,0
28,right,201,2,0.8,20,160,140,0
28,right,202,0,0.0,0,0,0,0
29,left,102,4,1.6,40,320,280,0
29,left,101,39,14.19,355,2838,2483,0
29,left,201,25,9.65,241,1931,1690,0
29,left,202,4,1.6,40,320,280,0
29,right,102,10,2.56,64,511,447,0
29,right,101,40,15.28,382,3057,2675,0
29,right,201,22,8.64,216,1727,1511,0
29,right,202,17,5.47,137,1094,957,0
30,left,102,1,0.4,10,80,70,0
30,left,101,6,1.97,49,393,344,0
30,left,202,0,0.0,0,0,0,0
30,left,201,2,0.8,20,160,140,0
30,right,101,7,2.8,70,560,490,0
30,right,102,5,2.0,50,400,350,0
30,right,202,0,0.0,0,0,0,0
30,right,201,7,2.55,64,510,446,0
31,left,102,0,0.0,0,0,0,0
31,left,101,2,0.8,20,160,140,0
31,left,201,1,0.4,10,80,70,0
31,right,101,0,0.0,0,0,0,0
31,left,202,3,1.2,30,240,210,0
31,right,102,2,0.8,20,160,140,0
31,right,202,1,0.4,10,80,70,0
32,left,101,0,0.0,0,0,0,0
31,right,201,2,0.8,20,160,140,0
32,left,102,0,0.0,0,0,0,0
32,left,202,2,0.8,20,160,140,0
32,left,201,1,0.4,10,80,70,0
32,right,102,0,0.0,0,0,0,0
32,right,101,2,0.8,20,160,140,0
32,right,202,2,0.8,20,160,140,0
32,right,201,4,0.9,22,179,157,0
33,left,102,8,2.07,52,415,363,0
33,left,101,4,1.6,40,320,280,0
33,left,202,6,2.03,51,405,354,0
33,right,101,9,3.6,90,720,630,0
33,right,102,3,1.2,30,240,210,0
33,left,201,6,2.01,50,403,353,0
33,right,202,6,2.4,60,480,420,0
33,right,201,8,2.78,70,557,487,0
34,left,102,3,0.92,23,184,161,0
34,left,101,6,2.4,60,480,420,0
34,left,202,4,1.27,32,254,222,0
34,left,201,13,4.48,112,897,785,0
34,right,102,1,0.4,10,80,70,0
34,right,101,3,0.83,21,166,145,0
34,right,202,1,0.4,10,80,70,0
34,right,201,5,2.0,50,400,350,0
35,left,102,4,1.6,40,320,280,0
35,left,101,5,2.0,50,400,350,0
35,left,202,3,1.2,30,240,210,0
35,left,201,12,4.8,120,960,840,0
35,right,102,0,0.0,0,0,0,0
35,right,101,1,0.4,10,80,70,0
35,right,201,6,2.4,60,480,420,0
36,left,101,0,0.0,0,0,0,0
35,right,202,1,0.4,10,80,70,0
36,left,102,1,0.4,10,80,70,0
36,left,201,2,0.8,20,160,140,0
36,right,101,0,0.0,0,0,0,0
36,left,202,2,0.8,20,160,140,0
36,right,102,1,0.4,10,80,70,0
36,right,202,0,0.0,0,0,0,0
36,right,201,2,0.8,20,160,140,0
37,left,102,3,1.2,30,240,210,0
37,left,101,2,0.8,20,160,140,0
37,left,202,0,0.0,0,0,0,0
37,right,101,0,0.0,0,0,0,0
37,right,102,0,0.0,0,0,0,0
37,right,201,1,0.4,10,80,70,0
37,right,202,0,0.0,0,0,0,0
37,left,201,1,0.4,10,80,70,0
38,left,102,1,0.4,10,80,70,0
38,left,101,1,0.4,10,80,70,0
38,left,202,2,0.8,20,160,140,0
38,left,201,1,0.4,10,80,70,0
38,right,102,0,0.0,0,0,0,0
38,right,101,3,1.2,30,240,210,0
38,right,202,2,0.8,20,160,140,0
38,right,201,2,0.8,20,160,140,0
39,left,102,3,1.2,30,240,210,0
39,left,201,3,1.2,30,240,210,0
39,left,101,3,1.2,30,240,210,0
39,left,202,3,1.2,30,240,210,0
39,right,101,2,0.8,20,160,140,0
39,right,102,3,1.2,30,240,210,0
39,right,202,1,0.4,10,80,70,0
39,right,201,4,1.6,40,320,280,0
40,left,102,1,0.4,10,80,70,0
40,left,101,3,1.2,30,240,210,0
40,left,202,1,0.4,10,80,70,0
40,left,201,1,0.4,10,80,70,0
40,right,102,0,0.0,0,0,0,0
40,right,101,1,0.4,10,80,70,0
40,right,201,4,1.6,40,320,280,0
40,right,202,1,0.4,10,80,70,0
41,left,102,3,1.2,30,240,210,0
41,left,101,10,4.0,100,800,700,0
41,left,202,2,0.8,20,160,140,0
41,left,201,9,3.6,90,720,630,0
41,right,101,10,3.69,92,737,645,0
41,right,102,1,0.4,10,80,70,0
41,right,202,4,1.6,40,320,280,0
41,right,201,10,4.0,100,800,700,0
42,left,102,1,0.4,10,80,70,0
42,left,101,10,4.0,100,800,700,0
42,left,202,1,0.4,10,80,70,0
42,left,201,5,2.0,50,400,350,0
42,right,102,4,1.6,40,320,280,0
42,right,101,11,4.02,101,805,704,0
42,right,202,2,0.8,20,160,140,0
42,right,201,8,3.2,80,640,560,0
43,left,102,2,0.8,20,160,140,0
43,left,101,2,0.8,20,160,140,0
43,left,202,1,0.4,10,80,70,0
43,left,201,2,0.8,20,160,140,0
43,right,102,0,0.0,0,0,0,0
43,right,201,2,0.8,20,160,140,0
43,right,202,0,0.0,0,0,0,0
44,left,101,0,0.0,0,0,0,0
44,left,102,0,0.0,0,0,0,0
44,left,201,0,0.0,0,0,0,0
44,left,202,0,0.0,0,0,0,0
44,right,101,0,0.0,0,0,0,0
43,right,101,2,0.8,20,160,140,0
44,right,102,0,0.0,0,0,0,0
44,right,202,0,0.0,0,0,0,0
44,right,201,1,0.4,10,80,70,0
45,left,102,0,0.0,0,0,0,0
45,left,201,0,0.0,0,0,0,0
45,left,202,0,0.0,0,0,0,0
45,right,101,0,0.0,0,0,0,0
45,right,102,1,0.4,10,80,70,0
45,left,101,1,0.4,10,80,70,0
45,right,202,1,0.4,10,80,70,0
46,left,101,0,0.0,0,0,0,0
46,left,102,0,0.0,0,0,0,0
45,right,201,1,0.4,10,80,70,0
46,left,202,0,0.0,0,0,0,0
46,right,101,2,0.8,20,160,140,0
46,right,102,0,0.0,0,0,0,0
46,left,201,3,1.2,30,240,210,0
46,right,202,1,0.4,10,80,70,0
46,right,201,2,0.8,20,160,140,0
47,left,102,0,0.0,0,0,0,0
47,left,101,2,0.46,11,92,81,0
47,left,202,0,0.0,0,0,0,0
47,right,101,0,0.0,0,0,0,0
47,right,102,0,0.0,0,0,0,0
47,right,201,0,0.0,0,0,0,0
47,right,202,0,0.0,0,0,0,0
47,left,201,2,0.8,20,160,140,0
48,left,102,2,0.8,20,160,140,0
48,left,101,5,2.0,50,400,350,0
48,left,202,0,0.0,0,0,0,0
48,right,101,4,1.6,40,320,280,0
48,right,102,1,0.4,10,80,70,0
48,left,201,7,2.8,70,560,490,0
48,right,202,5,1.71,43,341,298,0
48,right,201,6,2.4,60,480,420,0
