Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
11,Train,False,163279,1958,2134,2309,1951,1835,2063,1672,1605,1755,6647,5285,4030,3056,2440,2093,1835,1633,8692,7747,4464,2674,5242,793,430,237622,68.714,0.824,0.898,0.972,0.821,0.772,0.868,0.704,0.675,0.739,2.797,2.224,1.696,1.286,1.027,0.881,0.772,0.687,3.658,3.26,1.879,1.125,2.206,0.334,0.181
12,Train,False,171212,1808,1887,1974,1736,1576,1650,1266,1332,1299,4962,3928,2854,2290,1744,1520,1354,1246,6736,7367,4417,2864,5048,664,609,233343,73.374,0.775,0.809,0.846,0.744,0.675,0.707,0.543,0.571,0.557,2.126,1.683,1.223,0.981,0.747,0.651,0.58,0.534,2.887,3.157,1.893,1.227,2.163,0.285,0.261
13,Train,False,175724,1579,1593,1644,1489,1387,1627,1264,1199,1195,4928,3758,2843,2115,1700,1456,1217,1110,6374,6391,4045,2980,5314,717,322,233971,75.105,0.675,0.681,0.703,0.636,0.593,0.695,0.54,0.512,0.511,2.106,1.606,1.215,0.904,0.727,0.622,0.52,0.474,2.724,2.732,1.729,1.274,2.271,0.306,0.138
14,Train,False,164449,1796,1796,2013,1708,1597,1925,1507,1528,1551,6301,5169,3981,3084,2485,2114,1942,1704,9504,7893,4472,3122,5048,811,566,238066,69.077,0.754,0.754,0.846,0.717,0.671,0.809,0.633,0.642,0.652,2.647,2.171,1.672,1.295,1.044,0.888,0.816,0.716,3.992,3.315,1.878,1.311,2.12,0.341,0.238
15,Train,False,175846,1495,1719,1659,1510,1423,1609,1247,1267,1225,5048,3856,2999,2354,1931,1616,1393,1303,7836,7126,3588,2202,3098,556,1102,235008,74.826,0.636,0.731,0.706,0.643,0.606,0.685,0.531,0.539,0.521,2.148,1.641,1.276,1.002,0.822,0.688,0.593,0.554,3.334,3.032,1.527,0.937,1.318,0.237,0.469
16,Train,False,164803,1651,1730,1788,1636,1433,1640,1287,1266,1355,5328,4126,3363,2532,2161,1905,1647,1451,8267,7210,4242,2836,4487,569,252,228965,71.977,0.721,0.756,0.781,0.715,0.626,0.716,0.562,0.553,0.592,2.327,1.802,1.469,1.106,0.944,0.832,0.719,0.634,3.611,3.149,1.853,1.239,1.96,0.249,0.11
17,Train,False,166584,1466,1713,1778,1446,1415,1681,1327,1394,1407,5723,4646,3788,2802,2218,1904,1927,1625,9655,8310,4185,2628,3274,648,1127,234671,70.986,0.625,0.73,0.758,0.616,0.603,0.716,0.565,0.594,0.6,2.439,1.98,1.614,1.194,0.945,0.811,0.821,0.692,4.114,3.541,1.783,1.12,1.395,0.276,0.48
18,Train,False,176519,1442,1544,1494,1372,1380,1412,1173,1192,1201,4589,3560,2818,2205,1841,1479,1343,1232,7120,6721,3996,2488,2614,470,469,231674,76.193,0.622,0.666,0.645,0.592,0.596,0.609,0.506,0.515,0.518,1.981,1.537,1.216,0.952,0.795,0.638,0.58,0.532,3.073,2.901,1.725,1.074,1.128,0.203,0.202
19,Train,False,173780,1706,1798,1860,1659,1506,1687,1388,1365,1394,5303,3941,3111,2426,1933,1644,1455,1244,7320,7110,4650,3429,4903,680,242,237534,73.16,0.718,0.757,0.783,0.698,0.634,0.71,0.584,0.575,0.587,2.233,1.659,1.31,1.021,0.814,0.692,0.613,0.524,3.082,2.993,1.958,1.444,2.064,0.286,0.102
20,Train,False,161894,1383,1513,1561,1331,1369,1545,1207,1244,1265,5213,4210,3373,2723,2174,1916,1683,1606,8740,7887,5200,3800,7426,1685,988,232936,69.501,0.594,0.65,0.67,0.571,0.588,0.663,0.518,0.534,0.543,2.238,1.807,1.448,1.169,0.933,0.823,0.723,0.689,3.752,3.386,2.232,1.631,3.188,0.723,0.424
21,Train,False,172823,1313,1429,1538,1269,1233,1352,1172,1163,1206,4931,4049,3404,2760,2299,1886,1771,1555,8799,7700,4110,2654,3134,441,386,234377,73.737,0.56,0.61,0.656,0.541,0.526,0.577,0.5,0.496,0.515,2.104,1.728,1.452,1.178,0.981,0.805,0.756,0.663,3.754,3.285,1.754,1.132,1.337,0.188,0.165
22,Train,False,170589,2113,2089,2125,1866,1651,1841,1423,1399,1324,5368,4218,3155,2460,1989,1714,1542,1358,7457,6834,4018,2408,3901,565,573,233980,72.908,0.903,0.893,0.908,0.798,0.706,0.787,0.608,0.598,0.566,2.294,1.803,1.348,1.051,0.85,0.733,0.659,0.58,3.187,2.921,1.717,1.029,1.667,0.241,0.245
23,Train,False,175772,1468,1598,1611,1443,1381,1452,1269,1211,1159,4608,3458,2791,2025,1736,1416,1285,1168,6792,6700,3865,2438,2622,567,914,230749,76.175,0.636,0.693,0.698,0.625,0.598,0.629,0.55,0.525,0.502,1.997,1.499,1.21,0.878,0.752,0.614,0.557,0.506,2.943,2.904,1.675,1.057,1.136,0.246,0.396
24,Train,False,172748,1427,1603,1601,1404,1293,1459,1233,1237,1264,5157,3886,3102,2393,1918,1535,1411,1128,7140,6481,4591,3614,6790,959,640,236014,73.194,0.605,0.679,0.678,0.595,0.548,0.618,0.522,0.524,0.536,2.185,1.647,1.314,1.014,0.813,0.65,0.598,0.478,3.025,2.746,1.945,1.531,2.877,0.406,0.271
25,Train,False,166272,1769,1854,1986,1748,1633,1717,1470,1406,1369,5654,4443,3453,2823,2156,1893,1650,1487,8069,6558,3930,2452,4894,835,525,232046,71.655,0.762,0.799,0.856,0.753,0.704,0.74,0.633,0.606,0.59,2.437,1.915,1.488,1.217,0.929,0.816,0.711,0.641,3.477,2.826,1.694,1.057,2.109,0.36,0.226
26,Train,False,160499,1458,1438,1546,1383,1361,1527,1248,1282,1215,5156,4134,3399,2751,2236,2029,1792,1638,9845,8327,5152,3526,6938,1336,908,232124,69.144,0.628,0.619,0.666,0.596,0.586,0.658,0.538,0.552,0.523,2.221,1.781,1.464,1.185,0.963,0.874,0.772,0.706,4.241,3.587,2.22,1.519,2.989,0.576,0.391
27,Train,False,168952,1762,1861,1936,1670,1529,1662,1396,1324,1380,5145,3886,2865,2149,1661,1580,1408,1204,6707,6380,4257,3224,5786,814,607,231145,73.094,0.762,0.805,0.838,0.722,0.661,0.719,0.604,0.573,0.597,2.226,1.681,1.239,0.93,0.719,0.684,0.609,0.521,2.902,2.76,1.842,1.395,2.503,0.352,0.263
28,Train,False,172990,1614,1633,1615,1447,1247,1482,1170,1141,1088,4557,3435,2782,2084,1712,1436,1332,1163,6725,6344,4172,3105,5155,811,566,230806,74.95,0.699,0.708,0.7,0.627,0.54,0.642,0.507,0.494,0.471,1.974,1.488,1.205,0.903,0.742,0.622,0.577,0.504,2.914,2.749,1.808,1.345,2.233,0.351,0.245
29,Train,False,164578,1574,1648,1707,1565,1475,1631,1390,1406,1407,5535,4289,3477,2670,2155,1838,1551,1370,7833,6804,4321,2848,4537,1166,1373,230148,71.51,0.684,0.716,0.742,0.68,0.641,0.709,0.604,0.611,0.611,2.405,1.864,1.511,1.16,0.936,0.799,0.674,0.595,3.403,2.956,1.877,1.237,1.971,0.507,0.597
30,Train,False,165816,1816,1793,1807,1657,1548,1630,1311,1391,1389,5340,4174,3360,2445,2101,1743,1538,1420,7988,7096,3949,2606,5998,1690,692,232298,71.381,0.782,0.772,0.778,0.713,0.666,0.702,0.564,0.599,0.598,2.299,1.797,1.446,1.053,0.904,0.75,0.662,0.611,3.439,3.055,1.7,1.122,2.582,0.728,0.298
31,Train,False,164721,1655,1799,1899,1659,1565,1732,1458,1420,1393,5362,4228,3279,2607,2182,1701,1529,1453,8263,8073,5205,3662,5658,614,298,233415,70.57,0.709,0.771,0.814,0.711,0.67,0.742,0.625,0.608,0.597,2.297,1.811,1.405,1.117,0.935,0.729,0.655,0.622,3.54,3.459,2.23,1.569,2.424,0.263,0.128
32,Train,False,159711,1544,1694,1651,1520,1466,1716,1309,1375,1372,5824,4792,4015,3067,2754,2379,2170,1970,11910,9983,4912,3129,3921,629,403,235216,67.9,0.656,0.72,0.702,0.646,0.623,0.73,0.557,0.585,0.583,2.476,2.037,1.707,1.304,1.171,1.011,0.923,0.838,5.063,4.244,2.088,1.33,1.667,0.267,0.171
33,Train,False,171186,1538,1500,1493,1323,1281,1396,1188,1136,1087,4436,3413,2850,2217,1917,1623,1351,1303,7124,6254,4072,3138,7097,1470,830,232223,73.716,0.662,0.646,0.643,0.57,0.552,0.601,0.512,0.489,0.468,1.91,1.47,1.227,0.955,0.825,0.699,0.582,0.561,3.068,2.693,1.753,1.351,3.056,0.633,0.357
34,Train,False,160333,1282,1414,1501,1357,1303,1425,1202,1190,1229,5073,4257,3510,2864,2429,2101,1857,1704,9376,8350,5219,3598,7530,1836,843,232783,68.877,0.551,0.607,0.645,0.583,0.56,0.612,0.516,0.511,0.528,2.179,1.829,1.508,1.23,1.043,0.903,0.798,0.732,4.028,3.587,2.242,1.546,3.235,0.789,0.362
35,Train,False,174583,1564,1718,1734,1569,1480,1686,1260,1386,1363,5395,4313,3219,2313,1877,1579,1515,1322,7617,7680,4076,2670,4433,714,914,237980,73.36,0.657,0.722,0.729,0.659,0.622,0.708,0.529,0.582,0.573,2.267,1.812,1.353,0.972,0.789,0.664,0.637,0.556,3.201,3.227,1.713,1.122,1.863,0.3,0.384
36,Train,False,170283,1390,1476,1548,1393,1402,1535,1244,1183,1215,5152,4100,3443,2682,2117,1859,1596,1420,8302,7525,4334,3346,5693,875,511,235624,72.269,0.59,0.626,0.657,0.591,0.595,0.651,0.528,0.502,0.516,2.187,1.74,1.461,1.138,0.898,0.789,0.677,0.603,3.523,3.194,1.839,1.42,2.416,0.371,0.217
37,Test,True,169248,1868,2087,1999,1660,1563,1762,1367,1425,1357,5551,4136,3196,2491,2117,1776,1645,1407,8224,7309,4263,2926,4931,710,377,235395,71.9,0.794,0.887,0.849,0.705,0.664,0.749,0.581,0.605,0.576,2.358,1.757,1.358,1.058,0.899,0.754,0.699,0.598,3.494,3.105,1.811,1.243,2.095,0.302,0.16
38,Test,False,164828,1743,1778,1837,1656,1587,1704,1339,1286,1407,5453,4204,3391,2541,2133,1843,1597,1487,8185,7271,4091,2791,4589,684,458,229883,71.701,0.758,0.773,0.799,0.72,0.69,0.741,0.582,0.559,0.612,2.372,1.829,1.475,1.105,0.928,0.802,0.695,0.647,3.561,3.163,1.78,1.214,1.996,0.298,0.199
39,Test,False,153813,1510,1499,1753,1499,1399,1639,1331,1387,1356,5662,4900,4026,3269,2752,2406,2170,1921,10842,9368,5304,3705,4725,744,503,229483,67.026,0.658,0.653,0.764,0.653,0.61,0.714,0.58,0.604,0.591,2.467,2.135,1.754,1.425,1.199,1.048,0.946,0.837,4.725,4.082,2.311,1.614,2.059,0.324,0.219
40,Test,True,166725,2190,2208,2272,2055,1873,2051,1589,1607,1604,6690,4844,3861,3086,2463,2156,1883,1633,8843,7116,4176,2441,2734,430,373,236903,70.377,0.924,0.932,0.959,0.867,0.791,0.866,0.671,0.678,0.677,2.824,2.045,1.63,1.303,1.04,0.91,0.795,0.689,3.733,3.004,1.763,1.03,1.154,0.182,0.157
41,Test,False,175504,1298,1367,1448,1170,1215,1305,1071,1057,1010,4188,3341,2674,2000,1798,1522,1370,1203,7702,6847,4565,3344,6846,1244,1036,236125,74.327,0.55,0.579,0.613,0.496,0.515,0.553,0.454,0.448,0.428,1.774,1.415,1.132,0.847,0.761,0.645,0.58,0.509,3.262,2.9,1.933,1.416,2.899,0.527,0.439
42,Test,False,176472,1833,1871,1890,1640,1483,1615,1296,1221,1206,4597,3450,2709,2079,1685,1453,1286,1097,6597,6745,4322,3042,4542,710,804,235645,74.889,0.778,0.794,0.802,0.696,0.629,0.685,0.55,0.518,0.512,1.951,1.464,1.15,0.882,0.715,0.617,0.546,0.466,2.8,2.862,1.834,1.291,1.927,0.301,0.341
43,Test,False,171731,1527,1614,1764,1508,1274,1455,1245,1241,1222,4743,3697,2952,2325,1872,1596,1378,1228,7601,7536,4383,2961,5502,1179,505,234039,73.377,0.652,0.69,0.754,0.644,0.544,0.622,0.532,0.53,0.522,2.027,1.58,1.261,0.993,0.8,0.682,0.589,0.525,3.248,3.22,1.873,1.265,2.351,0.504,0.216
44,Test,False,168422,1771,1774,1936,1640,1536,1643,1311,1310,1305,5011,3869,2942,2256,1824,1682,1512,1373,8189,7945,4984,3633,4761,610,166,233405,72.159,0.759,0.76,0.829,0.703,0.658,0.704,0.562,0.561,0.559,2.147,1.658,1.26,0.967,0.781,0.721,0.648,0.588,3.508,3.404,2.135,1.557,2.04,0.261,0.071
45,Test,True,168123,1557,1708,1771,1558,1475,1744,1281,1308,1370,5616,4486,3556,2736,2196,1873,1706,1483,8686,7406,4416,2862,5220,786,528,235451,71.405,0.661,0.725,0.752,0.662,0.626,0.741,0.544,0.556,0.582,2.385,1.905,1.51,1.162,0.933,0.795,0.725,0.63,3.689,3.145,1.876,1.216,2.217,0.334,0.224
46,Test,False,163606,1706,1805,1855,1654,1496,1741,1461,1472,1420,5891,4647,3655,2740,2353,1997,1697,1615,9221,9097,5660,3781,4718,542,222,236052,69.309,0.723,0.765,0.786,0.701,0.634,0.738,0.619,0.624,0.602,2.496,1.969,1.548,1.161,0.997,0.846,0.719,0.684,3.906,3.854,2.398,1.602,1.999,0.23,0.094
47,Test,False,178256,1536,1755,1674,1534,1477,1587,1230,1272,1281,4743,3603,2722,2060,1553,1405,1146,1103,5772,5629,3940,3008,5161,575,216,234238,76.1,0.656,0.749,0.715,0.655,0.631,0.678,0.525,0.543,0.547,2.025,1.538,1.162,0.879,0.663,0.6,0.489,0.471,2.464,2.403,1.682,1.284,2.203,0.245,0.092
48,Test,True,168624,1999,1897,1863,1617,1408,1546,1217,1297,1184,4817,3592,2777,2081,1743,1563,1400,1302,8114,9222,6202,3990,4922,676,467,235520,71.596,0.849,0.805,0.791,0.687,0.598,0.656,0.517,0.551,0.503,2.045,1.525,1.179,0.884,0.74,0.664,0.594,0.553,3.445,3.916,2.633,1.694,2.09,0.287,0.198
