Subject,Split,InVal,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-100,100-200,200-300,300-400,400-800,800-1200,1200+,Total,0-1 %,1-2 %,2-3 %,3-4 %,4-5 %,5-6 %,6-7 %,7-8 %,8-9 %,9-10 %,10-15 %,15-20 %,20-25 %,25-30 %,30-35 %,35-40 %,40-45 %,45-50 %,50-100 %,100-200 %,200-300 %,300-400 %,400-800 %,800-1200 %,1200+ %
11,Train,False,2125,4031,3754,2854,2141,1522,1146,942,696,555,1882,1177,843,788,546,424,274,161,1158,1204,431,262,585,3,0,29504,7.202,13.663,12.724,9.673,7.257,5.159,3.884,3.193,2.359,1.881,6.379,3.989,2.857,2.671,1.851,1.437,0.929,0.546,3.925,4.081,1.461,0.888,1.983,0.01,0.0
12,Train,False,2827,4709,3968,2838,1884,1304,951,707,580,432,1352,901,794,616,497,315,232,194,1133,1140,567,363,670,17,40,29031,9.738,16.221,13.668,9.776,6.49,4.492,3.276,2.435,1.998,1.488,4.657,3.104,2.735,2.122,1.712,1.085,0.799,0.668,3.903,3.927,1.953,1.25,2.308,0.059,0.138
13,Train,False,1355,3013,3461,3366,2881,2324,1877,1373,1012,784,1821,721,376,237,193,175,174,167,1208,1165,596,348,602,13,0,29242,4.634,10.304,11.836,11.511,9.852,7.947,6.419,4.695,3.461,2.681,6.227,2.466,1.286,0.81,0.66,0.598,0.595,0.571,4.131,3.984,2.038,1.19,2.059,0.044,0.0
14,Train,False,945,2189,2534,2591,2329,2054,1726,1534,1251,991,3065,1504,931,521,350,294,244,196,1302,1289,613,348,553,0,0,29354,3.219,7.457,8.633,8.827,7.934,6.997,5.88,5.226,4.262,3.376,10.442,5.124,3.172,1.775,1.192,1.002,0.831,0.668,4.436,4.391,2.088,1.186,1.884,0.0,0.0
15,Train,False,1600,3285,3541,3087,2521,2037,1505,1196,903,710,2042,1065,585,361,229,212,171,147,1179,1042,568,357,708,59,13,29123,5.494,11.28,12.159,10.6,8.656,6.994,5.168,4.107,3.101,2.438,7.012,3.657,2.009,1.24,0.786,0.728,0.587,0.505,4.048,3.578,1.95,1.226,2.431,0.203,0.045
16,Train,False,1703,3554,3614,2929,2289,1706,1277,997,793,622,1809,1011,720,513,407,316,233,188,1128,1015,548,318,424,0,0,28114,6.057,12.641,12.855,10.418,8.142,6.068,4.542,3.546,2.821,2.212,6.435,3.596,2.561,1.825,1.448,1.124,0.829,0.669,4.012,3.61,1.949,1.131,1.508,0.0,0.0
17,Train,False,1251,2664,2857,2641,2151,1606,1253,981,778,652,2260,1296,857,625,440,317,244,240,1627,1486,546,346,468,0,0,27586,4.535,9.657,10.357,9.574,7.797,5.822,4.542,3.556,2.82,2.364,8.193,4.698,3.107,2.266,1.595,1.149,0.885,0.87,5.898,5.387,1.979,1.254,1.697,0.0,0.0
18,Train,False,1420,3147,3550,3177,2511,1905,1414,1016,809,612,1940,979,667,534,367,307,248,187,1151,1099,630,387,209,0,0,28266,5.024,11.134,12.559,11.24,8.883,6.74,5.002,3.594,2.862,2.165,6.863,3.464,2.36,1.889,1.298,1.086,0.877,0.662,4.072,3.888,2.229,1.369,0.739,0.0,0.0
19,Train,False,2535,4769,4161,3147,2290,1544,1202,833,631,565,1525,869,625,454,294,226,181,141,979,1061,674,475,504,0,0,29685,8.54,16.065,14.017,10.601,7.714,5.201,4.049,2.806,2.126,1.903,5.137,2.927,2.105,1.529,0.99,0.761,0.61,0.475,3.298,3.574,2.271,1.6,1.698,0.0,0.0
20,Train,False,1199,2622,2910,2632,2286,1782,1369,1098,913,727,2237,1236,751,474,338,291,225,195,1258,1477,709,417,739,80,14,27979,4.285,9.371,10.401,9.407,8.17,6.369,4.893,3.924,3.263,2.598,7.995,4.418,2.684,1.694,1.208,1.04,0.804,0.697,4.496,5.279,2.534,1.49,2.641,0.286,0.05
21,Train,False,1092,2520,2968,2986,2717,2230,1743,1381,1063,884,2394,1149,670,486,340,285,247,187,1218,1051,594,391,216,0,0,28812,3.79,8.746,10.301,10.364,9.43,7.74,6.05,4.793,3.689,3.068,8.309,3.988,2.325,1.687,1.18,0.989,0.857,0.649,4.227,3.648,2.062,1.357,0.75,0.0,0.0
22,Train,False,3257,4998,3875,2653,1821,1252,886,711,546,467,1368,816,750,635,531,474,385,289,1197,933,469,299,588,4,0,29204,11.153,17.114,13.269,9.084,6.235,4.287,3.034,2.435,1.87,1.599,4.684,2.794,2.568,2.174,1.818,1.623,1.318,0.99,4.099,3.195,1.606,1.024,2.013,0.014,0.0
23,Train,False,1909,3742,3831,3268,2531,1900,1360,1018,709,583,1512,802,557,453,350,282,207,163,971,1059,640,470,505,6,2,28830,6.622,12.98,13.288,11.335,8.779,6.59,4.717,3.531,2.459,2.022,5.245,2.782,1.932,1.571,1.214,0.978,0.718,0.565,3.368,3.673,2.22,1.63,1.752,0.021,0.007
24,Train,False,956,2271,2985,3139,2916,2476,2096,1779,1379,1086,2605,757,321,218,193,163,145,148,915,1122,589,369,528,1,0,29157,3.279,7.789,10.238,10.766,10.001,8.492,7.189,6.101,4.73,3.725,8.934,2.596,1.101,0.748,0.662,0.559,0.497,0.508,3.138,3.848,2.02,1.266,1.811,0.003,0.0
25,Train,False,1430,3122,3486,3067,2516,1878,1456,1081,818,713,1914,1084,741,559,483,434,390,312,1099,980,469,273,612,35,0,28952,4.939,10.783,12.041,10.593,8.69,6.487,5.029,3.734,2.825,2.463,6.611,3.744,2.559,1.931,1.668,1.499,1.347,1.078,3.796,3.385,1.62,0.943,2.114,0.121,0.0
26,Train,False,1065,2366,2835,2652,2322,1939,1531,1300,1039,822,2340,1083,707,571,462,358,330,230,1368,1271,639,384,723,20,0,28357,3.756,8.344,9.998,9.352,8.188,6.838,5.399,4.584,3.664,2.899,8.252,3.819,2.493,2.014,1.629,1.262,1.164,0.811,4.824,4.482,2.253,1.354,2.55,0.071,0.0
27,Train,False,1703,3660,3817,3279,2566,1955,1380,1016,820,626,1709,893,509,409,299,248,164,110,863,993,595,462,792,12,0,28880,5.897,12.673,13.217,11.354,8.885,6.769,4.778,3.518,2.839,2.168,5.918,3.092,1.762,1.416,1.035,0.859,0.568,0.381,2.988,3.438,2.06,1.6,2.742,0.042,0.0
28,Train,False,2368,4626,4219,3192,2266,1489,1164,845,673,499,1595,696,378,234,194,174,172,160,976,1142,665,420,618,4,0,28769,8.231,16.08,14.665,11.095,7.877,5.176,4.046,2.937,2.339,1.735,5.544,2.419,1.314,0.813,0.674,0.605,0.598,0.556,3.393,3.97,2.312,1.46,2.148,0.014,0.0
29,Train,False,898,2276,2845,2817,2567,2269,1772,1392,1095,815,2341,1016,623,460,338,250,219,199,1014,1160,617,280,482,94,52,27891,3.22,8.16,10.2,10.1,9.204,8.135,6.353,4.991,3.926,2.922,8.393,3.643,2.234,1.649,1.212,0.896,0.785,0.713,3.636,4.159,2.212,1.004,1.728,0.337,0.186
30,Train,False,2184,4193,4174,3106,2208,1507,1172,843,645,530,1657,911,679,438,306,237,182,162,1064,969,524,352,662,68,0,28773,7.59,14.573,14.507,10.795,7.674,5.238,4.073,2.93,2.242,1.842,5.759,3.166,2.36,1.522,1.063,0.824,0.633,0.563,3.698,3.368,1.821,1.223,2.301,0.236,0.0
31,Train,False,1756,3654,3873,3150,2623,1913,1479,1132,856,691,1911,741,386,260,194,176,153,143,1128,1253,677,394,504,0,0,29047,6.045,12.58,13.334,10.844,9.03,6.586,5.092,3.897,2.947,2.379,6.579,2.551,1.329,0.895,0.668,0.606,0.527,0.492,3.883,4.314,2.331,1.356,1.735,0.0,0.0
32,Train,False,1159,2494,2538,2313,1817,1485,1156,993,840,788,2687,1790,1295,968,721,582,454,412,1975,1392,587,490,381,1,3,29321,3.953,8.506,8.656,7.889,6.197,5.065,3.943,3.387,2.865,2.687,9.164,6.105,4.417,3.301,2.459,1.985,1.548,1.405,6.736,4.747,2.002,1.671,1.299,0.003,0.01
33,Train,False,2045,4008,3873,3086,2467,1737,1375,1029,781,625,1763,943,611,374,256,192,161,123,765,910,590,410,820,25,0,28969,7.059,13.835,13.369,10.653,8.516,5.996,4.746,3.552,2.696,2.157,6.086,3.255,2.109,1.291,0.884,0.663,0.556,0.425,2.641,3.141,2.037,1.415,2.831,0.086,0.0
34,Train,False,1262,2724,3058,2803,2277,1916,1489,1181,895,716,2187,1119,737,616,460,386,287,239,1265,1339,753,397,798,106,35,29045,4.345,9.379,10.528,9.651,7.84,6.597,5.127,4.066,3.081,2.465,7.53,3.853,2.537,2.121,1.584,1.329,0.988,0.823,4.355,4.61,2.593,1.367,2.747,0.365,0.121
35,Train,False,2264,3833,3517,2689,1967,1469,1060,828,663,594,1992,1335,1081,759,495,409,277,206,1172,1053,564,325,806,21,5,29384,7.705,13.045,11.969,9.151,6.694,4.999,3.607,2.818,2.256,2.022,6.779,4.543,3.679,2.583,1.685,1.392,0.943,0.701,3.989,3.584,1.919,1.106,2.743,0.071,0.017
36,Train,False,1725,3492,3607,3059,2500,1882,1435,1130,850,715,2130,921,502,337,270,203,192,189,1223,1220,644,447,664,0,0,29337,5.88,11.903,12.295,10.427,8.522,6.415,4.891,3.852,2.897,2.437,7.26,3.139,1.711,1.149,0.92,0.692,0.654,0.644,4.169,4.159,2.195,1.524,2.263,0.0,0.0
37,Test,True,2017,3814,3655,2945,2317,1614,1309,974,838,634,1989,1255,851,557,302,252,182,171,1129,1140,495,351,517,0,0,29308,6.882,13.014,12.471,10.048,7.906,5.507,4.466,3.323,2.859,2.163,6.787,4.282,2.904,1.901,1.03,0.86,0.621,0.583,3.852,3.89,1.689,1.198,1.764,0.0,0.0
38,Test,False,2070,3871,3565,2756,2048,1401,1057,838,672,544,1752,1135,964,773,545,412,255,180,1041,986,551,351,541,0,1,28309,7.312,13.674,12.593,9.735,7.234,4.949,3.734,2.96,2.374,1.922,6.189,4.009,3.405,2.731,1.925,1.455,0.901,0.636,3.677,3.483,1.946,1.24,1.911,0.0,0.004
39,Test,False,1091,2548,2856,2790,2356,1773,1394,1179,893,673,2185,1243,842,665,590,487,369,265,1635,1463,643,387,309,0,0,28636,3.81,8.898,9.973,9.743,8.227,6.192,4.868,4.117,3.118,2.35,7.63,4.341,2.94,2.322,2.06,1.701,1.289,0.925,5.71,5.109,2.245,1.351,1.079,0.0,0.0
40,Test,True,2186,3819,3652,2911,2150,1615,1111,922,691,548,1634,880,651,736,734,819,663,419,1295,824,379,324,339,0,0,29302,7.46,13.033,12.463,9.934,7.337,5.512,3.792,3.147,2.358,1.87,5.576,3.003,2.222,2.512,2.505,2.795,2.263,1.43,4.419,2.812,1.293,1.106,1.157,0.0,0.0
41,Test,False,1702,3444,3541,2965,2313,1786,1357,1093,836,758,1976,1028,698,446,330,237,183,165,1179,1226,661,417,871,56,0,29268,5.815,11.767,12.099,10.131,7.903,6.102,4.636,3.734,2.856,2.59,6.751,3.512,2.385,1.524,1.128,0.81,0.625,0.564,4.028,4.189,2.258,1.425,2.976,0.191,0.0
42,Test,False,3036,5071,4090,2681,1683,1214,879,685,577,445,1538,992,609,353,235,198,142,143,1026,1230,720,389,445,2,0,28383,10.697,17.866,14.41,9.446,5.93,4.277,3.097,2.413,2.033,1.568,5.419,3.495,2.146,1.244,0.828,0.698,0.5,0.504,3.615,4.334,2.537,1.371,1.568,0.007,0.0
43,Test,False,1692,3566,3670,3105,2399,2005,1456,1183,910,744,1917,876,465,330,229,222,190,193,1198,1267,606,293,584,46,0,29146,5.805,12.235,12.592,10.653,8.231,6.879,4.996,4.059,3.122,2.553,6.577,3.006,1.595,1.132,0.786,0.762,0.652,0.662,4.11,4.347,2.079,1.005,2.004,0.158,0.0
44,Test,False,2408,4410,3876,2984,2018,1538,1128,841,690,552,1782,972,508,332,271,214,215,170,1322,1260,684,442,442,0,0,29059,8.287,15.176,13.338,10.269,6.944,5.293,3.882,2.894,2.374,1.9,6.132,3.345,1.748,1.143,0.933,0.736,0.74,0.585,4.549,4.336,2.354,1.521,1.521,0.0,0.0
45,Test,True,1217,2731,3163,3086,2658,2096,1640,1355,976,791,2261,1084,655,449,358,293,256,201,1223,1045,554,349,624,2,6,29073,4.186,9.394,10.88,10.615,9.143,7.209,5.641,4.661,3.357,2.721,7.777,3.729,2.253,1.544,1.231,1.008,0.881,0.691,4.207,3.594,1.906,1.2,2.146,0.007,0.021
46,Test,False,1075,2580,3089,3085,2668,2252,1720,1281,1022,700,1899,1044,794,636,366,277,235,215,1480,1408,712,419,327,0,0,29284,3.671,8.81,10.548,10.535,9.111,7.69,5.874,4.374,3.49,2.39,6.485,3.565,2.711,2.172,1.25,0.946,0.802,0.734,5.054,4.808,2.431,1.431,1.117,0.0,0.0
47,Test,False,1935,3777,4228,3492,2812,2071,1492,1102,823,623,1553,598,295,208,183,133,128,123,961,1228,622,316,538,0,1,29242,6.617,12.916,14.459,11.942,9.616,7.082,5.102,3.769,2.814,2.13,5.311,2.045,1.009,0.711,0.626,0.455,0.438,0.421,3.286,4.199,2.127,1.081,1.84,0.0,0.003
48,Test,True,2805,4847,3948,2796,2075,1410,1081,840,657,519,1370,747,534,333,250,218,195,143,1183,1492,859,443,303,0,0,29048,9.656,16.686,13.591,9.625,7.143,4.854,3.721,2.892,2.262,1.787,4.716,2.572,1.838,1.146,0.861,0.75,0.671,0.492,4.073,5.136,2.957,1.525,1.043,0.0,0.0
