key,motion,user,eye,session,K,anchor_index,anchor_ts_us,ts_lo,ts_hi,n_frames,n_events,q_good,q_frontal,q_illum,event_file,label_dir
saccade_user1_left_session_1_0_2_w020_a000610,saccade,user1,left,session_1_0_2,7,610,1657711108817736,1657711108697736,1657711108937736,7,11600,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w020_a000610.npz,../samples/label/saccade_user1_left_session_1_0_2_w020_a000610
saccade_user1_left_session_1_0_2_w030_a000710,saccade,user1,left,session_1_0_2,7,710,1657711112817739,1657711112697739,1657711112937739,7,26954,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w030_a000710.npz,../samples/label/saccade_user1_left_session_1_0_2_w030_a000710
saccade_user1_left_session_1_0_2_w040_a001310,saccade,user1,left,session_1_0_2,7,1310,1657711136817758,1657711136697758,1657711136937758,7,5969,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w040_a001310.npz,../samples/label/saccade_user1_left_session_1_0_2_w040_a001310
saccade_user1_left_session_1_0_2_w050_a001410,saccade,user1,left,session_1_0_2,7,1410,1657711140817761,1657711140697761,1657711140937762,7,33750,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w050_a001410.npz,../samples/label/saccade_user1_left_session_1_0_2_w050_a001410
saccade_user1_left_session_1_0_2_w060_a001510,saccade,user1,left,session_1_0_2,7,1510,1657711144817765,1657711144697765,1657711144937765,7,9200,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w060_a001510.npz,../samples/label/saccade_user1_left_session_1_0_2_w060_a001510
saccade_user1_left_session_1_0_2_w070_a001610,saccade,user1,left,session_1_0_2,7,1610,1657711148817768,1657711148697768,1657711148937768,7,5829,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w070_a001610.npz,../samples/label/saccade_user1_left_session_1_0_2_w070_a001610
saccade_user1_left_session_1_0_2_w080_a001810,saccade,user1,left,session_1_0_2,7,1810,1657711156817774,1657711156697774,1657711156937774,7,15001,True,True,True,../samples/event/saccade_user1_left_session_1_0_2_w080_a001810.npz,../samples/label/saccade_user1_left_session_1_0_2_w080_a001810
fixation_user10_left_session_1_0_2_w001_a000110,fixation,user10,left,session_1_0_2,11,110,1657850827073077,1657850826873077,1657850827273078,11,7774,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w001_a000110.npz,../samples/label/fixation_user10_left_session_1_0_2_w001_a000110
fixation_user10_left_session_1_0_2_w011_a000310,fixation,user10,left,session_1_0_2,11,310,1657850835073084,1657850834873084,1657850835273084,11,19122,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w011_a000310.npz,../samples/label/fixation_user10_left_session_1_0_2_w011_a000310
fixation_user10_left_session_1_0_2_w021_a000610,fixation,user10,left,session_1_0_2,11,610,1657850847073094,1657850846873093,1657850847273094,11,18091,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w021_a000610.npz,../samples/label/fixation_user10_left_session_1_0_2_w021_a000610
fixation_user10_left_session_1_0_2_w031_a000710,fixation,user10,left,session_1_0_2,11,710,1657850851073097,1657850850873097,1657850851273097,11,15182,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w031_a000710.npz,../samples/label/fixation_user10_left_session_1_0_2_w031_a000710
fixation_user10_left_session_1_0_2_w041_a000910,fixation,user10,left,session_1_0_2,11,910,1657850859073103,1657850858873103,1657850859273103,11,25647,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w041_a000910.npz,../samples/label/fixation_user10_left_session_1_0_2_w041_a000910
fixation_user10_left_session_1_0_2_w051_a001010,fixation,user10,left,session_1_0_2,11,1010,1657850863073106,1657850862873106,1657850863273106,11,16913,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w051_a001010.npz,../samples/label/fixation_user10_left_session_1_0_2_w051_a001010
fixation_user10_left_session_1_0_2_w061_a001110,fixation,user10,left,session_1_0_2,11,1110,1657850867073110,1657850866873109,1657850867273110,11,12233,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w061_a001110.npz,../samples/label/fixation_user10_left_session_1_0_2_w061_a001110
fixation_user10_left_session_1_0_2_w071_a001510,fixation,user10,left,session_1_0_2,11,1510,1657850883073122,1657850882873122,1657850883273123,11,13892,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w071_a001510.npz,../samples/label/fixation_user10_left_session_1_0_2_w071_a001510
fixation_user10_left_session_1_0_2_w081_a001610,fixation,user10,left,session_1_0_2,11,1610,1657850887073126,1657850886873125,1657850887273126,11,23969,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w081_a001610.npz,../samples/label/fixation_user10_left_session_1_0_2_w081_a001610
fixation_user10_left_session_1_0_2_w091_a001710,fixation,user10,left,session_1_0_2,11,1710,1657850891073129,1657850890873129,1657850891273129,11,21234,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w091_a001710.npz,../samples/label/fixation_user10_left_session_1_0_2_w091_a001710
fixation_user10_left_session_1_0_2_w101_a001810,fixation,user10,left,session_1_0_2,11,1810,1657850895073132,1657850894873132,1657850895273132,11,86045,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w101_a001810.npz,../samples/label/fixation_user10_left_session_1_0_2_w101_a001810
fixation_user10_left_session_1_0_2_w111_a002010,fixation,user10,left,session_1_0_2,11,2010,1657850903073138,1657850902873138,1657850903273139,11,15456,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w111_a002010.npz,../samples/label/fixation_user10_left_session_1_0_2_w111_a002010
fixation_user10_left_session_1_0_2_w121_a002110,fixation,user10,left,session_1_0_2,11,2110,1657850907073142,1657850906873141,1657850907273142,11,24652,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w121_a002110.npz,../samples/label/fixation_user10_left_session_1_0_2_w121_a002110
fixation_user10_left_session_1_0_2_w131_a002210,fixation,user10,left,session_1_0_2,11,2210,1657850911073145,1657850910873145,1657850911273145,11,21345,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w131_a002210.npz,../samples/label/fixation_user10_left_session_1_0_2_w131_a002210
fixation_user10_left_session_1_0_2_w141_a002410,fixation,user10,left,session_1_0_2,11,2410,1657850919073151,1657850918873151,1657850919273151,11,13356,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w141_a002410.npz,../samples/label/fixation_user10_left_session_1_0_2_w141_a002410
fixation_user10_left_session_1_0_2_w151_a002510,fixation,user10,left,session_1_0_2,11,2510,1657850923073154,1657850922873154,1657850923273155,11,25283,True,True,True,../samples/event/fixation_user10_left_session_1_0_2_w151_a002510.npz,../samples/label/fixation_user10_left_session_1_0_2_w151_a002510
saccade_user10_left_session_1_0_2_w001_a000810,saccade,user10,left,session_1_0_2,7,810,1657850855073100,1657850854953100,1657850855193100,7,9865,True,True,True,../samples/event/saccade_user10_left_session_1_0_2_w001_a000810.npz,../samples/label/saccade_user10_left_session_1_0_2_w001_a000810
saccade_user10_left_session_1_0_2_w011_a001210,saccade,user10,left,session_1_0_2,7,1210,1657850871073113,1657850870953113,1657850871193113,7,17207,True,True,True,../samples/event/saccade_user10_left_session_1_0_2_w011_a001210.npz,../samples/label/saccade_user10_left_session_1_0_2_w011_a001210
saccade_user10_left_session_1_0_2_w021_a001310,saccade,user10,left,session_1_0_2,7,1310,1657850875073116,1657850874953116,1657850875193116,7,13221,True,True,True,../samples/event/saccade_user10_left_session_1_0_2_w021_a001310.npz,../samples/label/saccade_user10_left_session_1_0_2_w021_a001310
saccade_user10_left_session_1_0_2_w031_a002610,saccade,user10,left,session_1_0_2,7,2610,1657850927073158,1657850926953158,1657850927193158,7,22688,True,True,True,../samples/event/saccade_user10_left_session_1_0_2_w031_a002610.npz,../samples/label/saccade_user10_left_session_1_0_2_w031_a002610
fixation_user2_left_session_1_0_2_w002_a000110,fixation,user2,left,session_1_0_2,11,110,1658496095466948,1658496095266947,1658496095666948,11,8417,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w002_a000110.npz,../samples/label/fixation_user2_left_session_1_0_2_w002_a000110
fixation_user2_left_session_1_0_2_w012_a000310,fixation,user2,left,session_1_0_2,11,310,1658496103466954,1658496103266954,1658496103666954,11,9665,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w012_a000310.npz,../samples/label/fixation_user2_left_session_1_0_2_w012_a000310
fixation_user2_left_session_1_0_2_w022_a000510,fixation,user2,left,session_1_0_2,11,510,1658496111466960,1658496111266960,1658496111666961,11,16646,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w022_a000510.npz,../samples/label/fixation_user2_left_session_1_0_2_w022_a000510
fixation_user2_left_session_1_0_2_w032_a000610,fixation,user2,left,session_1_0_2,11,610,1658496115466964,1658496115266964,1658496115666964,11,20062,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w032_a000610.npz,../samples/label/fixation_user2_left_session_1_0_2_w032_a000610
fixation_user2_left_session_1_0_2_w042_a000710,fixation,user2,left,session_1_0_2,11,710,1658496119466967,1658496119266967,1658496119666967,11,25684,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w042_a000710.npz,../samples/label/fixation_user2_left_session_1_0_2_w042_a000710
fixation_user2_left_session_1_0_2_w052_a000910,fixation,user2,left,session_1_0_2,11,910,1658496127466973,1658496127266973,1658496127666973,11,22159,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w052_a000910.npz,../samples/label/fixation_user2_left_session_1_0_2_w052_a000910
fixation_user2_left_session_1_0_2_w062_a001110,fixation,user2,left,session_1_0_2,11,1110,1658496135466980,1658496135266980,1658496135666980,11,8740,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w062_a001110.npz,../samples/label/fixation_user2_left_session_1_0_2_w062_a001110
fixation_user2_left_session_1_0_2_w072_a001410,fixation,user2,left,session_1_0_2,11,1410,1658496147466989,1658496147266989,1658496147666989,11,8030,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w072_a001410.npz,../samples/label/fixation_user2_left_session_1_0_2_w072_a001410
fixation_user2_left_session_1_0_2_w082_a001610,fixation,user2,left,session_1_0_2,11,1610,1658496155466996,1658496155266996,1658496155666996,11,27724,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w082_a001610.npz,../samples/label/fixation_user2_left_session_1_0_2_w082_a001610
fixation_user2_left_session_1_0_2_w092_a001710,fixation,user2,left,session_1_0_2,11,1710,1658496159466999,1658496159266999,1658496159666999,11,11785,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w092_a001710.npz,../samples/label/fixation_user2_left_session_1_0_2_w092_a001710
fixation_user2_left_session_1_0_2_w102_a001810,fixation,user2,left,session_1_0_2,11,1810,1658496163467002,1658496163267002,1658496163667002,11,12180,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w102_a001810.npz,../samples/label/fixation_user2_left_session_1_0_2_w102_a001810
fixation_user2_left_session_1_0_2_w112_a001910,fixation,user2,left,session_1_0_2,11,1910,1658496167467005,1658496167267005,1658496167667005,11,8741,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w112_a001910.npz,../samples/label/fixation_user2_left_session_1_0_2_w112_a001910
fixation_user2_left_session_1_0_2_w122_a002010,fixation,user2,left,session_1_0_2,11,2010,1658496171467009,1658496171267008,1658496171667009,11,15893,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w122_a002010.npz,../samples/label/fixation_user2_left_session_1_0_2_w122_a002010
fixation_user2_left_session_1_0_2_w132_a002110,fixation,user2,left,session_1_0_2,11,2110,1658496175467012,1658496175267012,1658496175667012,11,14198,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w132_a002110.npz,../samples/label/fixation_user2_left_session_1_0_2_w132_a002110
fixation_user2_left_session_1_0_2_w142_a002210,fixation,user2,left,session_1_0_2,11,2210,1658496179467015,1658496179267015,1658496179667015,11,13837,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w142_a002210.npz,../samples/label/fixation_user2_left_session_1_0_2_w142_a002210
fixation_user2_left_session_1_0_2_w152_a002310,fixation,user2,left,session_1_0_2,11,2310,1658496183467018,1658496183267018,1658496183667018,11,18885,True,True,True,../samples/event/fixation_user2_left_session_1_0_2_w152_a002310.npz,../samples/label/fixation_user2_left_session_1_0_2_w152_a002310
saccade_user2_left_session_1_0_2_w002_a000210,saccade,user2,left,session_1_0_2,7,210,1658496099466951,1658496099346951,1658496099586951,7,10559,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w002_a000210.npz,../samples/label/saccade_user2_left_session_1_0_2_w002_a000210
saccade_user2_left_session_1_0_2_w012_a000410,saccade,user2,left,session_1_0_2,7,410,1658496107466957,1658496107346957,1658496107586957,7,17170,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w012_a000410.npz,../samples/label/saccade_user2_left_session_1_0_2_w012_a000410
saccade_user2_left_session_1_0_2_w022_a000810,saccade,user2,left,session_1_0_2,7,810,1658496123466970,1658496123346970,1658496123586970,7,11226,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w022_a000810.npz,../samples/label/saccade_user2_left_session_1_0_2_w022_a000810
saccade_user2_left_session_1_0_2_w032_a001010,saccade,user2,left,session_1_0_2,7,1010,1658496131466976,1658496131346976,1658496131586977,7,13151,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w032_a001010.npz,../samples/label/saccade_user2_left_session_1_0_2_w032_a001010
saccade_user2_left_session_1_0_2_w042_a001210,saccade,user2,left,session_1_0_2,7,1210,1658496139466983,1658496139346983,1658496139586983,7,5485,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w042_a001210.npz,../samples/label/saccade_user2_left_session_1_0_2_w042_a001210
saccade_user2_left_session_1_0_2_w052_a001310,saccade,user2,left,session_1_0_2,7,1310,1658496143466986,1658496143346986,1658496143586986,7,9101,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w052_a001310.npz,../samples/label/saccade_user2_left_session_1_0_2_w052_a001310
saccade_user2_left_session_1_0_2_w062_a001510,saccade,user2,left,session_1_0_2,7,1510,1658496151466993,1658496151346992,1658496151586993,7,8338,True,True,True,../samples/event/saccade_user2_left_session_1_0_2_w062_a001510.npz,../samples/label/saccade_user2_left_session_1_0_2_w062_a001510
fixation_user3_left_session_1_0_2_w003_a000110,fixation,user3,left,session_1_0_2,11,110,1659072167888922,1659072167688922,1659072168088922,11,8955,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w003_a000110.npz,../samples/label/fixation_user3_left_session_1_0_2_w003_a000110
fixation_user3_left_session_1_0_2_w013_a000210,fixation,user3,left,session_1_0_2,11,210,1659072171888925,1659072171688925,1659072172088925,11,8046,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w013_a000210.npz,../samples/label/fixation_user3_left_session_1_0_2_w013_a000210
fixation_user3_left_session_1_0_2_w023_a000310,fixation,user3,left,session_1_0_2,11,310,1659072175888928,1659072175688928,1659072176088929,11,8601,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w023_a000310.npz,../samples/label/fixation_user3_left_session_1_0_2_w023_a000310
fixation_user3_left_session_1_0_2_w033_a000710,fixation,user3,left,session_1_0_2,11,710,1659072191888941,1659072191688941,1659072192088941,11,16209,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w033_a000710.npz,../samples/label/fixation_user3_left_session_1_0_2_w033_a000710
fixation_user3_left_session_1_0_2_w043_a001510,fixation,user3,left,session_1_0_2,11,1510,1659072223888967,1659072223688967,1659072224088967,11,9610,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w043_a001510.npz,../samples/label/fixation_user3_left_session_1_0_2_w043_a001510
fixation_user3_left_session_1_0_2_w053_a001610,fixation,user3,left,session_1_0_2,11,1610,1659072227888970,1659072227688970,1659072228088970,11,17391,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w053_a001610.npz,../samples/label/fixation_user3_left_session_1_0_2_w053_a001610
fixation_user3_left_session_1_0_2_w063_a001810,fixation,user3,left,session_1_0_2,11,1810,1659072235888977,1659072235688976,1659072236088977,11,23676,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w063_a001810.npz,../samples/label/fixation_user3_left_session_1_0_2_w063_a001810
fixation_user3_left_session_1_0_2_w073_a001910,fixation,user3,left,session_1_0_2,11,1910,1659072239888980,1659072239688980,1659072240088980,11,15851,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w073_a001910.npz,../samples/label/fixation_user3_left_session_1_0_2_w073_a001910
fixation_user3_left_session_1_0_2_w083_a002010,fixation,user3,left,session_1_0_2,11,2010,1659072243888983,1659072243688983,1659072244088983,11,10094,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w083_a002010.npz,../samples/label/fixation_user3_left_session_1_0_2_w083_a002010
fixation_user3_left_session_1_0_2_w093_a002510,fixation,user3,left,session_1_0_2,11,2510,1659072263888999,1659072263688999,1659072264088999,11,17931,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w093_a002510.npz,../samples/label/fixation_user3_left_session_1_0_2_w093_a002510
fixation_user3_left_session_1_0_2_w103_a002710,fixation,user3,left,session_1_0_2,11,2710,1659072271889005,1659072271689005,1659072272089006,11,20584,True,True,True,../samples/event/fixation_user3_left_session_1_0_2_w103_a002710.npz,../samples/label/fixation_user3_left_session_1_0_2_w103_a002710
saccade_user3_left_session_1_0_2_w003_a000410,saccade,user3,left,session_1_0_2,7,410,1659072179888932,1659072179768932,1659072180008932,7,16043,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w003_a000410.npz,../samples/label/saccade_user3_left_session_1_0_2_w003_a000410
saccade_user3_left_session_1_0_2_w013_a000910,saccade,user3,left,session_1_0_2,7,910,1659072199888948,1659072199768948,1659072200008948,7,19683,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w013_a000910.npz,../samples/label/saccade_user3_left_session_1_0_2_w013_a000910
saccade_user3_left_session_1_0_2_w023_a001010,saccade,user3,left,session_1_0_2,7,1010,1659072203888951,1659072203768951,1659072204008951,7,14054,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w023_a001010.npz,../samples/label/saccade_user3_left_session_1_0_2_w023_a001010
saccade_user3_left_session_1_0_2_w033_a001110,saccade,user3,left,session_1_0_2,7,1110,1659072207888954,1659072207768954,1659072208008954,7,8462,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w033_a001110.npz,../samples/label/saccade_user3_left_session_1_0_2_w033_a001110
saccade_user3_left_session_1_0_2_w043_a001210,saccade,user3,left,session_1_0_2,7,1210,1659072211888957,1659072211768957,1659072212008957,7,18993,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w043_a001210.npz,../samples/label/saccade_user3_left_session_1_0_2_w043_a001210
saccade_user3_left_session_1_0_2_w053_a001310,saccade,user3,left,session_1_0_2,7,1310,1659072215888961,1659072215768960,1659072216008961,7,10614,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w053_a001310.npz,../samples/label/saccade_user3_left_session_1_0_2_w053_a001310
saccade_user3_left_session_1_0_2_w063_a001410,saccade,user3,left,session_1_0_2,7,1410,1659072219888964,1659072219768964,1659072220008964,7,17207,True,True,True,../samples/event/saccade_user3_left_session_1_0_2_w063_a001410.npz,../samples/label/saccade_user3_left_session_1_0_2_w063_a001410
fixation_user4_left_session_1_0_2_w004_a000110,fixation,user4,left,session_1_0_2,11,110,1657780978552496,1657780978352496,1657780978752497,11,7844,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w004_a000110.npz,../samples/label/fixation_user4_left_session_1_0_2_w004_a000110
fixation_user4_left_session_1_0_2_w014_a000210,fixation,user4,left,session_1_0_2,11,210,1657780982552500,1657780982352499,1657780982752500,11,15724,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w014_a000210.npz,../samples/label/fixation_user4_left_session_1_0_2_w014_a000210
fixation_user4_left_session_1_0_2_w024_a000310,fixation,user4,left,session_1_0_2,11,310,1657780986552503,1657780986352503,1657780986752503,11,22484,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w024_a000310.npz,../samples/label/fixation_user4_left_session_1_0_2_w024_a000310
fixation_user4_left_session_1_0_2_w034_a001010,fixation,user4,left,session_1_0_2,11,1010,1657781014552525,1657781014352525,1657781014752525,11,25723,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w034_a001010.npz,../samples/label/fixation_user4_left_session_1_0_2_w034_a001010
fixation_user4_left_session_1_0_2_w044_a001210,fixation,user4,left,session_1_0_2,11,1210,1657781022552532,1657781022352531,1657781022752532,11,8447,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w044_a001210.npz,../samples/label/fixation_user4_left_session_1_0_2_w044_a001210
fixation_user4_left_session_1_0_2_w054_a001610,fixation,user4,left,session_1_0_2,11,1610,1657781038552544,1657781038352544,1657781038752545,11,18037,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w054_a001610.npz,../samples/label/fixation_user4_left_session_1_0_2_w054_a001610
fixation_user4_left_session_1_0_2_w064_a002010,fixation,user4,left,session_1_0_2,11,2010,1657781054552557,1657781054352557,1657781054752557,11,56230,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w064_a002010.npz,../samples/label/fixation_user4_left_session_1_0_2_w064_a002010
fixation_user4_left_session_1_0_2_w074_a002110,fixation,user4,left,session_1_0_2,11,2110,1657781058552560,1657781058352560,1657781058752561,11,56344,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w074_a002110.npz,../samples/label/fixation_user4_left_session_1_0_2_w074_a002110
fixation_user4_left_session_1_0_2_w084_a002210,fixation,user4,left,session_1_0_2,11,2210,1657781062552564,1657781062352564,1657781062752564,11,27097,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w084_a002210.npz,../samples/label/fixation_user4_left_session_1_0_2_w084_a002210
fixation_user4_left_session_1_0_2_w094_a002310,fixation,user4,left,session_1_0_2,11,2310,1657781066552567,1657781066352567,1657781066752567,11,11950,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w094_a002310.npz,../samples/label/fixation_user4_left_session_1_0_2_w094_a002310
fixation_user4_left_session_1_0_2_w104_a002410,fixation,user4,left,session_1_0_2,11,2410,1657781070552570,1657781070352570,1657781070752570,11,16794,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w104_a002410.npz,../samples/label/fixation_user4_left_session_1_0_2_w104_a002410
fixation_user4_left_session_1_0_2_w114_a002510,fixation,user4,left,session_1_0_2,11,2510,1657781074552573,1657781074352573,1657781074752573,11,14132,True,True,True,../samples/event/fixation_user4_left_session_1_0_2_w114_a002510.npz,../samples/label/fixation_user4_left_session_1_0_2_w114_a002510
