path,line,end_line,zone,symbol,rule,severity,claim_type,confidence,evidence
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state.py,68,68,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/EventStream_4state.xlsx"""
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state.py,82,82,analysis,<module>,hard-coded-absolute-path,high,fact,high,"shutil.copy(tmp,""/sessions/busy-happy-newton/mnt/outputs/EventStream_4state_excl.xlsx"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,34,69,analysis,main,high-branch-density,medium,inference,medium,AST branch proxy=15
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,69,69,analysis,main,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,40,40,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS_TEST for e in EYES for c in SESSIONS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,41,41,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,42,42,analysis,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,45,45,analysis,main,work-marker,low,fact,high,"for rec in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,49,49,analysis,main,work-marker,low,fact,high,"print(f""+{nd} sessions, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,50,50,analysis,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,34,69,test,main,high-branch-density,medium,inference,medium,AST branch proxy=15
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,69,69,test,main,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,40,40,test,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS_TEST for e in EYES for c in SESSIONS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,41,41,test,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,42,42,test,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,45,45,test,main,work-marker,low,fact,high,"for rec in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,49,49,test,main,work-marker,low,fact,high,"print(f""+{nd} sessions, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,50,50,test,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/event_aligned_err.py,12,42,analysis,build,high-branch-density,medium,inference,medium,AST branch proxy=16
algorithm/analysis/data-distribution/handover-v1/04_code/event_aligned_err.py,18,18,analysis,build,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS for e in EYES for c in [""102"",""201"",""202""] if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/event_aligned_err.py,20,20,analysis,build,work-marker,low,fact,high,"for (u,eye,code) in todo:"
algorithm/analysis/data-distribution/handover-v1/04_code/event_aligned_err.py,42,42,analysis,build,work-marker,low,fact,high,"return df, len(todo)-sum(1 for _ in []) , len(todo)"
algorithm/analysis/data-distribution/handover-v1/04_code/exgaze_eval.py,15,42,analysis,extract,high-branch-density,medium,inference,medium,AST branch proxy=14
algorithm/analysis/data-distribution/handover-v1/04_code/exgaze_eval.py,9,9,analysis,<module>,hard-coded-absolute-path,high,fact,high,"PK_DIR = (""/sessions/busy-happy-newton/mnt/eveye/codes/EX-Gaze/data/user48/left/"""
algorithm/analysis/data-distribution/handover-v1/04_code/frame_aligned_err.py,26,49,analysis,build,high-branch-density,medium,inference,medium,AST branch proxy=13
algorithm/analysis/data-distribution/handover-v1/04_code/frame_aligned_err.py,8,8,analysis,<module>,hard-coded-absolute-path,high,fact,high,"PRED=""/sessions/busy-happy-newton/mnt/eveye/processed_data/Data_davis_predict"""
algorithm/analysis/data-distribution/handover-v1/04_code/frame_aligned_err.py,31,31,analysis,build,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS for e in EYES for c in [""102"",""201"",""202""] if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/frame_aligned_err.py,33,33,analysis,build,work-marker,low,fact,high,"for (u,eye,code) in todo:"
algorithm/analysis/data-distribution/handover-v1/04_code/frame_aligned_err.py,49,49,analysis,build,work-marker,low,fact,high,"return df,len(todo)-proc"
algorithm/analysis/data-distribution/handover-v1/04_code/frame_center_4state.py,4,4,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/frame_center_4state.py,85,85,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/FrameCenter_4state.xlsx"""
algorithm/analysis/data-distribution/handover-v1/04_code/frame_center_4state.py,100,100,analysis,<module>,hard-coded-absolute-path,high,fact,high,"shutil.copy(tmp,""/sessions/busy-happy-newton/mnt/outputs/FrameCenter_4state_excl.xlsx"")"
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,47,77,test,main,high-branch-density,medium,inference,medium,AST branch proxy=14
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,52,52,test,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS_TEST for e in EYES for c in SESSIONS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,53,53,test,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,54,54,test,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,57,57,test,main,work-marker,low,fact,high,"for rec in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,61,61,test,main,work-marker,low,fact,high,"print(f""+{nd}, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/fuse_4state_test.py,62,62,test,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,2,2,analysis,<module>,hard-coded-absolute-path,high,fact,high,"FE=""/sessions/busy-happy-newton/mnt/eveye/processed_data/Frame_event_pupil_track_result"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,3,3,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,104,104,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/Invocation_designspace.xlsx"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,119,119,analysis,<module>,hard-coded-absolute-path,high,fact,high,"shutil.copy(tmp,""/sessions/busy-happy-newton/mnt/outputs/Invocation_designspace.xlsx"")"
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_final.py,2,2,analysis,<module>,hard-coded-absolute-path,high,fact,high,"FE=""/sessions/busy-happy-newton/mnt/eveye/processed_data/Frame_event_pupil_track_result"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_final.py,3,3,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_final.py,75,75,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/Invocation_final.xlsx"""
algorithm/analysis/data-distribution/handover-v1/04_code/invocation_final.py,86,86,analysis,<module>,hard-coded-absolute-path,high,fact,high,"shutil.copy(tmp,DD+""/Invocation_final.xlsx""); shutil.copy(tmp,""/sessions/busy-happy-newton/mnt/outputs/Invocation_final.xlsx"")"
algorithm/analysis/data-distribution/handover-v1/04_code/iou_frame.py,7,7,analysis,<module>,hard-coded-absolute-path,high,fact,high,"PRED=""/sessions/busy-happy-newton/mnt/eveye/processed_data/Data_davis_predict"""
algorithm/analysis/data-distribution/handover-v1/04_code/iou_frame.py,44,44,analysis,build,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS for e in EYES for c in [""102"",""201"",""202""] if (u,e,c) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/iou_frame.py,46,46,analysis,build,work-marker,low,fact,high,"for (u,e,c) in todo:"
algorithm/analysis/data-distribution/handover-v1/04_code/iou_frame.py,53,53,analysis,build,work-marker,low,fact,high,"return res,len(todo)-proc"
algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,38,80,analysis,velocity_for_session,high-branch-density,medium,inference,medium,AST branch proxy=13
algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,51,52,analysis,velocity_for_session,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,93,93,analysis,build,work-marker,low,fact,high,"todo = [(u, eye, code) for u in users for eye in EYES for code in [""102"",""201"",""202""]"
algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,96,96,analysis,build,work-marker,low,fact,high,"for (u, eye, code) in todo:"
algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,105,105,analysis,build,work-marker,low,fact,high,remaining = len(todo) - processed
algorithm/analysis/data-distribution/handover-v1/04_code/refresh_sweep.py,2,2,analysis,<module>,hard-coded-absolute-path,high,fact,high,"FE=""/sessions/busy-happy-newton/mnt/eveye/processed_data/Frame_event_pupil_track_result"""
algorithm/analysis/data-distribution/handover-v1/04_code/refresh_sweep.py,3,3,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/refresh_sweep.py,80,80,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/Refresh_sweep.xlsx"""
algorithm/analysis/data-distribution/handover-v1/04_code/refresh_sweep.py,91,91,analysis,<module>,hard-coded-absolute-path,high,fact,high,"shutil.copy(tmp,DD+""/Refresh_sweep.xlsx""); shutil.copy(tmp,""/sessions/busy-happy-newton/mnt/outputs/Refresh_sweep.xlsx"")"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,66,66,analysis,agg,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,28,28,analysis,main,work-marker,low,fact,high,"todo = [(u, e, c) for u in USERS_TEST for e in EYES for c in SESSIONS"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,30,30,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)} (stride={STRIDE})"")"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,31,31,analysis,main,work-marker,low,fact,high,if not todo:
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,35,35,analysis,main,work-marker,low,fact,high,"for (u, e, c, df) in pool.imap_unordered(work, todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test37_48.py,43,43,analysis,main,work-marker,low,fact,high,remaining = len(todo) - newdone
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,60,60,analysis,agg,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,68,68,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in USERS_TEST for e in EYES for c in SESSIONS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,69,69,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)} stride={STRIDE}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,70,70,analysis,main,work-marker,low,fact,high,"if not todo: agg(pd.concat(parts,ignore_index=True)); return"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,73,73,analysis,main,work-marker,low,fact,high,"for df in pool.imap_unordered(classify,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,78,78,analysis,main,work-marker,low,fact,high,"print(f""+{nd} sessions this run, remaining={len(todo)-nd}, rows={len(res)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,79,79,analysis,main,work-marker,low,fact,high,if len(todo)-nd==0: agg(res)
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,11,11,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVR=os.environ.get(""EVEYE_ROOT"",""/sessions/busy-happy-newton/mnt/eveye"")"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,14,14,analysis,<module>,hard-coded-absolute-path,high,fact,high,"MT=os.environ.get(""MT_CODES"",""/sessions/busy-happy-newton/mnt/DATASET/codes"")"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,66,66,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in range(1,49) for e in [""left"",""right""] for c in SESS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,67,67,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,68,68,analysis,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,71,71,analysis,main,work-marker,low,fact,high,"for r in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,76,76,analysis,main,work-marker,low,fact,high,"print(f""+{nd}, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/sac_aug.py,77,77,analysis,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,12,12,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVR=os.environ.get(""EVEYE_ROOT"",""/sessions/busy-happy-newton/mnt/eveye"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,14,14,analysis,<module>,hard-coded-absolute-path,high,fact,high,"MT=os.environ.get(""MT_CODES"",""/sessions/busy-happy-newton/mnt/DATASET/codes"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,54,54,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in range(1,49) for e in [""left"",""right""] for c in SESS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,55,55,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,56,56,analysis,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,59,59,analysis,main,work-marker,low,fact,high,"for r in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,63,63,analysis,main,work-marker,low,fact,high,"pd.DataFrame(rows).to_csv(CACHE,index=False); print(f""+{nd}, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity4state.py,64,64,analysis,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,8,8,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVR=os.environ.get(""EVEYE_ROOT"",""/sessions/busy-happy-newton/mnt/eveye"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,10,10,analysis,<module>,hard-coded-absolute-path,high,fact,high,"MT=os.environ.get(""MT_CODES"",""/sessions/busy-happy-newton/mnt/DATASET/codes"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,43,43,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in range(1,49) for e in [""left"",""right""] for c in SESS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,44,44,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,45,45,analysis,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,48,48,analysis,main,work-marker,low,fact,high,"for r in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,53,53,analysis,main,work-marker,low,fact,high,"print(f""+{nd}, remaining={len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_100ms.py,54,54,analysis,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,9,9,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVR=os.environ.get(""EVEYE_ROOT"",""/sessions/busy-happy-newton/mnt/eveye"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,11,11,analysis,<module>,hard-coded-absolute-path,high,fact,high,"MT=os.environ.get(""MT_CODES"",""/sessions/busy-happy-newton/mnt/DATASET/codes"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,39,39,analysis,main,work-marker,low,fact,high,"todo=[(u,e,c) for u in range(1,49) for e in [""left"",""right""] for c in SESS if (u,e,str(c)) not in done]"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,40,40,analysis,main,work-marker,low,fact,high,"print(f""done={len(done)} todo={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,41,41,analysis,main,work-marker,low,fact,high,if todo:
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,44,44,analysis,main,work-marker,low,fact,high,"for r in pool.imap_unordered(one,todo):"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,50,50,analysis,main,work-marker,low,fact,high,"print(f""+{nd}, remaining≈{len(todo)-nd}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_dist.py,51,51,analysis,main,work-marker,low,fact,high,if len(todo)-nd>0: return
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_hist.py,4,4,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/velocity_hist.py,73,73,analysis,<module>,hard-coded-absolute-path,high,fact,high,"tmp=""/tmp/Velocity_dist.xlsx"""
